Year,Annee,ISO,Jurisdiction,Juridiction,Species-group,Groupe-d'especes,Tenure-En,Tenure-Fr,Area,Superficie
2000,2000,MB,Manitoba,Manitoba,Pine,Pin,Provincial land,Terres provinciales,1000,1000
2000,2000,MB,Manitoba,Manitoba,Spruce,epinette,Provincial land,Terres provinciales,8059,8059
2000,2000,MB,Manitoba,Manitoba,Unspecified,Indeterminee,Provincial land,Terres provinciales,0,0
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Douglas-fir,Douglas taxifolie,Federal land,Terres federales,0,0
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Fir,Sapin,Federal land,Terres federales,0,0
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Miscellaneous hardwoods,Feuillus divers,Federal land,Terres federales,0,0
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Miscellaneous softwoods,Resineux divers,Federal land,Terres federales,0,0
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Pine,Pin,Federal land,Terres federales,0,0
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Spruce,epinette,Federal land,Terres federales,0,0
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indeterminee,Federal land,Terres federales,0,0
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Douglas-fir,Douglas taxifolie,Private land,Terres privees,0,0
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Fir,Sapin,Private land,Terres privees,0,0
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Miscellaneous hardwoods,Feuillus divers,Private land,Terres privees,0,0
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Miscellaneous softwoods,Resineux divers,Private land,Terres privees,1803,1803
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Pine,Pin,Private land,Terres privees,277,277
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Spruce,epinette,Private land,Terres privees,4847,4847
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indeterminee,Private land,Terres privees,1593,1593
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Douglas-fir,Douglas taxifolie,Provincial land,Terres provinciales,0,0
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Fir,Sapin,Provincial land,Terres provinciales,0,0
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Miscellaneous hardwoods,Feuillus divers,Provincial land,Terres provinciales,0,0
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Miscellaneous softwoods,Resineux divers,Provincial land,Terres provinciales,25,25
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Pine,Pin,Provincial land,Terres provinciales,1609,1609
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Spruce,epinette,Provincial land,Terres provinciales,6375,6375
