Year,Annee,ISO,Jurisdiction,Juridiction,Tenure-En,Tenure-Fr,Application-Method,Methode-d'application,Area,Superficie
2000,2000,NT,Northwest Territories,Territoires du Nord-Ouest,Provincial land,Terres provinciales,Ground,Sol,0,0
2000,2000,NT,Northwest Territories,Territoires du Nord-Ouest,Private land,Terres privees,Ground,Sol,0,0
2000,2000,NT,Northwest Territories,Territoires du Nord-Ouest,Provincial land,Terres provinciales,Unspecified,Indeterminee,0,0
2000,2000,NT,Northwest Territories,Territoires du Nord-Ouest,Private land,Terres privees,Unspecified,Indeterminee,0,0
2000,2000,NU,Nunavut,Nunavut,Federal land,Terres federales,Aerial,Aerien,0,0
2000,2000,NU,Nunavut,Nunavut,Federal land,Terres federales,Ground,Sol,0,0
2000,2000,NU,Nunavut,Nunavut,Federal land,Terres federales,Unspecified,Indeterminee,0,0
2000,2000,ON,Ontario,Ontario,Federal land,Terres federales,Aerial,Aerien,0,0
2000,2000,ON,Ontario,Ontario,Federal land,Terres federales,Ground,Sol,0,0
2000,2000,ON,Ontario,Ontario,Federal land,Terres federales,Unspecified,Indeterminee,0,0
2000,2000,ON,Ontario,Ontario,Provincial land,Terres provinciales,Aerial,Aerien,0,0
2000,2000,ON,Ontario,Ontario,Private land,Terres privees,Aerial,Aerien,0,0
2000,2000,ON,Ontario,Ontario,Provincial land,Terres provinciales,Ground,Sol,0,0
2000,2000,ON,Ontario,Ontario,Private land,Terres privees,Ground,Sol,0,0
2000,2000,ON,Ontario,Ontario,Provincial land,Terres provinciales,Unspecified,Indeterminee,17547,17547
2000,2000,ON,Ontario,Ontario,Private land,Terres privees,Unspecified,Indeterminee,0,0
2000,2000,PE,Prince Edward Island,Ile-du-Prince-edouard,Federal land,Terres federales,Aerial,Aerien,0,0
2000,2000,PE,Prince Edward Island,Ile-du-Prince-edouard,Federal land,Terres federales,Ground,Sol,0,0
2000,2000,PE,Prince Edward Island,Ile-du-Prince-edouard,Federal land,Terres federales,Unspecified,Indeterminee,0,0
2000,2000,PE,Prince Edward Island,Ile-du-Prince-edouard,Provincial land,Terres provinciales,Aerial,Aerien,0,0
2000,2000,PE,Prince Edward Island,Ile-du-Prince-edouard,Private land,Terres privees,Aerial,Aerien,0,0
2000,2000,PE,Prince Edward Island,Ile-du-Prince-edouard,Provincial land,Terres provinciales,Ground,Sol,0,0
2000,2000,PE,Prince Edward Island,Ile-du-Prince-edouard,Private land,Terres privees,Ground,Sol,0,0
2000,2000,PE,Prince Edward Island,Ile-du-Prince-edouard,Provincial land,Terres provinciales,Unspecified,Indeterminee,0,0
2000,2000,PE,Prince Edward Island,Ile-du-Prince-edouard,Private land,Terres privees,Unspecified,Indeterminee,0,0
2000,2000,QC,Quebec,Quebec,Federal land,Terres federales,Aerial,Aerien,0,0
2000,2000,QC,Quebec,Quebec,Federal land,Terres federales,Ground,Sol,0,0
2000,2000,QC,Quebec,Quebec,Federal land,Terres federales,Unspecified,Indeterminee,0,0
2000,2000,QC,Quebec,Quebec,Provincial land,Terres provinciales,Aerial,Aerien,0,0
2000,2000,QC,Quebec,Quebec,Private land,Terres privees,Aerial,Aerien,0,0
2000,2000,QC,Quebec,Quebec,Provincial land,Terres provinciales,Ground,Sol,136,136
2000,2000,QC,Quebec,Quebec,Private land,Terres privees,Ground,Sol,0,0
2000,2000,QC,Quebec,Quebec,Provincial land,Terres provinciales,Unspecified,Indeterminee,0,0
2000,2000,QC,Quebec,Quebec,Private land,Terres privees,Unspecified,Indeterminee,0,0
2000,2000,SK,Saskatchewan,Saskatchewan,Federal land,Terres federales,Aerial,Aerien,0,0
2000,2000,SK,Saskatchewan,Saskatchewan,Federal land,Terres federales,Ground,Sol,0,0
2000,2000,SK,Saskatchewan,Saskatchewan,Federal land,Terres federales,Unspecified,Indeterminee,0,0
2000,2000,SK,Saskatchewan,Saskatchewan,Provincial land,Terres provinciales,Aerial,Aerien,0,0
2000,2000,SK,Saskatchewan,Saskatchewan,Private land,Terres privees,Aerial,Aerien,0,0
2000,2000,SK,Saskatchewan,Saskatchewan,Provincial land,Terres provinciales,Ground,Sol,0,0
