year,annee,jurisdiction,juridiction,iso,sub_sectors,sous_secteurs,indicators,indicateur,commodities,produits,unit_of_measure,unite_de_mesure,value
2010,2010,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Other bioproducts (from forestry biomass),Autre bioproduits (issus de la biomasse forestière),Number,Nombre,269
2010,2010,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Primary forestry bioproducts,Bioproduits forestiers primaires,Number,Nombre,344.75
2010,2010,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Primary manufacturing,Fabrication primaire,Number,Nombre,81541.75
2010,2010,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Primary pulp and paper products,Produits de pâte et papier primaires,Number,Nombre,31018
2010,2010,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Primary sawmill and wood products,Produit de scierie et de bois primaire,Number,Nombre,50179
2010,2010,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Secondary paper products,Produits du papier secondaires,Number,Nombre,28964
2010,2010,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Secondary wood products and furniture,Produits du bois secondaires et meubles,Number,Nombre,71334.25
2010,2010,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Services,Services,Number,Nombre,22994.25
2010,2010,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Services and custom work,Services et travail sur commande,Number,Nombre,7270
2010,2010,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Total commodities,Total des produits,Number,Nombre,233522.25
2011,2011,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Bioenergy and biofuels (from forestry biomass),Bioénergie et biocarburants (issus de la biomasse forestière),Number,Nombre,76
2011,2011,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Extraction,Extraction,Number,Nombre,22761
2011,2011,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Other bioproducts (from forestry biomass),Autre bioproduits (issus de la biomasse forestière),Number,Nombre,360
2011,2011,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Primary forestry bioproducts,Bioproduits forestiers primaires,Number,Nombre,436.25
2011,2011,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Primary manufacturing,Fabrication primaire,Number,Nombre,76655
2011,2011,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Primary pulp and paper products,Produits de pâte et papier primaires,Number,Nombre,28776.75
2011,2011,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Primary sawmill and wood products,Produit de scierie et de bois primaire,Number,Nombre,47442
2011,2011,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Secondary paper products,Produits du papier secondaires,Number,Nombre,26170
2011,2011,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Secondary wood products and furniture,Produits du bois secondaires et meubles,Number,Nombre,70642.25
2011,2011,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Services,Services,Number,Nombre,23492.75
2011,2011,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Services and custom work,Services et travail sur commande,Number,Nombre,7386
2011,2011,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Total commodities,Total des produits,Number,Nombre,227107
2012,2012,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Bioenergy and biofuels (from forestry biomass),Bioénergie et biocarburants (issus de la biomasse forestière),Number,Nombre,117
2012,2012,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Extraction,Extraction,Number,Nombre,19885.25
2012,2012,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Other bioproducts (from forestry biomass),Autre bioproduits (issus de la biomasse forestière),Number,Nombre,267
2012,2012,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Primary forestry bioproducts,Bioproduits forestiers primaires,Number,Nombre,384
2012,2012,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Primary manufacturing,Fabrication primaire,Number,Nombre,76096.75
2012,2012,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Primary pulp and paper products,Produits de pâte et papier primaires,Number,Nombre,26459
2012,2012,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Primary sawmill and wood products,Produit de scierie et de bois primaire,Number,Nombre,49253.75
2012,2012,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Secondary paper products,Produits du papier secondaires,Number,Nombre,26389
2012,2012,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Secondary wood products and furniture,Produits du bois secondaires et meubles,Number,Nombre,70582.75
2012,2012,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Services,Services,Number,Nombre,21875.75
2012,2012,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Services and custom work,Services et travail sur commande,Number,Nombre,6978
2012,2012,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Total commodities,Total des produits,Number,Nombre,221807.5
2013,2013,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Bioenergy and biofuels (from forestry biomass),Bioénergie et biocarburants (issus de la biomasse forestière),Number,Nombre,130
2013,2013,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Extraction,Extraction,Number,Nombre,14166.25
2013,2013,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Other bioproducts (from forestry biomass),Autre bioproduits (issus de la biomasse forestière),Number,Nombre,304
2013,2013,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Primary forestry bioproducts,Bioproduits forestiers primaires,Number,Nombre,434
2013,2013,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Primary manufacturing,Fabrication primaire,Number,Nombre,79680.75
2013,2013,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Primary pulp and paper products,Produits de pâte et papier primaires,Number,Nombre,27446
2013,2013,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Primary sawmill and wood products,Produit de scierie et de bois primaire,Number,Nombre,51800.75
2013,2013,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Secondary paper products,Produits du papier secondaires,Number,Nombre,26418
2013,2013,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Secondary wood products and furniture,Produits du bois secondaires et meubles,Number,Nombre,63158
2013,2013,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Services,Services,Number,Nombre,28607
2013,2013,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Services and custom work,Services et travail sur commande,Number,Nombre,7163.25
2013,2013,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Total commodities,Total des produits,Number,Nombre,219193.25
2014,2014,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Bioenergy and biofuels (from forestry biomass),Bioénergie et biocarburants (issus de la biomasse forestière),Number,Nombre,149
2014,2014,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Extraction,Extraction,Number,Nombre,13545.75
2014,2014,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Other bioproducts (from forestry biomass),Autre bioproduits (issus de la biomasse forestière),Number,Nombre,301
2014,2014,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Primary forestry bioproducts,Bioproduits forestiers primaires,Number,Nombre,450
2014,2014,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Primary manufacturing,Fabrication primaire,Number,Nombre,79647
2014,2014,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Primary pulp and paper products,Produits de pâte et papier primaires,Number,Nombre,27044
2014,2014,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Primary sawmill and wood products,Produit de scierie et de bois primaire,Number,Nombre,52153
2014,2014,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Secondary paper products,Produits du papier secondaires,Number,Nombre,27715.75
2014,2014,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Secondary wood products and furniture,Produits du bois secondaires et meubles,Number,Nombre,64613
2014,2014,Canada,Canada,CA,Forestry,Foresterie,Employment,Emplois,Services,Services,Number,Nombre,29412
