Year,ISO,Jurisdiction,Species group,Tenure (En),Volume (cubic metres) (En),Data qualifier
1990,QC,Quebec,Softwoods,Private land,5336100,a
1990,QC,Quebec,Hardwoods,Provincial land,11292100,a
1990,QC,Quebec,Hardwoods,Private land,8183200,a
1990,QC,Quebec,Unspecified,Provincial land,0,u
1990,QC,Quebec,Unspecified,Private land,0,u
1990,QC,Quebec,Hardwoods,Federal land,0,u
1990,QC,Quebec,Softwoods,Federal land,0,u
1990,QC,Quebec,Unspecified,Federal land,0,u
1990,QC,Quebec,Unspecified,Federal land,490000,E
1990,SK,Saskatchewan,Softwoods,Provincial land,3640000,r
1990,SK,Saskatchewan,Softwoods,Private land,80000,e
1990,SK,Saskatchewan,Hardwoods,Provincial land,3010000,r
1990,SK,Saskatchewan,Hardwoods,Private land,200000,e
1990,SK,Saskatchewan,Unspecified,Provincial land,0,r
1990,SK,Saskatchewan,Unspecified,Private land,0,e
1990,SK,Saskatchewan,Hardwoods,Federal land,0,u
1990,SK,Saskatchewan,Softwoods,Federal land,0,u
1990,SK,Saskatchewan,Unspecified,Federal land,0,u
1990,SK,Saskatchewan,Unspecified,Federal land,462000,E
1990,YT,Yukon,Softwoods,Provincial land,0,u
1990,YT,Yukon,Softwoods,Private land,0,u
1990,YT,Yukon,Hardwoods,Provincial land,0,u
1990,YT,Yukon,Hardwoods,Private land,0,u
1990,YT,Yukon,Unspecified,Provincial land,0,u
1990,YT,Yukon,Unspecified,Private land,0,u
1990,YT,Yukon,Hardwoods,Federal land,0,n
1990,YT,Yukon,Softwoods,Federal land,0,n
1990,YT,Yukon,Unspecified,Federal land,0,u
1991,AB,Alberta,Hardwoods,Private land,556000,E
1991,AB,Alberta,Softwoods,Private land,436000,E
1991,AB,Alberta,Softwoods,Provincial land,14520271,a
1991,AB,Alberta,Hardwoods,Provincial land,10377064,a
1991,AB,Alberta,Unspecified,Provincial land,0,u
1991,AB,Alberta,Hardwoods,Federal land,0,u
1991,AB,Alberta,Softwoods,Federal land,0,u
1991,AB,Alberta,Unspecified,Federal land,0,u
1991,AB,Alberta,Unspecified,Federal land,948000,E
1991,BC,British Columbia,Hardwoods,Private land,502961,E
1991,BC,British Columbia,Softwoods,Private land,6176236,E
1991,BC,British Columbia,Softwoods,Private land regulated,2658670,a
1991,BC,British Columbia,Hardwoods,Private land regulated,9566,a
1991,BC,British Columbia,Unspecified,Private land regulated,0,u
1991,BC,British Columbia,Softwoods,Provincial land,67667000,a
1991,BC,British Columbia,Hardwoods,Provincial land,2382191,a
1991,BC,British Columbia,Unspecified,Provincial land,0,u
1991,BC,British Columbia,Hardwoods,Federal land,0,u
1991,BC,British Columbia,Softwoods,Federal land,0,u
1991,BC,British Columbia,Unspecified,Federal land,0,u
1991,BC,British Columbia,Unspecified,Federal land,538000,E
1991,GC,Canada,Hardwoods,Federal land,0,u
1991,GC,Canada,Softwoods,Federal land,0,u
1991,GC,Canada,Unspecified,Federal land,3803400,E
1991,MB,Manitoba,Softwoods,Provincial land,5946200,a
1991,MB,Manitoba,Softwoods,Private land,40270,a
1991,MB,Manitoba,Hardwoods,Provincial land,2311190,a
1991,MB,Manitoba,Hardwoods,Private land,564300,a
1991,MB,Manitoba,Unspecified,Provincial land,0,u
1991,MB,Manitoba,Unspecified,Private land,0,u
1991,MB,Manitoba,Hardwoods,Federal land,0,u
1991,MB,Manitoba,Softwoods,Federal land,0,u
1991,MB,Manitoba,Unspecified,Federal land,0,u
1991,MB,Manitoba,Unspecified,Federal land,86000,E
1991,NB,New Brunswick,Softwoods,Provincial land,4330615,a
1991,NB,New Brunswick,Softwoods,Private land,3594230,a
1991,NB,New Brunswick,Hardwoods,Provincial land,1839360,a
1991,NB,New Brunswick,Hardwoods,Private land,2102040,a
1991,NB,New Brunswick,Unspecified,Provincial land,0,u
1991,NB,New Brunswick,Unspecified,Private land,0,u
1991,NB,New Brunswick,Hardwoods,Federal land,0,u
1991,NB,New Brunswick,Softwoods,Federal land,0,u
1991,NB,New Brunswick,Unspecified,Federal land,0,u
1991,NB,New Brunswick,Unspecified,Federal land,186000,E
1991,NL,Newfoundland and Labrador,Softwoods,Provincial land,1175000,a
1991,NL,Newfoundland and Labrador,Softwoods,Private land,1835000,a
1991,NL,Newfoundland and Labrador,Hardwoods,Provincial land,0,u
1991,NL,Newfoundland and Labrador,Hardwoods,Private land,0,u
1991,NL,Newfoundland and Labrador,Unspecified,Provincial land,0,u
1991,NL,Newfoundland and Labrador,Unspecified,Private land,0,u
1991,NL,Newfoundland and Labrador,Hardwoods,Federal land,0,u
1991,NL,Newfoundland and Labrador,Softwoods,Federal land,0,u
1991,NL,Newfoundland and Labrador,Unspecified,Federal land,0,u
1991,NL,Newfoundland and Labrador,Unspecified,Federal land,7300,E
1991,NS,Nova Scotia,Softwoods,Provincial land,850000,a
1991,NS,Nova Scotia,Softwoods,Private land,2900000,a
1991,NS,Nova Scotia,Hardwoods,Provincial land,500000,a
1991,NS,Nova Scotia,Hardwoods,Private land,1000000,a
1991,NS,Nova Scotia,Unspecified,Provincial land,0,u
1991,NS,Nova Scotia,Unspecified,Private land,0,u
1991,NS,Nova Scotia,Hardwoods,Federal land,0,u
1991,NS,Nova Scotia,Softwoods,Federal land,0,u
1991,NS,Nova Scotia,Unspecified,Federal land,0,u
1991,NS,Nova Scotia,Unspecified,Federal land,25000,E
1991,NT,Northwest Territories,Softwoods,Provincial land,0,n
1991,NT,Northwest Territories,Softwoods,Private land,0,n
1991,NT,Northwest Territories,Hardwoods,Provincial land,0,n
1991,NT,Northwest Territories,Hardwoods,Private land,0,n
1991,NT,Northwest Territories,Unspecified,Provincial land,0,u
1991,NT,Northwest Territories,Unspecified,Private land,0,u
1991,NT,Northwest Territories,Hardwoods,Federal land,0,n
1991,NT,Northwest Territories,Softwoods,Federal land,0,n
1991,NT,Northwest Territories,Unspecified,Federal land,0,u
1991,NU,Nunavut,Hardwoods,Federal land,0,u
1991,NU,Nunavut,Softwoods,Federal land,0,u
1991,NU,Nunavut,Unspecified,Federal land,0,u
1991,ON,Ontario,Unspecified,Private land,0,u
1991,ON,Ontario,Hardwoods,Federal land,0,u
1991,ON,Ontario,Softwoods,Federal land,0,u
1991,ON,Ontario,Unspecified,Federal land,0,u
1991,ON,Ontario,Unspecified,Federal land,1062000,E
1991,ON,Ontario,Hardwoods,Private land,678500,E
1991,ON,Ontario,Softwoods,Private land,3090000,E
1991,ON,Ontario,Softwoods,Provincial land,27385000,E
1991,ON,Ontario,Hardwoods,Provincial land,16125000,E
1991,PE,Prince Edward Island,Softwoods,Provincial land,25300,a
1991,PE,Prince Edward Island,Softwoods,Private land,385000,a
1991,PE,Prince Edward Island,Hardwoods,Provincial land,12900,a
1991,PE,Prince Edward Island,Hardwoods,Private land,322000,a
1991,PE,Prince Edward Island,Unspecified,Provincial land,0,u
1991,PE,Prince Edward Island,Unspecified,Private land,0,u
1991,PE,Prince Edward Island,Hardwoods,Federal land,0,u
1991,PE,Prince Edward Island,Softwoods,Federal land,0,u
1991,PE,Prince Edward Island,Unspecified,Federal land,0,u
1991,PE,Prince Edward Island,Unspecified,Federal land,1100,E
1991,QC,Quebec,Softwoods,Provincial land,31095500,a
1991,QC,Quebec,Softwoods,Private land,5336100,a
1991,QC,Quebec,Hardwoods,Provincial land,11292100,a
1991,QC,Quebec,Hardwoods,Private land,8183200,a
1991,QC,Quebec,Unspecified,Provincial land,0,u
1991,QC,Quebec,Unspecified,Private land,0,u
1991,QC,Quebec,Hardwoods,Federal land,0,u
1991,QC,Quebec,Softwoods,Federal land,0,u
1991,QC,Quebec,Unspecified,Federal land,0,u
1991,QC,Quebec,Unspecified,Federal land,488000,E
1991,SK,Saskatchewan,Softwoods,Provincial land,3636000,r
1991,SK,Saskatchewan,Softwoods,Private land,80000,e
1991,SK,Saskatchewan,Hardwoods,Provincial land,3009000,r
