Year,Measure,Value
2014,"Transfers from the managed forest sector to the forest products sector due to harvesting  (CO2e/yr, megatonnes)",155.08
2015,"Net emissions or removals due to human forest management activities and from harvested wood products  (CO2e/yr, megatonnes)",3.04
2015,"Net emissions or removals due to natural disturbances  (CO2e/yr, megatonnes)",272.30
2015,"Total net emissions or removals to the atmosphere, all causes  (CO2e/yr, megatonnes)",275.34
2015,"Transfers from the managed forest sector to the forest products sector due to harvesting  (CO2e/yr, megatonnes)",160.02
2016,"Net emissions or removals due to human forest management activities and from harvested wood products  (CO2e/yr, megatonnes)",-1.65
2016,"Net emissions or removals due to natural disturbances  (CO2e/yr, megatonnes)",119.70
2016,"Total net emissions or removals to the atmosphere, all causes  (CO2e/yr, megatonnes)",118.05
2016,"Transfers from the managed forest sector to the forest products sector due to harvesting  (CO2e/yr, megatonnes)",159.13
2017,"Net emissions or removals due to human forest management activities and from harvested wood products  (CO2e/yr, megatonnes)",-1.73
2017,"Net emissions or removals due to natural disturbances  (CO2e/yr, megatonnes)",242.68
2017,"Total net emissions or removals to the atmosphere, all causes  (CO2e/yr, megatonnes)",240.96
2017,"Transfers from the managed forest sector to the forest products sector due to harvesting  (CO2e/yr, megatonnes)",156.33
2018,"Net emissions or removals due to human forest management activities and from harvested wood products  (CO2e/yr, megatonnes)",3.31
2018,"Net emissions or removals due to natural disturbances  (CO2e/yr, megatonnes)",265.46
2018,"Total net emissions or removals to the atmosphere, all causes  (CO2e/yr, megatonnes)",268.77
2018,"Transfers from the managed forest sector to the forest products sector due to harvesting  (CO2e/yr, megatonnes)",158.17
2019,"Net emissions or removals due to human forest management activities and from harvested wood products  (CO2e/yr, megatonnes)",-8.96
2019,"Net emissions or removals due to natural disturbances  (CO2e/yr, megatonnes)",170.41
2019,"Total net emissions or removals to the atmosphere, all causes  (CO2e/yr, megatonnes)",161.45
2019,"Transfers from the managed forest sector to the forest products sector due to harvesting  (CO2e/yr, megatonnes)",142.69
2020,"Net emissions or removals due to human forest management activities and from harvested wood products  (CO2e/yr, megatonnes)",-5.52
2020,"Net emissions or removals due to natural disturbances  (CO2e/yr, megatonnes)",20.93
2020,"Total net emissions or removals to the atmosphere, all causes  (CO2e/yr, megatonnes)",15.41
2020,"Transfers from the managed forest sector to the forest products sector due to harvesting  (CO2e/yr, megatonnes)",142.94
2021,"Net emissions or removals due to human forest management activities and from harvested wood products  (CO2e/yr, megatonnes)",-7.96
2021,"Net emissions or removals due to natural disturbances  (CO2e/yr, megatonnes)",310.10
2021,"Total net emissions or removals to the atmosphere, all causes  (CO2e/yr, megatonnes)",302.14
2021,"Transfers from the managed forest sector to the forest products sector due to harvesting  (CO2e/yr, megatonnes)",142.44
