Year,Jurisdiction,Industry,Product,Value
2000,Nunavut,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,0
2000,Nunavut,Wood product manufacturing,Other wood product manufacturing,0
2000,Nunavut,All industries,Total revenue,0
2000,Ontario,Logging,Total logging,1807779000
2000,Ontario,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,11349904000
2000,Ontario,Pulp and paper product manufacturing,Converted paper product manufacturing,4852608000
2000,Ontario,Pulp and paper product manufacturing,Pulp paper and paperboard mills,6497296000
2000,Ontario,Wood product manufacturing,Total wood product manufacturing,5730597000
2000,Ontario,Wood product manufacturing,Sawmills and wood preservation,2093496000
2000,Ontario,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,1633851000
2000,Ontario,Wood product manufacturing,Other wood product manufacturing,2003250000
2000,Ontario,All industries,Total revenue,18888280000
2000,Prince Edward Island,Logging,Total logging,10028000
2000,Prince Edward Island,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,0
2000,Prince Edward Island,Pulp and paper product manufacturing,Converted paper product manufacturing,0
2000,Prince Edward Island,Pulp and paper product manufacturing,Pulp paper and paperboard mills,0
2000,Prince Edward Island,Wood product manufacturing,Total wood product manufacturing,48038000
2000,Prince Edward Island,Wood product manufacturing,Sawmills and wood preservation,0
2000,Prince Edward Island,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,0
2000,Prince Edward Island,Wood product manufacturing,Other wood product manufacturing,0
2000,Prince Edward Island,All industries,Total revenue,58066000
2000,Quebec,Logging,Total logging,2604807000
2000,Quebec,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,12111039000
2000,Quebec,Pulp and paper product manufacturing,Converted paper product manufacturing,3136403000
2000,Quebec,Pulp and paper product manufacturing,Pulp paper and paperboard mills,8974636000
2000,Quebec,Wood product manufacturing,Total wood product manufacturing,8334780000
2000,Quebec,Wood product manufacturing,Sawmills and wood preservation,4505341000
2000,Quebec,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,1513594000
2000,Quebec,Wood product manufacturing,Other wood product manufacturing,2315845000
2000,Quebec,All industries,Total revenue,23050626000
2000,Saskatchewan,Logging,Total logging,205980000
2000,Saskatchewan,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,591975000
2000,Saskatchewan,Pulp and paper product manufacturing,Converted paper product manufacturing,0
2000,Saskatchewan,Pulp and paper product manufacturing,Pulp paper and paperboard mills,0
2000,Saskatchewan,Wood product manufacturing,Total wood product manufacturing,346710000
2000,Saskatchewan,Wood product manufacturing,Sawmills and wood preservation,202772000
2000,Saskatchewan,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,104244000
2000,Saskatchewan,Wood product manufacturing,Other wood product manufacturing,39694000
2000,Saskatchewan,All industries,Total revenue,1144665000
2000,Yukon,Logging,Total logging,0
2000,Yukon,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,0
2000,Yukon,Pulp and paper product manufacturing,Converted paper product manufacturing,0
2000,Yukon,Pulp and paper product manufacturing,Pulp paper and paperboard mills,0
2000,Yukon,Wood product manufacturing,Total wood product manufacturing,0
2000,Yukon,Wood product manufacturing,Sawmills and wood preservation,0
2000,Yukon,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,0
2000,Yukon,Wood product manufacturing,Other wood product manufacturing,0
2000,Yukon,All industries,Total revenue,0
2001,Canada,Logging,Total logging,12657985000
2001,Canada,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,35842469000
2001,Canada,Pulp and paper product manufacturing,Converted paper product manufacturing,9851721000
2001,Canada,Pulp and paper product manufacturing,Pulp paper and paperboard mills,25990748000
2001,Canada,Wood product manufacturing,Total wood product manufacturing,30074874000
2001,Canada,Wood product manufacturing,Sawmills and wood preservation,17201664000
2001,Canada,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,6128368000
2001,Canada,Wood product manufacturing,Other wood product manufacturing,6744842000
2001,Canada,All industries,Total revenue,78575328000
2001,Alberta,Logging,Total logging,686421000
2001,Alberta,Pulp and paper product manufacturing,Total pulp and paper product manufacturing,1715256000
2001,Alberta,Pulp and paper product manufacturing,Converted paper product manufacturing,293937000
2001,Alberta,Pulp and paper product manufacturing,Pulp paper and paperboard mills,1421319000
2001,Alberta,Wood product manufacturing,Total wood product manufacturing,2599877000
