Year,Jurisdiction,Industry,Product,Value
2001,New Brunswick,Wood product manufacturing,Other wood product manufacturing,176157000
2001,Newfoundland and Labrador,Wood product manufacturing,Total wood product manufacturing,94838000
2001,Newfoundland and Labrador,Wood product manufacturing,Sawmills and wood preservation,0
2001,Newfoundland and Labrador,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,4635000
2001,Newfoundland and Labrador,Wood product manufacturing,Other wood product manufacturing,0
2001,Northwest Territories,Wood product manufacturing,Total wood product manufacturing,0
2001,Northwest Territories,Wood product manufacturing,Sawmills and wood preservation,0
2001,Northwest Territories,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,0
2001,Northwest Territories,Wood product manufacturing,Other wood product manufacturing,0
2001,Nova Scotia,Wood product manufacturing,Total wood product manufacturing,527603000
2001,Nova Scotia,Wood product manufacturing,Sawmills and wood preservation,393301000
2001,Nova Scotia,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,69340000
2001,Nova Scotia,Wood product manufacturing,Other wood product manufacturing,64962000
2001,Nunavut,Wood product manufacturing,Total wood product manufacturing,0
2001,Nunavut,Wood product manufacturing,Sawmills and wood preservation,0
2001,Nunavut,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,0
2001,Nunavut,Wood product manufacturing,Other wood product manufacturing,0
2001,Ontario,Wood product manufacturing,Total wood product manufacturing,5588952000
2001,Ontario,Wood product manufacturing,Sawmills and wood preservation,2018853000
2001,Ontario,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,1523337000
2001,Ontario,Wood product manufacturing,Other wood product manufacturing,2046762000
2001,Prince Edward Island,Wood product manufacturing,Total wood product manufacturing,43462000
2001,Prince Edward Island,Wood product manufacturing,Sawmills and wood preservation,0
2001,Prince Edward Island,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,7953000
2001,Prince Edward Island,Wood product manufacturing,Other wood product manufacturing,0
2001,Quebec,Wood product manufacturing,Total wood product manufacturing,8063318000
2001,Quebec,Wood product manufacturing,Sawmills and wood preservation,4088595000
2001,Quebec,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,1542293000
2001,Quebec,Wood product manufacturing,Other wood product manufacturing,2432430000
2001,Saskatchewan,Wood product manufacturing,Total wood product manufacturing,314894000
2001,Saskatchewan,Wood product manufacturing,Sawmills and wood preservation,160803000
2001,Saskatchewan,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,115112000
2001,Saskatchewan,Wood product manufacturing,Other wood product manufacturing,38979000
2001,Yukon,Wood product manufacturing,Total wood product manufacturing,0
2001,Yukon,Wood product manufacturing,Sawmills and wood preservation,0
2001,Yukon,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,0
2001,Yukon,Wood product manufacturing,Other wood product manufacturing,0
2002,Canada,Wood product manufacturing,Total wood product manufacturing,32174361000
2002,Canada,Wood product manufacturing,Sawmills and wood preservation,17842483000
2002,Canada,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,6737775000
2002,Canada,Wood product manufacturing,Other wood product manufacturing,7594103000
2002,Alberta,Wood product manufacturing,Total wood product manufacturing,2887937000
2002,Alberta,Wood product manufacturing,Sawmills and wood preservation,1291771000
2002,Alberta,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,982425000
2002,Alberta,Wood product manufacturing,Other wood product manufacturing,613741000
2002,British Columbia,Wood product manufacturing,Total wood product manufacturing,11361619000
2002,British Columbia,Wood product manufacturing,Sawmills and wood preservation,8340253000
2002,British Columbia,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,1681163000
2002,British Columbia,Wood product manufacturing,Other wood product manufacturing,1340203000
2002,Manitoba,Wood product manufacturing,Total wood product manufacturing,595979000
2002,Manitoba,Wood product manufacturing,Sawmills and wood preservation,0
2002,Manitoba,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,135251000
2002,Manitoba,Wood product manufacturing,Other wood product manufacturing,0
2002,New Brunswick,Wood product manufacturing,Total wood product manufacturing,1486476000
2002,New Brunswick,Wood product manufacturing,Sawmills and wood preservation,946846000
2002,New Brunswick,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,316543000
2002,New Brunswick,Wood product manufacturing,Other wood product manufacturing,223087000
2002,Newfoundland and Labrador,Wood product manufacturing,Total wood product manufacturing,89775000
2002,Newfoundland and Labrador,Wood product manufacturing,Sawmills and wood preservation,0
2002,Newfoundland and Labrador,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,0
2002,Newfoundland and Labrador,Wood product manufacturing,Other wood product manufacturing,0
2002,Northwest Territories,Wood product manufacturing,Total wood product manufacturing,0
2002,Northwest Territories,Wood product manufacturing,Sawmills and wood preservation,0
2002,Northwest Territories,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,0
2002,Northwest Territories,Wood product manufacturing,Other wood product manufacturing,0
2002,Nova Scotia,Wood product manufacturing,Total wood product manufacturing,573596000
2002,Nova Scotia,Wood product manufacturing,Sawmills and wood preservation,418841000
2002,Nova Scotia,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,0
2002,Nova Scotia,Wood product manufacturing,Other wood product manufacturing,0
2002,Nunavut,Wood product manufacturing,Total wood product manufacturing,0
2002,Nunavut,Wood product manufacturing,Sawmills and wood preservation,0
2002,Nunavut,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,0
2002,Nunavut,Wood product manufacturing,Other wood product manufacturing,0
2002,Ontario,Wood product manufacturing,Total wood product manufacturing,6027414000
2002,Ontario,Wood product manufacturing,Sawmills and wood preservation,2118657000
2002,Ontario,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,1648769000
2002,Ontario,Wood product manufacturing,Other wood product manufacturing,2259988000
2002,Prince Edward Island,Wood product manufacturing,Total wood product manufacturing,46093000
2002,Prince Edward Island,Wood product manufacturing,Sawmills and wood preservation,0
2002,Prince Edward Island,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,8982000
2002,Prince Edward Island,Wood product manufacturing,Other wood product manufacturing,0
2002,Quebec,Wood product manufacturing,Total wood product manufacturing,8749015000
2002,Quebec,Wood product manufacturing,Sawmills and wood preservation,4307839000
2002,Quebec,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,1720286000
2002,Quebec,Wood product manufacturing,Other wood product manufacturing,2720890000
2002,Saskatchewan,Wood product manufacturing,Total wood product manufacturing,356457000
2002,Saskatchewan,Wood product manufacturing,Sawmills and wood preservation,162428000
2002,Saskatchewan,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,150003000
2002,Saskatchewan,Wood product manufacturing,Other wood product manufacturing,44026000
2002,Yukon,Wood product manufacturing,Total wood product manufacturing,0
2002,Yukon,Wood product manufacturing,Sawmills and wood preservation,0
2002,Yukon,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,0
2002,Yukon,Wood product manufacturing,Other wood product manufacturing,0
2003,Canada,Wood product manufacturing,Total wood product manufacturing,30600184000
2003,Canada,Wood product manufacturing,Sawmills and wood preservation,15270643000
2003,Canada,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,7735606000
2003,Canada,Wood product manufacturing,Other wood product manufacturing,7593935000
2003,Alberta,Wood product manufacturing,Total wood product manufacturing,2922315000
2003,Alberta,Wood product manufacturing,Sawmills and wood preservation,1135331000
2003,Alberta,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,1234940000
2003,Alberta,Wood product manufacturing,Other wood product manufacturing,552044000
2003,British Columbia,Wood product manufacturing,Total wood product manufacturing,10189179000
2003,British Columbia,Wood product manufacturing,Sawmills and wood preservation,7017516000
2003,British Columbia,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,1866141000
2003,British Columbia,Wood product manufacturing,Other wood product manufacturing,1305522000
2003,Manitoba,Wood product manufacturing,Total wood product manufacturing,649474000
2003,Manitoba,Wood product manufacturing,Sawmills and wood preservation,0
2003,Manitoba,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,0
2003,Manitoba,Wood product manufacturing,Other wood product manufacturing,0
2003,New Brunswick,Wood product manufacturing,Total wood product manufacturing,1351053000
2003,New Brunswick,Wood product manufacturing,Sawmills and wood preservation,0
2003,New Brunswick,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,0
2003,New Brunswick,Wood product manufacturing,Other wood product manufacturing,232732000
2003,Newfoundland and Labrador,Wood product manufacturing,Total wood product manufacturing,57968000
2003,Newfoundland and Labrador,Wood product manufacturing,Sawmills and wood preservation,43689000
2003,Newfoundland and Labrador,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,4013000
2003,Newfoundland and Labrador,Wood product manufacturing,Other wood product manufacturing,10266000
2003,Northwest Territories,Wood product manufacturing,Total wood product manufacturing,0
2003,Northwest Territories,Wood product manufacturing,Sawmills and wood preservation,0
2003,Northwest Territories,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,0
2003,Northwest Territories,Wood product manufacturing,Other wood product manufacturing,0
2003,Nova Scotia,Wood product manufacturing,Total wood product manufacturing,536804000
2003,Nova Scotia,Wood product manufacturing,Sawmills and wood preservation,0
2003,Nova Scotia,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,0
2003,Nova Scotia,Wood product manufacturing,Other wood product manufacturing,71751000
2003,Nunavut,Wood product manufacturing,Total wood product manufacturing,0
2003,Nunavut,Wood product manufacturing,Sawmills and wood preservation,0
2003,Nunavut,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,0
2003,Nunavut,Wood product manufacturing,Other wood product manufacturing,0
2003,Ontario,Wood product manufacturing,Total wood product manufacturing,5990511000
2003,Ontario,Wood product manufacturing,Sawmills and wood preservation,1851235000
2003,Ontario,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,1804391000
2003,Ontario,Wood product manufacturing,Other wood product manufacturing,2334885000
2003,Prince Edward Island,Wood product manufacturing,Total wood product manufacturing,48745000
2003,Prince Edward Island,Wood product manufacturing,Sawmills and wood preservation,0
2003,Prince Edward Island,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,0
2003,Prince Edward Island,Wood product manufacturing,Other wood product manufacturing,12165000
2003,Quebec,Wood product manufacturing,Total wood product manufacturing,8458972000
2003,Quebec,Wood product manufacturing,Sawmills and wood preservation,3790133000
2003,Quebec,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,1907567000
2003,Quebec,Wood product manufacturing,Other wood product manufacturing,2761272000
2003,Saskatchewan,Wood product manufacturing,Total wood product manufacturing,395163000
2003,Saskatchewan,Wood product manufacturing,Sawmills and wood preservation,0
2003,Saskatchewan,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,0
2003,Saskatchewan,Wood product manufacturing,Other wood product manufacturing,0
2003,Yukon,Wood product manufacturing,Total wood product manufacturing,0
2003,Yukon,Wood product manufacturing,Sawmills and wood preservation,0
2003,Yukon,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,0
2003,Yukon,Wood product manufacturing,Other wood product manufacturing,0
2004,Canada,Wood product manufacturing,Total wood product manufacturing,35843804000
2004,Canada,Wood product manufacturing,Sawmills and wood preservation,18278780000
2004,Canada,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,9372982000
2004,Canada,Wood product manufacturing,Other wood product manufacturing,8192042000
2004,Alberta,Wood product manufacturing,Total wood product manufacturing,3699121000
2004,Alberta,Wood product manufacturing,Sawmills and wood preservation,1460788000
2004,Alberta,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,1531901000
2004,Alberta,Wood product manufacturing,Other wood product manufacturing,706432000
2004,British Columbia,Wood product manufacturing,Total wood product manufacturing,12411762000
2004,British Columbia,Wood product manufacturing,Sawmills and wood preservation,8717279000
2004,British Columbia,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,2314062000
2004,British Columbia,Wood product manufacturing,Other wood product manufacturing,1380421000
2004,Manitoba,Wood product manufacturing,Total wood product manufacturing,748276000
2004,Manitoba,Wood product manufacturing,Sawmills and wood preservation,0
2004,Manitoba,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,289654000
2004,Manitoba,Wood product manufacturing,Other wood product manufacturing,0
2004,New Brunswick,Wood product manufacturing,Total wood product manufacturing,1583434000
2004,New Brunswick,Wood product manufacturing,Sawmills and wood preservation,920993000
2004,New Brunswick,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,396431000
2004,New Brunswick,Wood product manufacturing,Other wood product manufacturing,266010000
2004,Newfoundland and Labrador,Wood product manufacturing,Total wood product manufacturing,75752000
2004,Newfoundland and Labrador,Wood product manufacturing,Sawmills and wood preservation,0
2004,Newfoundland and Labrador,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,0
2004,Newfoundland and Labrador,Wood product manufacturing,Other wood product manufacturing,0
2004,Northwest Territories,Wood product manufacturing,Total wood product manufacturing,0
2004,Northwest Territories,Wood product manufacturing,Sawmills and wood preservation,0
2004,Northwest Territories,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,0
2004,Northwest Territories,Wood product manufacturing,Other wood product manufacturing,0
2004,Nova Scotia,Wood product manufacturing,Total wood product manufacturing,600975000
2004,Nova Scotia,Wood product manufacturing,Sawmills and wood preservation,0
2004,Nova Scotia,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,0
2004,Nova Scotia,Wood product manufacturing,Other wood product manufacturing,0
2004,Nunavut,Wood product manufacturing,Total wood product manufacturing,0
2004,Nunavut,Wood product manufacturing,Sawmills and wood preservation,0
2004,Nunavut,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,0
2004,Nunavut,Wood product manufacturing,Other wood product manufacturing,0
2004,Ontario,Wood product manufacturing,Total wood product manufacturing,6449081000
2004,Ontario,Wood product manufacturing,Sawmills and wood preservation,1966525000
2004,Ontario,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,2119990000
2004,Ontario,Wood product manufacturing,Other wood product manufacturing,2362566000
2004,Prince Edward Island,Wood product manufacturing,Total wood product manufacturing,56360000
2004,Prince Edward Island,Wood product manufacturing,Sawmills and wood preservation,0
2004,Prince Edward Island,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,0
2004,Prince Edward Island,Wood product manufacturing,Other wood product manufacturing,0
2004,Quebec,Wood product manufacturing,Total wood product manufacturing,9539183000
2004,Quebec,Wood product manufacturing,Sawmills and wood preservation,4333746000
2004,Quebec,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,2164146000
2004,Quebec,Wood product manufacturing,Other wood product manufacturing,3041291000
2004,Saskatchewan,Wood product manufacturing,Total wood product manufacturing,679860000
2004,Saskatchewan,Wood product manufacturing,Sawmills and wood preservation,0
2004,Saskatchewan,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,442871000
2004,Saskatchewan,Wood product manufacturing,Other wood product manufacturing,0
2004,Yukon,Wood product manufacturing,Total wood product manufacturing,0
2004,Yukon,Wood product manufacturing,Sawmills and wood preservation,0
2004,Yukon,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,0
2004,Yukon,Wood product manufacturing,Other wood product manufacturing,0
2005,Canada,Wood product manufacturing,Total wood product manufacturing,33822041000
2005,Canada,Wood product manufacturing,Sawmills and wood preservation,17336181000
2005,Canada,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,8383951000
2005,Canada,Wood product manufacturing,Other wood product manufacturing,8101909000
2005,Alberta,Wood product manufacturing,Total wood product manufacturing,3344315000
2005,Alberta,Wood product manufacturing,Sawmills and wood preservation,1319081000
2005,Alberta,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,1265561000
2005,Alberta,Wood product manufacturing,Other wood product manufacturing,759673000
2005,British Columbia,Wood product manufacturing,Total wood product manufacturing,11425415000
2005,British Columbia,Wood product manufacturing,Sawmills and wood preservation,7984444000
2005,British Columbia,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,2019642000
2005,British Columbia,Wood product manufacturing,Other wood product manufacturing,1421329000
2005,Manitoba,Wood product manufacturing,Total wood product manufacturing,760304000
2005,Manitoba,Wood product manufacturing,Sawmills and wood preservation,0
2005,Manitoba,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,265608000
2005,Manitoba,Wood product manufacturing,Other wood product manufacturing,0
2005,New Brunswick,Wood product manufacturing,Total wood product manufacturing,1477653000
2005,New Brunswick,Wood product manufacturing,Sawmills and wood preservation,892788000
2005,New Brunswick,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,383598000
2005,New Brunswick,Wood product manufacturing,Other wood product manufacturing,201267000
2005,Newfoundland and Labrador,Wood product manufacturing,Total wood product manufacturing,68403000
2005,Newfoundland and Labrador,Wood product manufacturing,Sawmills and wood preservation,47647000
2005,Newfoundland and Labrador,Wood product manufacturing,Veneer plywood and engineered wood product manufacturing,4491000
2005,Newfoundland and Labrador,Wood product manufacturing,Other wood product manufacturing,16265000
2005,Northwest Territories,Wood product manufacturing,Total wood product manufacturing,0
2005,Northwest Territories,Wood product manufacturing,Sawmills and wood preservation,0
