Year,Jurisdiction,Sector,Employees
2021,Saskatchewan,Support activities for forestry,
2021,Saskatchewan,Wood product manufacturing,1444
2021,Yukon,Forestry and logging,
2021,Yukon,Paper manufacturing,
2021,Yukon,Support activities for forestry,
2021,Yukon,Wood product manufacturing,
2022,Canada,Forestry and logging,25831
2022,Canada,Paper manufacturing,48693
2022,Canada,Support activities for forestry,12201
2022,Canada,Wood product manufacturing,96055
2022,Alberta,Forestry and logging,2968
2022,Alberta,Paper manufacturing,2766
2022,Alberta,Support activities for forestry,888
2022,Alberta,Wood product manufacturing,10480
2022,British Columbia,Forestry and logging,11334
2022,British Columbia,Paper manufacturing,6351
2022,British Columbia,Support activities for forestry,5860
2022,British Columbia,Wood product manufacturing,24018
2022,Manitoba,Forestry and logging,
2022,Manitoba,Paper manufacturing,1436
2022,Manitoba,Support activities for forestry,
2022,Manitoba,Wood product manufacturing,2523
2022,New Brunswick,Forestry and logging,1634
2022,New Brunswick,Paper manufacturing,2449
2022,New Brunswick,Support activities for forestry,495
2022,New Brunswick,Wood product manufacturing,5842
2022,Newfoundland and Labrador,Forestry and logging,
2022,Newfoundland and Labrador,Paper manufacturing,
2022,Newfoundland and Labrador,Support activities for forestry,40
2022,Newfoundland and Labrador,Wood product manufacturing,433
2022,Northwest Territories,Forestry and logging,
2022,Northwest Territories,Paper manufacturing,
2022,Northwest Territories,Support activities for forestry,
2022,Northwest Territories,Wood product manufacturing,
2022,Nova Scotia,Forestry and logging,503
2022,Nova Scotia,Paper manufacturing,702
2022,Nova Scotia,Support activities for forestry,233
2022,Nova Scotia,Wood product manufacturing,1638
2022,Nunavut,Forestry and logging,
2022,Nunavut,Paper manufacturing,
2022,Nunavut,Support activities for forestry,
2022,Nunavut,Wood product manufacturing,
2022,Ontario,Forestry and logging,2665
2022,Ontario,Paper manufacturing,15645
2022,Ontario,Support activities for forestry,1012
2022,Ontario,Wood product manufacturing,18021
2022,Prince Edward Island,Forestry and logging,
2022,Prince Edward Island,Paper manufacturing,
2022,Prince Edward Island,Support activities for forestry,
2022,Prince Edward Island,Wood product manufacturing,
2022,Quebec,Forestry and logging,5850
2022,Quebec,Paper manufacturing,18611
2022,Quebec,Support activities for forestry,3388
2022,Quebec,Wood product manufacturing,31284
2022,Saskatchewan,Forestry and logging,
2022,Saskatchewan,Paper manufacturing,
2022,Saskatchewan,Support activities for forestry,
2022,Saskatchewan,Wood product manufacturing,1665
2022,Yukon,Forestry and logging,
2022,Yukon,Paper manufacturing,
2022,Yukon,Support activities for forestry,
2022,Yukon,Wood product manufacturing,
2023,Canada,Forestry and logging,24755
2023,Canada,Paper manufacturing,46649
2023,Canada,Support activities for forestry,12407
2023,Canada,Wood product manufacturing,93045
2023,Alberta,Forestry and logging,2932
2023,Alberta,Paper manufacturing,2498
2023,Alberta,Support activities for forestry,886
2023,Alberta,Wood product manufacturing,10355
2023,British Columbia,Forestry and logging,10021
2023,British Columbia,Paper manufacturing,5645
2023,British Columbia,Support activities for forestry,5795
2023,British Columbia,Wood product manufacturing,22498
2023,Manitoba,Forestry and logging,
2023,Manitoba,Paper manufacturing,1456
2023,Manitoba,Support activities for forestry,72
2023,Manitoba,Wood product manufacturing,2456
2023,New Brunswick,Forestry and logging,1638
2023,New Brunswick,Paper manufacturing,2481
2023,New Brunswick,Support activities for forestry,534
2023,New Brunswick,Wood product manufacturing,5830
2023,Newfoundland and Labrador,Forestry and logging,
2023,Newfoundland and Labrador,Paper manufacturing,
2023,Newfoundland and Labrador,Support activities for forestry,28
2023,Newfoundland and Labrador,Wood product manufacturing,380
2023,Northwest Territories,Forestry and logging,
2023,Northwest Territories,Paper manufacturing,
2023,Northwest Territories,Support activities for forestry,
2023,Northwest Territories,Wood product manufacturing,
2023,Nova Scotia,Forestry and logging,508
2023,Nova Scotia,Paper manufacturing,684
2023,Nova Scotia,Support activities for forestry,309
2023,Nova Scotia,Wood product manufacturing,1634
2023,Nunavut,Forestry and logging,
2023,Nunavut,Paper manufacturing,
2023,Nunavut,Support activities for forestry,
2023,Nunavut,Wood product manufacturing,
2023,Ontario,Forestry and logging,2766
2023,Ontario,Paper manufacturing,15633
2023,Ontario,Support activities for forestry,1100
2023,Ontario,Wood product manufacturing,17729
2023,Prince Edward Island,Forestry and logging,
2023,Prince Edward Island,Paper manufacturing,
2023,Prince Edward Island,Support activities for forestry,
2023,Prince Edward Island,Wood product manufacturing,
2023,Quebec,Forestry and logging,5989
2023,Quebec,Paper manufacturing,17486
2023,Quebec,Support activities for forestry,3475
2023,Quebec,Wood product manufacturing,30346
2023,Saskatchewan,Forestry and logging,
2023,Saskatchewan,Paper manufacturing,
2023,Saskatchewan,Support activities for forestry,
2023,Saskatchewan,Wood product manufacturing,1687
2023,Yukon,Forestry and logging,
2023,Yukon,Paper manufacturing,
2023,Yukon,Support activities for forestry,
2023,Yukon,Wood product manufacturing,
