Year,Jurisdiction,Sector,Employees
2012,Newfoundland and Labrador,Paper manufacturing,
2012,Newfoundland and Labrador,Support activities for forestry,414
2012,Newfoundland and Labrador,Wood product manufacturing,392
2012,Northwest Territories,Forestry and logging,
2012,Northwest Territories,Paper manufacturing,
2012,Northwest Territories,Support activities for forestry,
2012,Northwest Territories,Wood product manufacturing,
2012,Nova Scotia,Forestry and logging,742
2012,Nova Scotia,Paper manufacturing,1285
2012,Nova Scotia,Support activities for forestry,278
2012,Nova Scotia,Wood product manufacturing,1857
2012,Nunavut,Forestry and logging,
2012,Nunavut,Paper manufacturing,
2012,Nunavut,Support activities for forestry,
2012,Nunavut,Wood product manufacturing,
2012,Ontario,Forestry and logging,3343
2012,Ontario,Paper manufacturing,18001
2012,Ontario,Support activities for forestry,1489
2012,Ontario,Wood product manufacturing,15541
2012,Prince Edward Island,Forestry and logging,
2012,Prince Edward Island,Paper manufacturing,
2012,Prince Edward Island,Support activities for forestry,
2012,Prince Edward Island,Wood product manufacturing,
2012,Quebec,Forestry and logging,7525
2012,Quebec,Paper manufacturing,23733
2012,Quebec,Support activities for forestry,3111
2012,Quebec,Wood product manufacturing,28255
2012,Saskatchewan,Forestry and logging,
2012,Saskatchewan,Paper manufacturing,
2012,Saskatchewan,Support activities for forestry,
2012,Saskatchewan,Wood product manufacturing,1530
2012,Yukon,Forestry and logging,
2012,Yukon,Paper manufacturing,
2012,Yukon,Support activities for forestry,
2012,Yukon,Wood product manufacturing,
2013,Canada,Forestry and logging,27273
2013,Canada,Paper manufacturing,58147
2013,Canada,Support activities for forestry,11045
2013,Canada,Wood product manufacturing,93277
2013,Alberta,Forestry and logging,2349
2013,Alberta,Paper manufacturing,3224
2013,Alberta,Support activities for forestry,1207
2013,Alberta,Wood product manufacturing,13537
2013,British Columbia,Forestry and logging,11389
2013,British Columbia,Paper manufacturing,7874
2013,British Columbia,Support activities for forestry,3909
2013,British Columbia,Wood product manufacturing,25414
2013,Manitoba,Forestry and logging,
2013,Manitoba,Paper manufacturing,957
