Year,Jurisdiction,Sector,Number of jobs
2011,Prince Edward Island,Support activities for forestry,25
2011,Prince Edward Island,Wood product manufacturing,100
2011,Quebec,Forestry and logging,10875
2011,Quebec,Paper manufacturing,21340
2011,Quebec,Support activities for forestry,5930
2011,Quebec,Wood product manufacturing,27480
2011,Saskatchewan,Forestry and logging,305
2011,Saskatchewan,Paper manufacturing,265
2011,Saskatchewan,Support activities for forestry,990
2011,Saskatchewan,Wood product manufacturing,1310
2011,Yukon,Forestry and logging,25
2011,Yukon,Paper manufacturing,0
2011,Yukon,Support activities for forestry,10
2011,Yukon,Wood product manufacturing,45
2012,Canada,Forestry and logging,32785
2012,Canada,Paper manufacturing,58125
2012,Canada,Support activities for forestry,20860
2012,Canada,Wood product manufacturing,89980
2012,Alberta,Forestry and logging,2815
2012,Alberta,Paper manufacturing,2735
2012,Alberta,Support activities for forestry,1565
2012,Alberta,Wood product manufacturing,10010
2012,British Columbia,Forestry and logging,12270
2012,British Columbia,Paper manufacturing,8785
2012,British Columbia,Support activities for forestry,7435
2012,British Columbia,Wood product manufacturing,25905
2012,Manitoba,Forestry and logging,335
2012,Manitoba,Paper manufacturing,1420
2012,Manitoba,Support activities for forestry,475
2012,Manitoba,Wood product manufacturing,2550
2012,New Brunswick,Forestry and logging,2465
2012,New Brunswick,Paper manufacturing,2810
2012,New Brunswick,Support activities for forestry,885
2012,New Brunswick,Wood product manufacturing,4005
2012,Newfoundland and Labrador,Forestry and logging,375
2012,Newfoundland and Labrador,Paper manufacturing,370
2012,Newfoundland and Labrador,Support activities for forestry,190
2012,Newfoundland and Labrador,Wood product manufacturing,415
2012,Northwest Territories,Forestry and logging,10
2012,Northwest Territories,Paper manufacturing,0
2012,Northwest Territories,Support activities for forestry,165
2012,Northwest Territories,Wood product manufacturing,10
2012,Nova Scotia,Forestry and logging,970
2012,Nova Scotia,Paper manufacturing,1075
2012,Nova Scotia,Support activities for forestry,440
2012,Nova Scotia,Wood product manufacturing,1880
2012,Nunavut,Forestry and logging,0
2012,Nunavut,Paper manufacturing,0
2012,Nunavut,Support activities for forestry,0
2012,Nunavut,Wood product manufacturing,0
2012,Ontario,Forestry and logging,4335
2012,Ontario,Paper manufacturing,20110
2012,Ontario,Support activities for forestry,3510
2012,Ontario,Wood product manufacturing,16270
2012,Prince Edward Island,Forestry and logging,45
2012,Prince Edward Island,Paper manufacturing,190
2012,Prince Edward Island,Support activities for forestry,30
2012,Prince Edward Island,Wood product manufacturing,105
2012,Quebec,Forestry and logging,8805
2012,Quebec,Paper manufacturing,20375
2012,Quebec,Support activities for forestry,5250
2012,Quebec,Wood product manufacturing,27405
2012,Saskatchewan,Forestry and logging,335
2012,Saskatchewan,Paper manufacturing,255
2012,Saskatchewan,Support activities for forestry,900
2012,Saskatchewan,Wood product manufacturing,1375
