Year,Annee,ISO,Jurisdiction,Juridiction,Cause,Origine,Area,Superficie,Number,Nombre
1992,1992,BC,British Columbia,Colombie-Britannique,Human activity,Activites humaines,15559.9,15559.9,1461,1461
1992,1992,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,14892.9,14892.9,2344,2344
1992,1992,MB,Manitoba,Manitoba,Human activity,Activites humaines,90957.6,90957.6,103,103
1992,1992,MB,Manitoba,Manitoba,Lightning,Foudre,342816.2,342816.2,195,195
1992,1992,NB,New Brunswick,Nouveau-Brunswick,Human activity,Activites humaines,5330.9,5330.9,500,500
1992,1992,NB,New Brunswick,Nouveau-Brunswick,Lightning,Foudre,32.2,32.2,22,22
1992,1992,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indeterminee,35.8,35.8,54,54
1992,1992,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Human activity,Activites humaines,1435.5,1435.5,99,99
1992,1992,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Lightning,Foudre,374.2,374.2,7,7
1992,1992,NS,Nova Scotia,Nouvelle-Ecosse,Human activity,Activites humaines,1111.11,1111.11,265,265
1992,1992,NS,Nova Scotia,Nouvelle-Ecosse,Lightning,Foudre,0.11,0.11,2,2
1992,1992,NS,Nova Scotia,Nouvelle-Ecosse,Unspecified,Indeterminee,48.39,48.39,29,29
1992,1992,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,Activites humaines,269.43,269.43,73,73
1992,1992,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,34072.78,34072.78,199,199
1992,1992,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,Indeterminee,2607.24,2607.24,13,13
1992,1992,ON,Ontario,Ontario,Human activity,Activites humaines,5372.600002,5372.600002,675,675
1992,1992,ON,Ontario,Ontario,Lightning,Foudre,170595.9,170595.9,262,262
1992,1992,ON,Ontario,Ontario,Unspecified,Indeterminee,25.90000004,25.90000004,23,23
1992,1992,PE,Prince Edward Island,Ile-du-Prince-edouard,Human activity,Activites humaines,41,41,24,24
1992,1992,PE,Prince Edward Island,Ile-du-Prince-edouard,Lightning,Foudre,0,0,0,0
1992,1992,PE,Prince Edward Island,Ile-du-Prince-edouard,Unspecified,Indeterminee,2,2,3,3
1992,1992,QC,Quebec,Quebec,Human activity,Activites humaines,8127.3,8127.3,648,648
1992,1992,QC,Quebec,Quebec,Lightning,Foudre,18984.2,18984.2,117,117
1992,1992,SK,Saskatchewan,Saskatchewan,Human activity,Activites humaines,9635.18,9635.18,471,471
1992,1992,SK,Saskatchewan,Saskatchewan,Lightning,Foudre,88121.21,88121.21,228,228
1992,1992,YT,Yukon,Yukon,Human activity,Activites humaines,5998.23,5998.23,48,48
1992,1992,YT,Yukon,Yukon,Lightning,Foudre,31816.84,31816.84,68,68
1993,1993,AB,Alberta,Alberta,Human activity,Activites humaines,1489.71,1489.71,306,306
1993,1993,AB,Alberta,Alberta,Lightning,Foudre,26170.4,26170.4,547,547
1993,1993,AB,Alberta,Alberta,Unspecified,Indeterminee,32.1,32.1,23,23
1993,1993,BC,British Columbia,Colombie-Britannique,Human activity,Activites humaines,3400.2,3400.2,886,886
1993,1993,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,1783.2,1783.2,611,611
1993,1993,MB,Manitoba,Manitoba,Human activity,Activites humaines,5117.4,5117.4,102,102
1993,1993,MB,Manitoba,Manitoba,Lightning,Foudre,62157,62157,137,137
1993,1993,NB,New Brunswick,Nouveau-Brunswick,Human activity,Activites humaines,417,417,349,349
1993,1993,NB,New Brunswick,Nouveau-Brunswick,Lightning,Foudre,323.2,323.2,31,31
1993,1993,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indeterminee,38.1,38.1,50,50
