Year,Product,Unit,Production,Exports,Imports,Consumption
2014,Structural panels (Plywood and Oriented Strandboard),Cubic Metres,7687126,4723667,1250168,4213627
2014,Wood pulp,Tonnes,16960000,9680200,290214,7570014
2015,Lumber - hardwood,Cubic Metres,1724400,531726,1175989,2368663
2015,Lumber - softwood,Cubic Metres,62719400,41352636,1514137,22880901
2015,Newsprint,Tonnes,3505000,3314038,59850,250812
2015,Printing and writing paper,Tonnes,3036000,2369474.807,613646.8752,1280172
2015,Structural panels (Plywood and Oriented Strandboard),Cubic Metres,7966764.378,5139685,1668855,4495934
2015,Wood pulp,Tonnes,16551000,9922085,332685,6961600
2016,Lumber - hardwood,Cubic Metres,1600900,535211,617747,1683436
2016,Lumber - softwood,Cubic Metres,65031400,45317270,1185417,20899547
2016,Newsprint,Tonnes,3342000,3106995,49708,284713
2016,Printing and writing paper,Tonnes,2995000,2226622.261,533174.89,1301552
2016,Structural panels (Plywood and Oriented Strandboard),Cubic Metres,8728664.204,5864255,736866,3601275
2016,Wood pulp,Tonnes,16508000,9903829,445835,7050006
2017,Lumber - hardwood,Cubic Metres,1488800,586163,665025,1567662
2017,Lumber - softwood,Cubic Metres,65129100,43120555,1027628,23036173
2017,Newsprint,Tonnes,3054000,2855993,34751,232758
2017,Printing and writing paper,Tonnes,2975000,2182695.342,527893.9539,1320198
2017,Structural panels (Plywood and Oriented Strandboard),Cubic Metres,8917148.133,6404787,1184074,3696435
2017,Wood pulp,Tonnes,16297000,9922618,412374,6786756
2018,Lumber - hardwood,Cubic Metres,1250900,569229,638037,1319708
2018,Lumber - softwood,Cubic Metres,64378500,40895722,1029296,24512074
2018,Newsprint,Tonnes,3001000,2844961,26556,182595
2018,Printing and writing paper,Tonnes,3053000,2302049.756,499954.9911,1250905
2018,Structural panels (Plywood and Oriented Strandboard),Cubic Metres,9171114.741,6780965,1642691,4032840
2018,Wood pulp,Tonnes,16183000,9749384,554015,6987631
2019,Lumber - hardwood,Cubic Metres,1032100,591558,597672,1038214
2019,Lumber - softwood,Cubic Metres,56659300,38095583,869807,19433524
2019,Newsprint,Tonnes,2678000,2413447,26813,291366
2019,Printing and writing paper,Tonnes,2612000,2058530.475,428772.8163,982242
