Year,Annee,Jurisdiction,Juridiction,ISO,Forest-certification-by-type,Certification-forestiere-par-type,Area,Superficie
2000,2000,Yukon,Yukon,YK,Forest Stewardship Council,Forest Stewardship Council,0,0
2000,2000,Yukon,Yukon,YK,Sustainable Forestry Initiative,Sustainable Forestry Initiative,0,0
2000,2000,Yukon,Yukon,YK,Canadian Standards Association,Association canadienne de normalisation,0,0
2000,2000,Yukon,Yukon,YK,Forest area certified,Superficie des forets certifiees,0,0
2001,2001,Alberta,Alberta,AB,Forest area certified,Superficie des forets certifiees,3540000,3540000
2001,2001,Alberta,Alberta,AB,Forest Stewardship Council,Forest Stewardship Council,0,0
2001,2001,Alberta,Alberta,AB,Sustainable Forestry Initiative,Sustainable Forestry Initiative,0,0
2001,2001,Alberta,Alberta,AB,Canadian Standards Association,Association canadienne de normalisation,3540000,3540000
2001,2001,Canada,Canada,CA,Forest area certified,Superficie des forets certifiees,17173253,17173253
2001,2001,Canada,Canada,CA,Forest Stewardship Council,Forest Stewardship Council,123253,123253
2001,2001,Canada,Canada,CA,Sustainable Forestry Initiative,Sustainable Forestry Initiative,8210000,8210000
2001,2001,Canada,Canada,CA,Canadian Standards Association,Association canadienne de normalisation,8840000,8840000
2001,2001,British Columbia,Colombie-Britannique,BC,Forest area certified,Superficie des forets certifiees,9895846,9895846
2001,2001,British Columbia,Colombie-Britannique,BC,Forest Stewardship Council,Forest Stewardship Council,95846,95846
2001,2001,British Columbia,Colombie-Britannique,BC,Sustainable Forestry Initiative,Sustainable Forestry Initiative,5130000,5130000
2001,2001,British Columbia,Colombie-Britannique,BC,Canadian Standards Association,Association canadienne de normalisation,4670000,4670000
2001,2001,Prince Edward Island,Ile-du-Prince-eduard,PE,Forest area certified,Superficie des forets certifiees,0,0
2001,2001,Prince Edward Island,Ile-du-Prince-eduard,PE,Forest Stewardship Council,Forest Stewardship Council,0,0
2001,2001,Prince Edward Island,Ile-du-Prince-eduard,PE,Sustainable Forestry Initiative,Sustainable Forestry Initiative,0,0
2001,2001,Prince Edward Island,Ile-du-Prince-eduard,PE,Canadian Standards Association,Association canadienne de normalisation,0,0
2001,2001,Manitoba,Manitoba,MB,Forest area certified,Superficie des forets certifiees,0,0
2001,2001,Manitoba,Manitoba,MB,Forest Stewardship Council,Forest Stewardship Council,0,0
2001,2001,Manitoba,Manitoba,MB,Sustainable Forestry Initiative,Sustainable Forestry Initiative,0,0
2001,2001,Manitoba,Manitoba,MB,Canadian Standards Association,Association canadienne de normalisation,0,0
2001,2001,New Brunswick,Nouveau-Brunswick,NB,Forest area certified,Superficie des forets certifiees,2450000,2450000
2001,2001,New Brunswick,Nouveau-Brunswick,NB,Forest Stewardship Council,Forest Stewardship Council,0,0
2001,2001,New Brunswick,Nouveau-Brunswick,NB,Sustainable Forestry Initiative,Sustainable Forestry Initiative,2450000,2450000
2001,2001,New Brunswick,Nouveau-Brunswick,NB,Canadian Standards Association,Association canadienne de normalisation,0,0
2001,2001,Nova Scotia,Nouvelle-ecosse,NS,Forest area certified,Superficie des forets certifiees,1260384,1260384
2001,2001,Nova Scotia,Nouvelle-ecosse,NS,Forest Stewardship Council,Forest Stewardship Council,384,384
