Year,Annee,Jurisdiction,Juridiction,ISO,Forest-certification-by-type,Certification-forestiere-par-type,Area,Superficie
2004,2004,Nova Scotia,Nouvelle-ecosse,NS,Sustainable Forestry Initiative,Sustainable Forestry Initiative,1252000,1252000
2004,2004,Nova Scotia,Nouvelle-ecosse,NS,Canadian Standards Association,Association canadienne de normalisation,630000,630000
2004,2004,Nunavut,Nunavut,NU,Forest Stewardship Council,Forest Stewardship Council,0,0
2004,2004,Nunavut,Nunavut,NU,Sustainable Forestry Initiative,Sustainable Forestry Initiative,0,0
2004,2004,Nunavut,Nunavut,NU,Canadian Standards Association,Association canadienne de normalisation,0,0
2004,2004,Nunavut,Nunavut,NU,Forest area certified,Superficie des forets certifiees,0,0
2004,2004,Ontario,Ontario,ON,Forest area certified,Superficie des forets certifiees,13216438,13216438
2004,2004,Ontario,Ontario,ON,Forest Stewardship Council,Forest Stewardship Council,4086438,4086438
2004,2004,Ontario,Ontario,ON,Sustainable Forestry Initiative,Sustainable Forestry Initiative,3400000,3400000
2004,2004,Ontario,Ontario,ON,Canadian Standards Association,Association canadienne de normalisation,5730000,5730000
2004,2004,Quebec,Quebec,QC,Forest area certified,Superficie des forets certifiees,6587064,6587064
2004,2004,Quebec,Quebec,QC,Forest Stewardship Council,Forest Stewardship Council,27064,27064
2004,2004,Quebec,Quebec,QC,Sustainable Forestry Initiative,Sustainable Forestry Initiative,2090000,2090000
2004,2004,Quebec,Quebec,QC,Canadian Standards Association,Association canadienne de normalisation,4470000,4470000
2004,2004,Saskatchewan,Saskatchewan,SK,Forest area certified,Superficie des forets certifiees,4940000,4940000
2004,2004,Saskatchewan,Saskatchewan,SK,Forest Stewardship Council,Forest Stewardship Council,0,0
2004,2004,Saskatchewan,Saskatchewan,SK,Sustainable Forestry Initiative,Sustainable Forestry Initiative,0,0
2004,2004,Saskatchewan,Saskatchewan,SK,Canadian Standards Association,Association canadienne de normalisation,4940000,4940000
2004,2004,Newfoundland and Labrador,Terre-Neuve-et-Labrador,NL,Forest area certified,Superficie des forets certifiees,3790000,3790000
2004,2004,Newfoundland and Labrador,Terre-Neuve-et-Labrador,NL,Forest Stewardship Council,Forest Stewardship Council,0,0
2004,2004,Newfoundland and Labrador,Terre-Neuve-et-Labrador,NL,Sustainable Forestry Initiative,Sustainable Forestry Initiative,0,0
2004,2004,Newfoundland and Labrador,Terre-Neuve-et-Labrador,NL,Canadian Standards Association,Association canadienne de normalisation,3790000,3790000
2004,2004,Northwest Territories,Territoires du Nord-Ouest,NT,Forest Stewardship Council,Forest Stewardship Council,0,0
2004,2004,Northwest Territories,Territoires du Nord-Ouest,NT,Sustainable Forestry Initiative,Sustainable Forestry Initiative,0,0
2004,2004,Northwest Territories,Territoires du Nord-Ouest,NT,Canadian Standards Association,Association canadienne de normalisation,0,0
2004,2004,Northwest Territories,Territoires du Nord-Ouest,NT,Forest area certified,Superficie des forets certifiees,0,0
2004,2004,Yukon,Yukon,YK,Forest Stewardship Council,Forest Stewardship Council,0,0
2004,2004,Yukon,Yukon,YK,Sustainable Forestry Initiative,Sustainable Forestry Initiative,0,0
2004,2004,Yukon,Yukon,YK,Canadian Standards Association,Association canadienne de normalisation,0,0
2004,2004,Yukon,Yukon,YK,Forest area certified,Superficie des forets certifiees,0,0
2005,2005,Alberta,Alberta,AB,Forest area certified,Superficie des forets certifiees,17392735,17392735
2005,2005,Alberta,Alberta,AB,Forest Stewardship Council,Forest Stewardship Council,5490000,5490000
2005,2005,Alberta,Alberta,AB,Sustainable Forestry Initiative,Sustainable Forestry Initiative,2110000,2110000
2005,2005,Alberta,Alberta,AB,Canadian Standards Association,Association canadienne de normalisation,9792735,9792735
2005,2005,Canada,Canada,CA,Forest area certified,Superficie des forets certifiees,119765281,119765281
2005,2005,Canada,Canada,CA,Forest Stewardship Council,Forest Stewardship Council,15231115,15231115
2005,2005,Canada,Canada,CA,Sustainable Forestry Initiative,Sustainable Forestry Initiative,36134889,36134889
2005,2005,Canada,Canada,CA,Canadian Standards Association,Association canadienne de normalisation,69209277,69209277
2005,2005,British Columbia,Colombie-Britannique,BC,Forest area certified,Superficie des forets certifiees,42140519,42140519
2005,2005,British Columbia,Colombie-Britannique,BC,Forest Stewardship Council,Forest Stewardship Council,175408,175408
2005,2005,British Columbia,Colombie-Britannique,BC,Sustainable Forestry Initiative,Sustainable Forestry Initiative,18914552,18914552
2005,2005,British Columbia,Colombie-Britannique,BC,Canadian Standards Association,Association canadienne de normalisation,23230559,23230559
2005,2005,Prince Edward Island,Ile-du-Prince-eduard,PE,Forest area certified,Superficie des forets certifiees,0,0
2005,2005,Prince Edward Island,Ile-du-Prince-eduard,PE,Forest Stewardship Council,Forest Stewardship Council,0,0
2005,2005,Prince Edward Island,Ile-du-Prince-eduard,PE,Sustainable Forestry Initiative,Sustainable Forestry Initiative,0,0
2005,2005,Prince Edward Island,Ile-du-Prince-eduard,PE,Canadian Standards Association,Association canadienne de normalisation,0,0
2005,2005,Manitoba,Manitoba,MB,Forest area certified,Superficie des forets certifiees,10576341,10576341
2005,2005,Manitoba,Manitoba,MB,Forest Stewardship Council,Forest Stewardship Council,0,0
2005,2005,Manitoba,Manitoba,MB,Sustainable Forestry Initiative,Sustainable Forestry Initiative,2059341,2059341
2005,2005,Manitoba,Manitoba,MB,Canadian Standards Association,Association canadienne de normalisation,8517000,8517000
2005,2005,New Brunswick,Nouveau-Brunswick,NB,Forest area certified,Superficie des forets certifiees,3934095,3934095
2005,2005,New Brunswick,Nouveau-Brunswick,NB,Forest Stewardship Council,Forest Stewardship Council,5095,5095
2005,2005,New Brunswick,Nouveau-Brunswick,NB,Sustainable Forestry Initiative,Sustainable Forestry Initiative,3929000,3929000
2005,2005,New Brunswick,Nouveau-Brunswick,NB,Canadian Standards Association,Association canadienne de normalisation,0,0
2005,2005,Nova Scotia,Nouvelle-ecosse,NS,Forest area certified,Superficie des forets certifiees,1732373,1732373
2005,2005,Nova Scotia,Nouvelle-ecosse,NS,Forest Stewardship Council,Forest Stewardship Council,0,0
2005,2005,Nova Scotia,Nouvelle-ecosse,NS,Sustainable Forestry Initiative,Sustainable Forestry Initiative,1731373,1731373
2005,2005,Nova Scotia,Nouvelle-ecosse,NS,Canadian Standards Association,Association canadienne de normalisation,631000,631000
2005,2005,Nunavut,Nunavut,NU,Forest Stewardship Council,Forest Stewardship Council,0,0
2005,2005,Nunavut,Nunavut,NU,Sustainable Forestry Initiative,Sustainable Forestry Initiative,0,0
2005,2005,Nunavut,Nunavut,NU,Canadian Standards Association,Association canadienne de normalisation,0,0
2005,2005,Nunavut,Nunavut,NU,Forest area certified,Superficie des forets certifiees,0,0
2005,2005,Ontario,Ontario,ON,Forest area certified,Superficie des forets certifiees,21848689,21848689
2005,2005,Ontario,Ontario,ON,Forest Stewardship Council,Forest Stewardship Council,8354526,8354526
2005,2005,Ontario,Ontario,ON,Sustainable Forestry Initiative,Sustainable Forestry Initiative,5455413,5455413
2005,2005,Ontario,Ontario,ON,Canadian Standards Association,Association canadienne de normalisation,8038750,8038750
2005,2005,Quebec,Quebec,QC,Forest area certified,Superficie des forets certifiees,11683654,11683654
2005,2005,Quebec,Quebec,QC,Forest Stewardship Council,Forest Stewardship Council,1206086,1206086
2005,2005,Quebec,Quebec,QC,Sustainable Forestry Initiative,Sustainable Forestry Initiative,1935210,1935210
2005,2005,Quebec,Quebec,QC,Canadian Standards Association,Association canadienne de normalisation,8542358,8542358
2005,2005,Saskatchewan,Saskatchewan,SK,Forest area certified,Superficie des forets certifiees,6664062,6664062
2005,2005,Saskatchewan,Saskatchewan,SK,Forest Stewardship Council,Forest Stewardship Council,0,0
2005,2005,Saskatchewan,Saskatchewan,SK,Sustainable Forestry Initiative,Sustainable Forestry Initiative,0,0
2005,2005,Saskatchewan,Saskatchewan,SK,Canadian Standards Association,Association canadienne de normalisation,6664062,6664062
2005,2005,Newfoundland and Labrador,Terre-Neuve-et-Labrador,NL,Forest area certified,Superficie des forets certifiees,3792813,3792813
2005,2005,Newfoundland and Labrador,Terre-Neuve-et-Labrador,NL,Forest Stewardship Council,Forest Stewardship Council,0,0
2005,2005,Newfoundland and Labrador,Terre-Neuve-et-Labrador,NL,Sustainable Forestry Initiative,Sustainable Forestry Initiative,0,0
2005,2005,Newfoundland and Labrador,Terre-Neuve-et-Labrador,NL,Canadian Standards Association,Association canadienne de normalisation,3792813,3792813
2005,2005,Northwest Territories,Territoires du Nord-Ouest,NT,Forest Stewardship Council,Forest Stewardship Council,0,0
2005,2005,Northwest Territories,Territoires du Nord-Ouest,NT,Sustainable Forestry Initiative,Sustainable Forestry Initiative,0,0
2005,2005,Northwest Territories,Territoires du Nord-Ouest,NT,Canadian Standards Association,Association canadienne de normalisation,0,0
2005,2005,Northwest Territories,Territoires du Nord-Ouest,NT,Forest area certified,Superficie des forets certifiees,0,0
2005,2005,Yukon,Yukon,YK,Forest Stewardship Council,Forest Stewardship Council,0,0
2005,2005,Yukon,Yukon,YK,Sustainable Forestry Initiative,Sustainable Forestry Initiative,0,0
2005,2005,Yukon,Yukon,YK,Canadian Standards Association,Association canadienne de normalisation,0,0
2005,2005,Yukon,Yukon,YK,Forest area certified,Superficie des forets certifiees,0,0
2006,2006,Alberta,Alberta,AB,Forest area certified,Superficie des forets certifiees,17423542,17423542
2006,2006,Alberta,Alberta,AB,Forest Stewardship Council,Forest Stewardship Council,5490000,5490000
2006,2006,Alberta,Alberta,AB,Sustainable Forestry Initiative,Sustainable Forestry Initiative,2660000,2660000
2006,2006,Alberta,Alberta,AB,Canadian Standards Association,Association canadienne de normalisation,9273542,9273542
2006,2006,Canada,Canada,CA,Forest area certified,Superficie des forets certifiees,123753226,123753226
2006,2006,Canada,Canada,CA,Forest Stewardship Council,Forest Stewardship Council,19617175,19617175
2006,2006,Canada,Canada,CA,Sustainable Forestry Initiative,Sustainable Forestry Initiative,31352562,31352562
2006,2006,Canada,Canada,CA,Canadian Standards Association,Association canadienne de normalisation,73413005,73413005
2006,2006,British Columbia,Colombie-Britannique,BC,Forest area certified,Superficie des forets certifiees,42568766,42568766
2006,2006,British Columbia,Colombie-Britannique,BC,Forest Stewardship Council,Forest Stewardship Council,665677,665677
2006,2006,British Columbia,Colombie-Britannique,BC,Sustainable Forestry Initiative,Sustainable Forestry Initiative,13767076,13767076
2006,2006,British Columbia,Colombie-Britannique,BC,Canadian Standards Association,Association canadienne de normalisation,28136013,28136013
2006,2006,Prince Edward Island,Ile-du-Prince-eduard,PE,Forest area certified,Superficie des forets certifiees,0,0
2006,2006,Prince Edward Island,Ile-du-Prince-eduard,PE,Forest Stewardship Council,Forest Stewardship Council,0,0
2006,2006,Prince Edward Island,Ile-du-Prince-eduard,PE,Sustainable Forestry Initiative,Sustainable Forestry Initiative,0,0
2006,2006,Prince Edward Island,Ile-du-Prince-eduard,PE,Canadian Standards Association,Association canadienne de normalisation,0,0
2006,2006,Manitoba,Manitoba,MB,Forest area certified,Superficie des forets certifiees,10576341,10576341
2006,2006,Manitoba,Manitoba,MB,Forest Stewardship Council,Forest Stewardship Council,0,0
2006,2006,Manitoba,Manitoba,MB,Sustainable Forestry Initiative,Sustainable Forestry Initiative,2059341,2059341
2006,2006,Manitoba,Manitoba,MB,Canadian Standards Association,Association canadienne de normalisation,8517000,8517000
2006,2006,New Brunswick,Nouveau-Brunswick,NB,Forest area certified,Superficie des forets certifiees,4011875,4011875
2006,2006,New Brunswick,Nouveau-Brunswick,NB,Forest Stewardship Council,Forest Stewardship Council,5095,5095
2006,2006,New Brunswick,Nouveau-Brunswick,NB,Sustainable Forestry Initiative,Sustainable Forestry Initiative,4006780,4006780
2006,2006,New Brunswick,Nouveau-Brunswick,NB,Canadian Standards Association,Association canadienne de normalisation,0,0
2006,2006,Nova Scotia,Nouvelle-ecosse,NS,Forest area certified,Superficie des forets certifiees,1732725,1732725
2006,2006,Nova Scotia,Nouvelle-ecosse,NS,Forest Stewardship Council,Forest Stewardship Council,868,868
2006,2006,Nova Scotia,Nouvelle-ecosse,NS,Sustainable Forestry Initiative,Sustainable Forestry Initiative,1730373,1730373
2006,2006,Nova Scotia,Nouvelle-ecosse,NS,Canadian Standards Association,Association canadienne de normalisation,631000,631000
2006,2006,Nunavut,Nunavut,NU,Forest Stewardship Council,Forest Stewardship Council,0,0
2006,2006,Nunavut,Nunavut,NU,Sustainable Forestry Initiative,Sustainable Forestry Initiative,0,0
2006,2006,Nunavut,Nunavut,NU,Canadian Standards Association,Association canadienne de normalisation,0,0
2006,2006,Nunavut,Nunavut,NU,Forest area certified,Superficie des forets certifiees,0,0
2006,2006,Ontario,Ontario,ON,Forest area certified,Superficie des forets certifiees,21600640,21600640
2006,2006,Ontario,Ontario,ON,Forest Stewardship Council,Forest Stewardship Council,9193536,9193536
2006,2006,Ontario,Ontario,ON,Sustainable Forestry Initiative,Sustainable Forestry Initiative,5013720,5013720
2006,2006,Ontario,Ontario,ON,Canadian Standards Association,Association canadienne de normalisation,7393384,7393384
2006,2006,Quebec,Quebec,QC,Forest area certified,Superficie des forets certifiees,15229712,15229712
2006,2006,Quebec,Quebec,QC,Forest Stewardship Council,Forest Stewardship Council,4261999,4261999
2006,2006,Quebec,Quebec,QC,Sustainable Forestry Initiative,Sustainable Forestry Initiative,2115272,2115272
2006,2006,Quebec,Quebec,QC,Canadian Standards Association,Association canadienne de normalisation,8852441,8852441
2006,2006,Saskatchewan,Saskatchewan,SK,Forest area certified,Superficie des forets certifiees,6922062,6922062
2006,2006,Saskatchewan,Saskatchewan,SK,Forest Stewardship Council,Forest Stewardship Council,0,0
2006,2006,Saskatchewan,Saskatchewan,SK,Sustainable Forestry Initiative,Sustainable Forestry Initiative,0,0
2006,2006,Saskatchewan,Saskatchewan,SK,Canadian Standards Association,Association canadienne de normalisation,6922062,6922062
2006,2006,Newfoundland and Labrador,Terre-Neuve-et-Labrador,NL,Forest area certified,Superficie des forets certifiees,3687563,3687563
2006,2006,Newfoundland and Labrador,Terre-Neuve-et-Labrador,NL,Forest Stewardship Council,Forest Stewardship Council,0,0
2006,2006,Newfoundland and Labrador,Terre-Neuve-et-Labrador,NL,Sustainable Forestry Initiative,Sustainable Forestry Initiative,0,0
2006,2006,Newfoundland and Labrador,Terre-Neuve-et-Labrador,NL,Canadian Standards Association,Association canadienne de normalisation,3687563,3687563
2006,2006,Northwest Territories,Territoires du Nord-Ouest,NT,Forest Stewardship Council,Forest Stewardship Council,0,0
2006,2006,Northwest Territories,Territoires du Nord-Ouest,NT,Sustainable Forestry Initiative,Sustainable Forestry Initiative,0,0
2006,2006,Northwest Territories,Territoires du Nord-Ouest,NT,Canadian Standards Association,Association canadienne de normalisation,0,0
2006,2006,Northwest Territories,Territoires du Nord-Ouest,NT,Forest area certified,Superficie des forets certifiees,0,0
2006,2006,Yukon,Yukon,YK,Forest Stewardship Council,Forest Stewardship Council,0,0
2006,2006,Yukon,Yukon,YK,Sustainable Forestry Initiative,Sustainable Forestry Initiative,0,0
2006,2006,Yukon,Yukon,YK,Canadian Standards Association,Association canadienne de normalisation,0,0
2006,2006,Yukon,Yukon,YK,Forest area certified,Superficie des forets certifiees,0,0
2007,2007,Alberta,Alberta,AB,Forest area certified,Superficie des forets certifiees,17608999,17608999
2007,2007,Alberta,Alberta,AB,Forest Stewardship Council,Forest Stewardship Council,5490000,5490000
2007,2007,Alberta,Alberta,AB,Sustainable Forestry Initiative,Sustainable Forestry Initiative,3655839,3655839
2007,2007,Alberta,Alberta,AB,Canadian Standards Association,Association canadienne de normalisation,9463160,9463160
2007,2007,Canada,Canada,CA,Forest area certified,Superficie des forets certifiees,137886117,137886117
2007,2007,Canada,Canada,CA,Forest Stewardship Council,Forest Stewardship Council,24352521,24352521
2007,2007,Canada,Canada,CA,Sustainable Forestry Initiative,Sustainable Forestry Initiative,39138774,39138774
2007,2007,Canada,Canada,CA,Canadian Standards Association,Association canadienne de normalisation,77841700,77841700
2007,2007,British Columbia,Colombie-Britannique,BC,Forest area certified,Superficie des forets certifiees,51506667,51506667
2007,2007,British Columbia,Colombie-Britannique,BC,Forest Stewardship Council,Forest Stewardship Council,577295,577295
2007,2007,British Columbia,Colombie-Britannique,BC,Sustainable Forestry Initiative,Sustainable Forestry Initiative,17804432,17804432
2007,2007,British Columbia,Colombie-Britannique,BC,Canadian Standards Association,Association canadienne de normalisation,33124940,33124940
2007,2007,Prince Edward Island,Ile-du-Prince-eduard,PE,Forest area certified,Superficie des forets certifiees,435,435
2007,2007,Prince Edward Island,Ile-du-Prince-eduard,PE,Forest Stewardship Council,Forest Stewardship Council,435,435
2007,2007,Prince Edward Island,Ile-du-Prince-eduard,PE,Sustainable Forestry Initiative,Sustainable Forestry Initiative,0,0
2007,2007,Prince Edward Island,Ile-du-Prince-eduard,PE,Canadian Standards Association,Association canadienne de normalisation,0,0
2007,2007,Manitoba,Manitoba,MB,Forest area certified,Superficie des forets certifiees,11472909,11472909
2007,2007,Manitoba,Manitoba,MB,Forest Stewardship Council,Forest Stewardship Council,897446,897446
2007,2007,Manitoba,Manitoba,MB,Sustainable Forestry Initiative,Sustainable Forestry Initiative,2058463,2058463
2007,2007,Manitoba,Manitoba,MB,Canadian Standards Association,Association canadienne de normalisation,8517000,8517000
2007,2007,New Brunswick,Nouveau-Brunswick,NB,Forest area certified,Superficie des forets certifiees,4304934,4304934
2007,2007,New Brunswick,Nouveau-Brunswick,NB,Forest Stewardship Council,Forest Stewardship Council,3739,3739
2007,2007,New Brunswick,Nouveau-Brunswick,NB,Sustainable Forestry Initiative,Sustainable Forestry Initiative,4301195,4301195
2007,2007,New Brunswick,Nouveau-Brunswick,NB,Canadian Standards Association,Association canadienne de normalisation,0,0
2007,2007,Nova Scotia,Nouvelle-ecosse,NS,Forest area certified,Superficie des forets certifiees,1413411,1413411
2007,2007,Nova Scotia,Nouvelle-ecosse,NS,Forest Stewardship Council,Forest Stewardship Council,3056,3056
2007,2007,Nova Scotia,Nouvelle-ecosse,NS,Sustainable Forestry Initiative,Sustainable Forestry Initiative,1426233,1426233
2007,2007,Nova Scotia,Nouvelle-ecosse,NS,Canadian Standards Association,Association canadienne de normalisation,631000,631000
2007,2007,Nunavut,Nunavut,NU,Forest Stewardship Council,Forest Stewardship Council,0,0
2007,2007,Nunavut,Nunavut,NU,Sustainable Forestry Initiative,Sustainable Forestry Initiative,0,0
2007,2007,Nunavut,Nunavut,NU,Canadian Standards Association,Association canadienne de normalisation,0,0
2007,2007,Nunavut,Nunavut,NU,Forest area certified,Superficie des forets certifiees,0,0
2007,2007,Ontario,Ontario,ON,Forest area certified,Superficie des forets certifiees,26324043,26324043
2007,2007,Ontario,Ontario,ON,Forest Stewardship Council,Forest Stewardship Council,11104906,11104906
2007,2007,Ontario,Ontario,ON,Sustainable Forestry Initiative,Sustainable Forestry Initiative,7825753,7825753
2007,2007,Ontario,Ontario,ON,Canadian Standards Association,Association canadienne de normalisation,7393384,7393384
2007,2007,Quebec,Quebec,QC,Forest area certified,Superficie des forets certifiees,17729156,17729156
2007,2007,Quebec,Quebec,QC,Forest Stewardship Council,Forest Stewardship Council,4475644,4475644
2007,2007,Quebec,Quebec,QC,Sustainable Forestry Initiative,Sustainable Forestry Initiative,2066859,2066859
2007,2007,Quebec,Quebec,QC,Canadian Standards Association,Association canadienne de normalisation,11186653,11186653
2007,2007,Saskatchewan,Saskatchewan,SK,Forest area certified,Superficie des forets certifiees,3838000,3838000
2007,2007,Saskatchewan,Saskatchewan,SK,Forest Stewardship Council,Forest Stewardship Council,0,0
2007,2007,Saskatchewan,Saskatchewan,SK,Sustainable Forestry Initiative,Sustainable Forestry Initiative,0,0
2007,2007,Saskatchewan,Saskatchewan,SK,Canadian Standards Association,Association canadienne de normalisation,3838000,3838000
2007,2007,Newfoundland and Labrador,Terre-Neuve-et-Labrador,NL,Forest area certified,Superficie des forets certifiees,3687563,3687563
2007,2007,Newfoundland and Labrador,Terre-Neuve-et-Labrador,NL,Forest Stewardship Council,Forest Stewardship Council,0,0
2007,2007,Newfoundland and Labrador,Terre-Neuve-et-Labrador,NL,Sustainable Forestry Initiative,Sustainable Forestry Initiative,0,0
2007,2007,Newfoundland and Labrador,Terre-Neuve-et-Labrador,NL,Canadian Standards Association,Association canadienne de normalisation,3687563,3687563
2007,2007,Northwest Territories,Territoires du Nord-Ouest,NT,Forest Stewardship Council,Forest Stewardship Council,0,0
2007,2007,Northwest Territories,Territoires du Nord-Ouest,NT,Sustainable Forestry Initiative,Sustainable Forestry Initiative,0,0
2007,2007,Northwest Territories,Territoires du Nord-Ouest,NT,Canadian Standards Association,Association canadienne de normalisation,0,0
2007,2007,Northwest Territories,Territoires du Nord-Ouest,NT,Forest area certified,Superficie des forets certifiees,0,0
2007,2007,Yukon,Yukon,YK,Forest Stewardship Council,Forest Stewardship Council,0,0
2007,2007,Yukon,Yukon,YK,Sustainable Forestry Initiative,Sustainable Forestry Initiative,0,0
2007,2007,Yukon,Yukon,YK,Canadian Standards Association,Association canadienne de normalisation,0,0
2007,2007,Yukon,Yukon,YK,Forest area certified,Superficie des forets certifiees,0,0
2008,2008,Alberta,Alberta,AB,Forest area certified,Superficie des forets certifiees,21402911,21402911
2008,2008,Alberta,Alberta,AB,Forest Stewardship Council,Forest Stewardship Council,5490000,5490000
2008,2008,Alberta,Alberta,AB,Sustainable Forestry Initiative,Sustainable Forestry Initiative,3655839,3655839
2008,2008,Alberta,Alberta,AB,Canadian Standards Association,Association canadienne de normalisation,13219072,13219072
2008,2008,Canada,Canada,CA,Forest area certified,Superficie des forets certifiees,145748861,145748861
2008,2008,Canada,Canada,CA,Forest Stewardship Council,Forest Stewardship Council,27312904,27312904
2008,2008,Canada,Canada,CA,Sustainable Forestry Initiative,Sustainable Forestry Initiative,39375374,39375374
2008,2008,Canada,Canada,CA,Canadian Standards Association,Association canadienne de normalisation,82764815,82764815
2008,2008,British Columbia,Colombie-Britannique,BC,Forest area certified,Superficie des forets certifiees,54133295,54133295
2008,2008,British Columbia,Colombie-Britannique,BC,Forest Stewardship Council,Forest Stewardship Council,1880130,1880130
2008,2008,British Columbia,Colombie-Britannique,BC,Sustainable Forestry Initiative,Sustainable Forestry Initiative,17527177,17527177
2008,2008,British Columbia,Colombie-Britannique,BC,Canadian Standards Association,Association canadienne de normalisation,34941688,34941688
2008,2008,Prince Edward Island,Ile-du-Prince-eduard,PE,Forest area certified,Superficie des forets certifiees,357,357
2008,2008,Prince Edward Island,Ile-du-Prince-eduard,PE,Forest Stewardship Council,Forest Stewardship Council,357,357
2008,2008,Prince Edward Island,Ile-du-Prince-eduard,PE,Sustainable Forestry Initiative,Sustainable Forestry Initiative,0,0
2008,2008,Prince Edward Island,Ile-du-Prince-eduard,PE,Canadian Standards Association,Association canadienne de normalisation,0,0
2008,2008,Manitoba,Manitoba,MB,Forest area certified,Superficie des forets certifiees,11713509,11713509
2008,2008,Manitoba,Manitoba,MB,Forest Stewardship Council,Forest Stewardship Council,897446,897446
2008,2008,Manitoba,Manitoba,MB,Sustainable Forestry Initiative,Sustainable Forestry Initiative,2058463,2058463
2008,2008,Manitoba,Manitoba,MB,Canadian Standards Association,Association canadienne de normalisation,8757600,8757600
2008,2008,New Brunswick,Nouveau-Brunswick,NB,Forest area certified,Superficie des forets certifiees,4086472,4086472
2008,2008,New Brunswick,Nouveau-Brunswick,NB,Forest Stewardship Council,Forest Stewardship Council,3430,3430
2008,2008,New Brunswick,Nouveau-Brunswick,NB,Sustainable Forestry Initiative,Sustainable Forestry Initiative,4083042,4083042
2008,2008,New Brunswick,Nouveau-Brunswick,NB,Canadian Standards Association,Association canadienne de normalisation,0,0
2008,2008,Nova Scotia,Nouvelle-ecosse,NS,Forest area certified,Superficie des forets certifiees,1615023,1615023
2008,2008,Nova Scotia,Nouvelle-ecosse,NS,Forest Stewardship Council,Forest Stewardship Council,634131,634131
2008,2008,Nova Scotia,Nouvelle-ecosse,NS,Sustainable Forestry Initiative,Sustainable Forestry Initiative,980692,980692
2008,2008,Nova Scotia,Nouvelle-ecosse,NS,Canadian Standards Association,Association canadienne de normalisation,631200,631200
2008,2008,Nunavut,Nunavut,NU,Forest Stewardship Council,Forest Stewardship Council,0,0
2008,2008,Nunavut,Nunavut,NU,Sustainable Forestry Initiative,Sustainable Forestry Initiative,0,0
2008,2008,Nunavut,Nunavut,NU,Canadian Standards Association,Association canadienne de normalisation,0,0
2008,2008,Nunavut,Nunavut,NU,Forest area certified,Superficie des forets certifiees,0,0
2008,2008,Ontario,Ontario,ON,Forest area certified,Superficie des forets certifiees,26287730,26287730
2008,2008,Ontario,Ontario,ON,Forest Stewardship Council,Forest Stewardship Council,11457002,11457002
2008,2008,Ontario,Ontario,ON,Sustainable Forestry Initiative,Sustainable Forestry Initiative,9532563,9532563
2008,2008,Ontario,Ontario,ON,Canadian Standards Association,Association canadienne de normalisation,5298165,5298165
2008,2008,Quebec,Quebec,QC,Forest area certified,Superficie des forets certifiees,18900314,18900314
2008,2008,Quebec,Quebec,QC,Forest Stewardship Council,Forest Stewardship Council,5118444,5118444
2008,2008,Quebec,Quebec,QC,Sustainable Forestry Initiative,Sustainable Forestry Initiative,1537598,1537598
2008,2008,Quebec,Quebec,QC,Canadian Standards Association,Association canadienne de normalisation,12307870,12307870
2008,2008,Saskatchewan,Saskatchewan,SK,Forest area certified,Superficie des forets certifiees,3869964,3869964
2008,2008,Saskatchewan,Saskatchewan,SK,Forest Stewardship Council,Forest Stewardship Council,1831964,1831964
2008,2008,Saskatchewan,Saskatchewan,SK,Sustainable Forestry Initiative,Sustainable Forestry Initiative,0,0
2008,2008,Saskatchewan,Saskatchewan,SK,Canadian Standards Association,Association canadienne de normalisation,3869964,3869964
2008,2008,Newfoundland and Labrador,Terre-Neuve-et-Labrador,NL,Forest area certified,Superficie des forets certifiees,3739256,3739256
2008,2008,Newfoundland and Labrador,Terre-Neuve-et-Labrador,NL,Forest Stewardship Council,Forest Stewardship Council,0,0
2008,2008,Newfoundland and Labrador,Terre-Neuve-et-Labrador,NL,Sustainable Forestry Initiative,Sustainable Forestry Initiative,0,0
2008,2008,Newfoundland and Labrador,Terre-Neuve-et-Labrador,NL,Canadian Standards Association,Association canadienne de normalisation,3739256,3739256
2008,2008,Northwest Territories,Territoires du Nord-Ouest,NT,Forest Stewardship Council,Forest Stewardship Council,0,0
2008,2008,Northwest Territories,Territoires du Nord-Ouest,NT,Sustainable Forestry Initiative,Sustainable Forestry Initiative,0,0
2008,2008,Northwest Territories,Territoires du Nord-Ouest,NT,Canadian Standards Association,Association canadienne de normalisation,0,0
2008,2008,Northwest Territories,Territoires du Nord-Ouest,NT,Forest area certified,Superficie des forets certifiees,0,0
2008,2008,Yukon,Yukon,YK,Forest Stewardship Council,Forest Stewardship Council,0,0
2008,2008,Yukon,Yukon,YK,Sustainable Forestry Initiative,Sustainable Forestry Initiative,0,0
2008,2008,Yukon,Yukon,YK,Canadian Standards Association,Association canadienne de normalisation,0,0
2008,2008,Yukon,Yukon,YK,Forest area certified,Superficie des forets certifiees,0,0
2009,2009,Alberta,Alberta,AB,Forest area certified,Superficie des forets certifiees,19935787,19935787
2009,2009,Alberta,Alberta,AB,Forest Stewardship Council,Forest Stewardship Council,5490000,5490000
2009,2009,Alberta,Alberta,AB,Sustainable Forestry Initiative,Sustainable Forestry Initiative,4241919,4241919
2009,2009,Alberta,Alberta,AB,Canadian Standards Association,Association canadienne de normalisation,11165868,11165868
2009,2009,Canada,Canada,CA,Forest area certified,Superficie des forets certifiees,142782131,142782131
2009,2009,Canada,Canada,CA,Forest Stewardship Council,Forest Stewardship Council,32228294,32228294
2009,2009,Canada,Canada,CA,Sustainable Forestry Initiative,Sustainable Forestry Initiative,42459261,42459261
