Year,Annee,ISO,Jurisdiction,Juridiction,Insect_species,Insecte_espece,Area,Superficie
2010,2010,AB,Alberta,Alberta,Spruce budworm,Tordeuse des bourgeons de l'epinette,269365,269365
2010,2010,AB,Alberta,Alberta,Jack pine budworm,Tordeuse du pin gris,0,0
2010,2010,AB,Alberta,Alberta,Mountain pine beetle,Dendroctone du pin ponderosa,0,0
2010,2010,AB,Alberta,Alberta,Hemlock looper,Arpenteuse de la pruche,0,0
2010,2010,AB,Alberta,Alberta,Forest tent caterpillar,Livree des forets,10333,10333
2010,2010,AB,Alberta,Alberta,Spongy moth,Spongieuse,0,0
2010,2010,AB,Alberta,Alberta,Blackheaded budworm,Tordeuse a tete noire de l'epinette,0,0
2010,2010,AB,Alberta,Alberta,Balsam fir sawfly,Diprion du sapin,0,0
2010,2010,AB,Alberta,Alberta,Swaine jack pine sawfly,Diprion de Swaine,0,0
2010,2010,AB,Alberta,Alberta,Bruce spanworm,Arpenteuse de Bruce,50765,50765
2010,2010,AB,Alberta,Alberta,Western spruce budworm,Tordeuse occidentale de l'epinette,2893,2893
2010,2010,AB,Alberta,Alberta,Large aspen tortrix,Tordeuse du tremble,1560,1560
2010,2010,AB,Alberta,Alberta,Two-year-cycle spruce budworm,Tordeuse a cycle de deux ans,0,0
2010,2010,AB,Alberta,Alberta,Spruce beetle,Dendroctone de l'epinette,0,0
2010,2010,AB,Alberta,Alberta,Aspen twoleaf tier,Noctuelle decolorie,0,0
2010,2010,AB,Alberta,Alberta,Other,Autres,0,0
2010,2010,BC,British Columbia,Colombie-Britannique,Spruce budworm,Tordeuse des bourgeons de l'epinette,0,0
2010,2010,BC,British Columbia,Colombie-Britannique,Jack pine budworm,Tordeuse du pin gris,0,0
2010,2010,BC,British Columbia,Colombie-Britannique,Mountain pine beetle,Dendroctone du pin ponderosa,6251586,6251586
2010,2010,BC,British Columbia,Colombie-Britannique,Hemlock looper,Arpenteuse de la pruche,3318,3318
2010,2010,BC,British Columbia,Colombie-Britannique,Forest tent caterpillar,Livree des forets,132626,132626
2010,2010,BC,British Columbia,Colombie-Britannique,Spongy moth,Spongieuse,0,0
2010,2010,BC,British Columbia,Colombie-Britannique,Blackheaded budworm,Tordeuse a tete noire de l'epinette,93241,93241
2010,2010,BC,British Columbia,Colombie-Britannique,Balsam fir sawfly,Diprion du sapin,0,0
2010,2010,BC,British Columbia,Colombie-Britannique,Swaine jack pine sawfly,Diprion de Swaine,0,0
2010,2010,BC,British Columbia,Colombie-Britannique,Bruce spanworm,Arpenteuse de Bruce,1675014,1675014
2010,2010,BC,British Columbia,Colombie-Britannique,Western spruce budworm,Tordeuse occidentale de l'epinette,500121,500121
2010,2010,BC,British Columbia,Colombie-Britannique,Large aspen tortrix,Tordeuse du tremble,0,0
2010,2010,BC,British Columbia,Colombie-Britannique,Two-year-cycle spruce budworm,Tordeuse a cycle de deux ans,97084,97084
2010,2010,BC,British Columbia,Colombie-Britannique,Spruce beetle,Dendroctone de l'epinette,30096,30096
2010,2010,BC,British Columbia,Colombie-Britannique,Aspen twoleaf tier,Noctuelle decolorie,0,0
2010,2010,BC,British Columbia,Colombie-Britannique,Other,Autres,2061701,2061701
2010,2010,MB,Manitoba,Manitoba,Spruce budworm,Tordeuse des bourgeons de l'epinette,40550,40550
2010,2010,MB,Manitoba,Manitoba,Jack pine budworm,Tordeuse du pin gris,0,0
2010,2010,MB,Manitoba,Manitoba,Mountain pine beetle,Dendroctone du pin ponderosa,0,0
2010,2010,MB,Manitoba,Manitoba,Hemlock looper,Arpenteuse de la pruche,0,0
2010,2010,MB,Manitoba,Manitoba,Forest tent caterpillar,Livree des forets,0,0
2010,2010,MB,Manitoba,Manitoba,Spongy moth,Spongieuse,0,0
2010,2010,MB,Manitoba,Manitoba,Blackheaded budworm,Tordeuse a tete noire de l'epinette,0,0
2010,2010,MB,Manitoba,Manitoba,Balsam fir sawfly,Diprion du sapin,0,0
2010,2010,MB,Manitoba,Manitoba,Swaine jack pine sawfly,Diprion de Swaine,0,0
2010,2010,MB,Manitoba,Manitoba,Bruce spanworm,Arpenteuse de Bruce,0,0
2010,2010,MB,Manitoba,Manitoba,Western spruce budworm,Tordeuse occidentale de l'epinette,0,0
2010,2010,MB,Manitoba,Manitoba,Large aspen tortrix,Tordeuse du tremble,0,0
2010,2010,MB,Manitoba,Manitoba,Two-year-cycle spruce budworm,Tordeuse a cycle de deux ans,0,0
2010,2010,MB,Manitoba,Manitoba,Spruce beetle,Dendroctone de l'epinette,0,0
2010,2010,MB,Manitoba,Manitoba,Aspen twoleaf tier,Noctuelle decolorie,0,0
2010,2010,MB,Manitoba,Manitoba,Other,Autres,0,0
2010,2010,NB,New Brunswick,Nouveau-Brunswick,Spruce budworm,Tordeuse des bourgeons de l'epinette,0,0
2010,2010,NB,New Brunswick,Nouveau-Brunswick,Jack pine budworm,Tordeuse du pin gris,0,0
2010,2010,NB,New Brunswick,Nouveau-Brunswick,Mountain pine beetle,Dendroctone du pin ponderosa,0,0
2010,2010,NB,New Brunswick,Nouveau-Brunswick,Hemlock looper,Arpenteuse de la pruche,0,0
2010,2010,NB,New Brunswick,Nouveau-Brunswick,Forest tent caterpillar,Livree des forets,2001,2001
2010,2010,NB,New Brunswick,Nouveau-Brunswick,Spongy moth,Spongieuse,0,0
2010,2010,NB,New Brunswick,Nouveau-Brunswick,Blackheaded budworm,Tordeuse a tete noire de l'epinette,0,0
2010,2010,NB,New Brunswick,Nouveau-Brunswick,Balsam fir sawfly,Diprion du sapin,46600,46600
2010,2010,NB,New Brunswick,Nouveau-Brunswick,Swaine jack pine sawfly,Diprion de Swaine,0,0
2010,2010,NB,New Brunswick,Nouveau-Brunswick,Bruce spanworm,Arpenteuse de Bruce,0,0
2010,2010,NB,New Brunswick,Nouveau-Brunswick,Western spruce budworm,Tordeuse occidentale de l'epinette,0,0
2010,2010,NB,New Brunswick,Nouveau-Brunswick,Large aspen tortrix,Tordeuse du tremble,0,0
2010,2010,NB,New Brunswick,Nouveau-Brunswick,Two-year-cycle spruce budworm,Tordeuse a cycle de deux ans,0,0
2010,2010,NB,New Brunswick,Nouveau-Brunswick,Spruce beetle,Dendroctone de l'epinette,19,19
2010,2010,NB,New Brunswick,Nouveau-Brunswick,Aspen twoleaf tier,Noctuelle decolorie,0,0
2010,2010,NB,New Brunswick,Nouveau-Brunswick,Other,Autres,1015,1015
2010,2010,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Spruce budworm,Tordeuse des bourgeons de l'epinette,58012,58012
2010,2010,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Jack pine budworm,Tordeuse du pin gris,0,0
2010,2010,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Mountain pine beetle,Dendroctone du pin ponderosa,0,0
2010,2010,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Hemlock looper,Arpenteuse de la pruche,2210,2210
2010,2010,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Forest tent caterpillar,Livree des forets,0,0
2010,2010,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Spongy moth,Spongieuse,0,0
2010,2010,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Blackheaded budworm,Tordeuse a tete noire de l'epinette,0,0
2010,2010,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Balsam fir sawfly,Diprion du sapin,4709,4709
2010,2010,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Swaine jack pine sawfly,Diprion de Swaine,0,0
2010,2010,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Bruce spanworm,Arpenteuse de Bruce,0,0
2010,2010,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Western spruce budworm,Tordeuse occidentale de l'epinette,0,0
2010,2010,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Large aspen tortrix,Tordeuse du tremble,0,0
2010,2010,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Two-year-cycle spruce budworm,Tordeuse a cycle de deux ans,0,0
2010,2010,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Spruce beetle,Dendroctone de l'epinette,34841,34841
2010,2010,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Aspen twoleaf tier,Noctuelle decolorie,0,0
2010,2010,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Other,Autres,0,0
2010,2010,NS,Nova Scotia,Nouvelle-ecosse,Spruce budworm,Tordeuse des bourgeons de l'epinette,0,0
2010,2010,NS,Nova Scotia,Nouvelle-ecosse,Jack pine budworm,Tordeuse du pin gris,0,0
2010,2010,NS,Nova Scotia,Nouvelle-ecosse,Mountain pine beetle,Dendroctone du pin ponderosa,0,0
2010,2010,NS,Nova Scotia,Nouvelle-ecosse,Hemlock looper,Arpenteuse de la pruche,0,0
2010,2010,NS,Nova Scotia,Nouvelle-ecosse,Forest tent caterpillar,Livree des forets,0,0
2010,2010,NS,Nova Scotia,Nouvelle-ecosse,Spongy moth,Spongieuse,0,0
2010,2010,NS,Nova Scotia,Nouvelle-ecosse,Blackheaded budworm,Tordeuse a tete noire de l'epinette,0,0
2010,2010,NS,Nova Scotia,Nouvelle-ecosse,Balsam fir sawfly,Diprion du sapin,0,0
2010,2010,NS,Nova Scotia,Nouvelle-ecosse,Swaine jack pine sawfly,Diprion de Swaine,0,0
2010,2010,NS,Nova Scotia,Nouvelle-ecosse,Bruce spanworm,Arpenteuse de Bruce,0,0
2010,2010,NS,Nova Scotia,Nouvelle-ecosse,Western spruce budworm,Tordeuse occidentale de l'epinette,0,0
