Year,Annee,ISO,Jurisdiction,Juridiction,Insect_species,Insecte_espece,Area,Data_qualifier,Superficie,Qualificatifs_de_donnees
2000,2000,ON,Ontario,Ontario,Spruce beetle,Dendroctone de l'epinette,0,a,0,a
2000,2000,ON,Ontario,Ontario,Aspen twoleaf tier,Noctuelle decolorie,0,a,0,a
2000,2000,ON,Ontario,Ontario,Other,Autres,0,a,0,a
2000,2000,PE,Prince Edward Island,Île-du-Prince-edouard,Spruce budworm,Tordeuse des bourgeons de l'epinette,0,a,0,a
2000,2000,PE,Prince Edward Island,Île-du-Prince-edouard,Jack pine budworm,Tordeuse du pin gris,0,n,0,n
2000,2000,PE,Prince Edward Island,Île-du-Prince-edouard,Mountain pine beetle,Dendroctone du pin ponderosa,0,n,0,n
2000,2000,PE,Prince Edward Island,Île-du-Prince-edouard,Hemlock looper,Arpenteuse de la pruche,0,a,0,a
2000,2000,PE,Prince Edward Island,Île-du-Prince-edouard,Forest tent caterpillar,Livree des forets,0,a,0,a
2000,2000,PE,Prince Edward Island,Île-du-Prince-edouard,Spongy moth,Spongieuse,0,n,0,n
2000,2000,PE,Prince Edward Island,Île-du-Prince-edouard,Blackheaded budworm,Tordeuse a tete noire de l'epinette,0,a,0,a
2000,2000,PE,Prince Edward Island,Île-du-Prince-edouard,Balsam fir sawfly,Diprion du sapin,0,a,0,a
2000,2000,PE,Prince Edward Island,Île-du-Prince-edouard,Swaine jack pine sawfly,Diprion de Swaine,0,a,0,a
2000,2000,PE,Prince Edward Island,Île-du-Prince-edouard,Bruce spanworm,Arpenteuse de Bruce,0,a,0,a
2000,2000,PE,Prince Edward Island,Île-du-Prince-edouard,Western spruce budworm,Tordeuse occidentale de l'epinette,0,n,0,n
2000,2000,PE,Prince Edward Island,Île-du-Prince-edouard,Large aspen tortrix,Tordeuse du tremble,0,a,0,a
2000,2000,PE,Prince Edward Island,Île-du-Prince-edouard,Two-year-cycle spruce budworm,Tordeuse a cycle de deux ans,0,n,0,n
2000,2000,PE,Prince Edward Island,Île-du-Prince-edouard,Spruce beetle,Dendroctone de l'epinette,0,a,0,a
2000,2000,PE,Prince Edward Island,Île-du-Prince-edouard,Aspen twoleaf tier,Noctuelle decolorie,0,a,0,a
2000,2000,PE,Prince Edward Island,Île-du-Prince-edouard,Other,Autres,0,a,0,a
2000,2000,QC,Quebec,Quebec,Spruce budworm,Tordeuse des bourgeons de l'epinette,8039,a,8039,a
2000,2000,QC,Quebec,Quebec,Jack pine budworm,Tordeuse du pin gris,0,a,0,a
2000,2000,QC,Quebec,Quebec,Mountain pine beetle,Dendroctone du pin ponderosa,0,n,0,n
2000,2000,QC,Quebec,Quebec,Hemlock looper,Arpenteuse de la pruche,879523,a,879523,a
2000,2000,QC,Quebec,Quebec,Forest tent caterpillar,Livree des forets,472095,r,472095,r
2000,2000,QC,Quebec,Quebec,Spongy moth,Spongieuse,2,r,2,r
2000,2000,QC,Quebec,Quebec,Blackheaded budworm,Tordeuse a tete noire de l'epinette,0,a,0,a
2000,2000,QC,Quebec,Quebec,Balsam fir sawfly,Diprion du sapin,0,a,0,a
2000,2000,QC,Quebec,Quebec,Swaine jack pine sawfly,Diprion de Swaine,0,a,0,a
2000,2000,QC,Quebec,Quebec,Bruce spanworm,Arpenteuse de Bruce,0,a,0,a
2000,2000,QC,Quebec,Quebec,Western spruce budworm,Tordeuse occidentale de l'epinette,0,n,0,n
2000,2000,QC,Quebec,Quebec,Large aspen tortrix,Tordeuse du tremble,1885,r,1885,r
2000,2000,QC,Quebec,Quebec,Two-year-cycle spruce budworm,Tordeuse a cycle de deux ans,0,n,0,n
2000,2000,QC,Quebec,Quebec,Spruce beetle,Dendroctone de l'epinette,0,a,0,a
2000,2000,QC,Quebec,Quebec,Aspen twoleaf tier,Noctuelle decolorie,0,a,0,a
2000,2000,QC,Quebec,Quebec,Other,Autres,0,a,0,a
2000,2000,SK,Saskatchewan,Saskatchewan,Spruce budworm,Tordeuse des bourgeons de l'epinette,265776,a,265776,a
2000,2000,SK,Saskatchewan,Saskatchewan,Jack pine budworm,Tordeuse du pin gris,0,a,0,a
2000,2000,SK,Saskatchewan,Saskatchewan,Mountain pine beetle,Dendroctone du pin ponderosa,0,a,0,a
2000,2000,SK,Saskatchewan,Saskatchewan,Hemlock looper,Arpenteuse de la pruche,0,a,0,a
