Année,Juridiction,SCIAN,Valeur
2009,Île-du-Prince-Édouard,Foresterie et exploitation forestière,40
2009,Île-du-Prince-Édouard,Fabrication du papier,120
2009,Île-du-Prince-Édouard,Activités de soutien à la foresterie,20
2009,Île-du-Prince-Édouard,Fabrication de produits en bois,160
2009,Québec,Foresterie et exploitation forestière,12030
2009,Québec,Fabrication du papier,22030
2009,Québec,Activités de soutien à la foresterie,6030
2009,Québec,Fabrication de produits en bois,24750
2009,Saskatchewan,Foresterie et exploitation forestière,335
2009,Saskatchewan,Fabrication du papier,365
2009,Saskatchewan,Activités de soutien à la foresterie,1205
2009,Saskatchewan,Fabrication de produits en bois,1275
2009,Yukon,Foresterie et exploitation forestière,20
2009,Yukon,Fabrication du papier,0
2009,Yukon,Activités de soutien à la foresterie,10
2009,Yukon,Fabrication de produits en bois,25
2009,Territoires du Nord-Ouest,Foresterie et exploitation forestière,0
2009,Territoires du Nord-Ouest,Fabrication du papier,0
2009,Territoires du Nord-Ouest,Activités de soutien à la foresterie,0
2009,Territoires du Nord-Ouest,Fabrication de produits en bois,0
2009,Nunavut,Foresterie et exploitation forestière,0
2009,Nunavut,Fabrication du papier,0
2009,Nunavut,Activités de soutien à la foresterie,0
2009,Nunavut,Fabrication de produits en bois,0
2010,Canada,Foresterie et exploitation forestière,34920
2010,Canada,Fabrication du papier,64585
2010,Canada,Activités de soutien à la foresterie,21110
2010,Canada,Fabrication de produits en bois,91170
2010,Alberta,Foresterie et exploitation forestière,2205
2010,Alberta,Fabrication du papier,2985
2010,Alberta,Activités de soutien à la foresterie,1580
2010,Alberta,Fabrication de produits en bois,9340
2010,Colombie-Britannique,Foresterie et exploitation forestière,11615
2010,Colombie-Britannique,Fabrication du papier,8830
2010,Colombie-Britannique,Activités de soutien à la foresterie,6720
2010,Colombie-Britannique,Fabrication de produits en bois,24420
2010,Manitoba,Foresterie et exploitation forestière,330
2010,Manitoba,Fabrication du papier,1525
2010,Manitoba,Activités de soutien à la foresterie,565
2010,Manitoba,Fabrication de produits en bois,2345
2010,Nouveau-Brunswick,Foresterie et exploitation forestière,3125
2010,Nouveau-Brunswick,Fabrication du papier,3065
2010,Nouveau-Brunswick,Activités de soutien à la foresterie,1020
2010,Nouveau-Brunswick,Fabrication de produits en bois,4295
2010,Terre-Neuve-et-Labrador,Foresterie et exploitation forestière,445
2010,Terre-Neuve-et-Labrador,Fabrication du papier,495
2010,Terre-Neuve-et-Labrador,Activités de soutien à la foresterie,165
2010,Terre-Neuve-et-Labrador,Fabrication de produits en bois,430
2010,Territoires du Nord-Ouest,Foresterie et exploitation forestière,10
2010,Territoires du Nord-Ouest,Fabrication du papier,0
2010,Territoires du Nord-Ouest,Activités de soutien à la foresterie,170
2010,Territoires du Nord-Ouest,Fabrication de produits en bois,0
2010,Nouvelle-Écosse,Foresterie et exploitation forestière,1415
2010,Nouvelle-Écosse,Fabrication du papier,2135
2010,Nouvelle-Écosse,Activités de soutien à la foresterie,655
2010,Nouvelle-Écosse,Fabrication de produits en bois,2905
2010,Ontario,Foresterie et exploitation forestière,4660
2010,Ontario,Fabrication du papier,22510
2010,Ontario,Activités de soutien à la foresterie,3100
2010,Ontario,Fabrication de produits en bois,17845
2010,Île-du-Prince-Édouard,Foresterie et exploitation forestière,40
2010,Île-du-Prince-Édouard,Fabrication du papier,115
2010,Île-du-Prince-Édouard,Activités de soutien à la foresterie,25
2010,Île-du-Prince-Édouard,Fabrication de produits en bois,95
2010,Québec,Foresterie et exploitation forestière,10675
2010,Québec,Fabrication du papier,22605
2010,Québec,Activités de soutien à la foresterie,6015
2010,Québec,Fabrication de produits en bois,28130
2010,Saskatchewan,Foresterie et exploitation forestière,375
2010,Saskatchewan,Fabrication du papier,320
2010,Saskatchewan,Activités de soutien à la foresterie,1085
2010,Saskatchewan,Fabrication de produits en bois,1335
2010,Yukon,Foresterie et exploitation forestière,25
2010,Yukon,Fabrication du papier,0
2010,Yukon,Activités de soutien à la foresterie,10
2010,Yukon,Fabrication de produits en bois,30
2010,Territoires du Nord-Ouest,Foresterie et exploitation forestière,0
2010,Territoires du Nord-Ouest,Fabrication du papier,0
2010,Territoires du Nord-Ouest,Activités de soutien à la foresterie,0
2010,Territoires du Nord-Ouest,Fabrication de produits en bois,0
2010,Nunavut,Foresterie et exploitation forestière,0
2010,Nunavut,Fabrication du papier,0
2010,Nunavut,Activités de soutien à la foresterie,0
2010,Nunavut,Fabrication de produits en bois,0
2011,Canada,Foresterie et exploitation forestière,35630
2011,Canada,Fabrication du papier,61210
2011,Canada,Activités de soutien à la foresterie,21790
2011,Canada,Fabrication de produits en bois,87165
2011,Alberta,Foresterie et exploitation forestière,2590
2011,Alberta,Fabrication du papier,2955
2011,Alberta,Activités de soutien à la foresterie,1515
2011,Alberta,Fabrication de produits en bois,9930
2011,Colombie-Britannique,Foresterie et exploitation forestière,12010
2011,Colombie-Britannique,Fabrication du papier,8335
2011,Colombie-Britannique,Activités de soutien à la foresterie,7305
2011,Colombie-Britannique,Fabrication de produits en bois,24180
2011,Manitoba,Foresterie et exploitation forestière,340
2011,Manitoba,Fabrication du papier,1410
2011,Manitoba,Activités de soutien à la foresterie,495
2011,Manitoba,Fabrication de produits en bois,2405
2011,Nouveau-Brunswick,Foresterie et exploitation forestière,2855
2011,Nouveau-Brunswick,Fabrication du papier,2760
2011,Nouveau-Brunswick,Activités de soutien à la foresterie,895
2011,Nouveau-Brunswick,Fabrication de produits en bois,4270
2011,Terre-Neuve-et-Labrador,Foresterie et exploitation forestière,485
2011,Terre-Neuve-et-Labrador,Fabrication du papier,480
2011,Terre-Neuve-et-Labrador,Activités de soutien à la foresterie,190
2011,Terre-Neuve-et-Labrador,Fabrication de produits en bois,410
2011,Territoires du Nord-Ouest,Foresterie et exploitation forestière,10
2011,Territoires du Nord-Ouest,Fabrication du papier,0
2011,Territoires du Nord-Ouest,Activités de soutien à la foresterie,175
2011,Territoires du Nord-Ouest,Fabrication de produits en bois,10
2011,Nouvelle-Écosse,Foresterie et exploitation forestière,1205
2011,Nouvelle-Écosse,Fabrication du papier,1880
2011,Nouvelle-Écosse,Activités de soutien à la foresterie,585
2011,Nouvelle-Écosse,Fabrication de produits en bois,2030
2011,Ontario,Foresterie et exploitation forestière,5030
2011,Ontario,Fabrication du papier,21750
2011,Ontario,Activités de soutien à la foresterie,3715
2011,Ontario,Fabrication de produits en bois,16225
2011,Île-du-Prince-Édouard,Foresterie et exploitation forestière,50
2011,Île-du-Prince-Édouard,Fabrication du papier,155
2011,Île-du-Prince-Édouard,Activités de soutien à la foresterie,25
2011,Île-du-Prince-Édouard,Fabrication de produits en bois,100
2011,Québec,Foresterie et exploitation forestière,10730
2011,Québec,Fabrication du papier,21220
2011,Québec,Activités de soutien à la foresterie,5885
2011,Québec,Fabrication de produits en bois,26190
2011,Saskatchewan,Foresterie et exploitation forestière,300
2011,Saskatchewan,Fabrication du papier,265
2011,Saskatchewan,Activités de soutien à la foresterie,995
2011,Saskatchewan,Fabrication de produits en bois,1380
2011,Yukon,Foresterie et exploitation forestière,25
2011,Yukon,Fabrication du papier,0
2011,Yukon,Activités de soutien à la foresterie,10
2011,Yukon,Fabrication de produits en bois,35
2011,Territoires du Nord-Ouest,Foresterie et exploitation forestière,0
2011,Territoires du Nord-Ouest,Fabrication du papier,0
2011,Territoires du Nord-Ouest,Activités de soutien à la foresterie,0
2011,Territoires du Nord-Ouest,Fabrication de produits en bois,0
2011,Nunavut,Foresterie et exploitation forestière,0
2011,Nunavut,Fabrication du papier,0
2011,Nunavut,Activités de soutien à la foresterie,0
2011,Nunavut,Fabrication de produits en bois,0
2012,Canada,Foresterie et exploitation forestière,32725
2012,Canada,Fabrication du papier,59140
2012,Canada,Activités de soutien à la foresterie,20690
2012,Canada,Fabrication de produits en bois,89830
2012,Alberta,Foresterie et exploitation forestière,2820
2012,Alberta,Fabrication du papier,2985
2012,Alberta,Activités de soutien à la foresterie,1460
2012,Alberta,Fabrication de produits en bois,10025
2012,Colombie-Britannique,Foresterie et exploitation forestière,12235
2012,Colombie-Britannique,Fabrication du papier,7890
2012,Colombie-Britannique,Activités de soutien à la foresterie,7510
2012,Colombie-Britannique,Fabrication de produits en bois,26660
2012,Manitoba,Foresterie et exploitation forestière,330
2012,Manitoba,Fabrication du papier,1385
2012,Manitoba,Activités de soutien à la foresterie,475
2012,Manitoba,Fabrication de produits en bois,2495
2012,Nouveau-Brunswick,Foresterie et exploitation forestière,2495
2012,Nouveau-Brunswick,Fabrication du papier,2855
2012,Nouveau-Brunswick,Activités de soutien à la foresterie,895
2012,Nouveau-Brunswick,Fabrication de produits en bois,4165
2012,Terre-Neuve-et-Labrador,Foresterie et exploitation forestière,380
2012,Terre-Neuve-et-Labrador,Fabrication du papier,395
2012,Terre-Neuve-et-Labrador,Activités de soutien à la foresterie,180
2012,Terre-Neuve-et-Labrador,Fabrication de produits en bois,420
2012,Territoires du Nord-Ouest,Foresterie et exploitation forestière,10
2012,Territoires du Nord-Ouest,Fabrication du papier,0
2012,Territoires du Nord-Ouest,Activités de soutien à la foresterie,165
2012,Territoires du Nord-Ouest,Fabrication de produits en bois,10
2012,Nouvelle-Écosse,Foresterie et exploitation forestière,980
2012,Nouvelle-Écosse,Fabrication du papier,1085
2012,Nouvelle-Écosse,Activités de soutien à la foresterie,450
2012,Nouvelle-Écosse,Fabrication de produits en bois,1900
2012,Ontario,Foresterie et exploitation forestière,4375
2012,Ontario,Fabrication du papier,21750
2012,Ontario,Activités de soutien à la foresterie,3385
2012,Ontario,Fabrication de produits en bois,16400
2012,Île-du-Prince-Édouard,Foresterie et exploitation forestière,45
2012,Île-du-Prince-Édouard,Fabrication du papier,195
2012,Île-du-Prince-Édouard,Activités de soutien à la foresterie,30
2012,Île-du-Prince-Édouard,Fabrication de produits en bois,105
2012,Québec,Foresterie et exploitation forestière,8700
2012,Québec,Fabrication du papier,20335
2012,Québec,Activités de soutien à la foresterie,5215
2012,Québec,Fabrication de produits en bois,26115
2012,Saskatchewan,Foresterie et exploitation forestière,330
2012,Saskatchewan,Fabrication du papier,265
2012,Saskatchewan,Activités de soutien à la foresterie,910
2012,Saskatchewan,Fabrication de produits en bois,1490
2012,Yukon,Foresterie et exploitation forestière,25
2012,Yukon,Fabrication du papier,0
2012,Yukon,Activités de soutien à la foresterie,15
2012,Yukon,Fabrication de produits en bois,45
2012,Territoires du Nord-Ouest,Foresterie et exploitation forestière,0
2012,Territoires du Nord-Ouest,Fabrication du papier,0
2012,Territoires du Nord-Ouest,Activités de soutien à la foresterie,0
2012,Territoires du Nord-Ouest,Fabrication de produits en bois,0
2012,Nunavut,Foresterie et exploitation forestière,0
2012,Nunavut,Fabrication du papier,0
2012,Nunavut,Activités de soutien à la foresterie,0
2012,Nunavut,Fabrication de produits en bois,0
2013,Canada,Foresterie et exploitation forestière,33220
2013,Canada,Fabrication du papier,59175
2013,Canada,Activités de soutien à la foresterie,20910
2013,Canada,Fabrication de produits en bois,92955
2013,Alberta,Foresterie et exploitation forestière,2630
2013,Alberta,Fabrication du papier,3230
2013,Alberta,Activités de soutien à la foresterie,1450
2013,Alberta,Fabrication de produits en bois,10115
2013,Colombie-Britannique,Foresterie et exploitation forestière,12395
2013,Colombie-Britannique,Fabrication du papier,8275
2013,Colombie-Britannique,Activités de soutien à la foresterie,7500
2013,Colombie-Britannique,Fabrication de produits en bois,27315
2013,Manitoba,Foresterie et exploitation forestière,325
2013,Manitoba,Fabrication du papier,1120
2013,Manitoba,Activités de soutien à la foresterie,485
2013,Manitoba,Fabrication de produits en bois,2575
2013,Nouveau-Brunswick,Foresterie et exploitation forestière,2680
2013,Nouveau-Brunswick,Fabrication du papier,3075
2013,Nouveau-Brunswick,Activités de soutien à la foresterie,1010
2013,Nouveau-Brunswick,Fabrication de produits en bois,4195
2013,Terre-Neuve-et-Labrador,Foresterie et exploitation forestière,360
2013,Terre-Neuve-et-Labrador,Fabrication du papier,255
2013,Terre-Neuve-et-Labrador,Activités de soutien à la foresterie,155
2013,Terre-Neuve-et-Labrador,Fabrication de produits en bois,375
2013,Territoires du Nord-Ouest,Foresterie et exploitation forestière,10
2013,Territoires du Nord-Ouest,Fabrication du papier,0
2013,Territoires du Nord-Ouest,Activités de soutien à la foresterie,140
2013,Territoires du Nord-Ouest,Fabrication de produits en bois,5
2013,Nouvelle-Écosse,Foresterie et exploitation forestière,1005
2013,Nouvelle-Écosse,Fabrication du papier,930
2013,Nouvelle-Écosse,Activités de soutien à la foresterie,480
2013,Nouvelle-Écosse,Fabrication de produits en bois,1915
2013,Ontario,Foresterie et exploitation forestière,4350
2013,Ontario,Fabrication du papier,21705
2013,Ontario,Activités de soutien à la foresterie,3345
2013,Ontario,Fabrication de produits en bois,17185
2013,Île-du-Prince-Édouard,Foresterie et exploitation forestière,50
2013,Île-du-Prince-Édouard,Fabrication du papier,205
2013,Île-du-Prince-Édouard,Activités de soutien à la foresterie,35
2013,Île-du-Prince-Édouard,Fabrication de produits en bois,115
2013,Québec,Foresterie et exploitation forestière,9050
2013,Québec,Fabrication du papier,20150
2013,Québec,Activités de soutien à la foresterie,5420
2013,Québec,Fabrication de produits en bois,27375
2013,Saskatchewan,Foresterie et exploitation forestière,335
2013,Saskatchewan,Fabrication du papier,230
2013,Saskatchewan,Activités de soutien à la foresterie,880
2013,Saskatchewan,Fabrication de produits en bois,1760
2013,Yukon,Foresterie et exploitation forestière,30
2013,Yukon,Fabrication du papier,0
2013,Yukon,Activités de soutien à la foresterie,10
2013,Yukon,Fabrication de produits en bois,25
2013,Territoires du Nord-Ouest,Foresterie et exploitation forestière,0
2013,Territoires du Nord-Ouest,Fabrication du papier,0
2013,Territoires du Nord-Ouest,Activités de soutien à la foresterie,0
2013,Territoires du Nord-Ouest,Fabrication de produits en bois,0
2013,Nunavut,Foresterie et exploitation forestière,0
2013,Nunavut,Fabrication du papier,0
2013,Nunavut,Activités de soutien à la foresterie,0
2013,Nunavut,Fabrication de produits en bois,0
2014,Canada,Foresterie et exploitation forestière,32015
2014,Canada,Fabrication du papier,58380
2014,Canada,Activités de soutien à la foresterie,21190
2014,Canada,Fabrication de produits en bois,92815
2014,Alberta,Foresterie et exploitation forestière,2445
2014,Alberta,Fabrication du papier,3435
2014,Alberta,Activités de soutien à la foresterie,1565
2014,Alberta,Fabrication de produits en bois,9775
2014,Colombie-Britannique,Foresterie et exploitation forestière,13025
2014,Colombie-Britannique,Fabrication du papier,7385
2014,Colombie-Britannique,Activités de soutien à la foresterie,7495
2014,Colombie-Britannique,Fabrication de produits en bois,27715
2014,Manitoba,Foresterie et exploitation forestière,310
2014,Manitoba,Fabrication du papier,1220
2014,Manitoba,Activités de soutien à la foresterie,520
2014,Manitoba,Fabrication de produits en bois,2430
2014,Nouveau-Brunswick,Foresterie et exploitation forestière,2735
2014,Nouveau-Brunswick,Fabrication du papier,3315
2014,Nouveau-Brunswick,Activités de soutien à la foresterie,965
2014,Nouveau-Brunswick,Fabrication de produits en bois,5055
2014,Terre-Neuve-et-Labrador,Foresterie et exploitation forestière,430
2014,Terre-Neuve-et-Labrador,Fabrication du papier,320
2014,Terre-Neuve-et-Labrador,Activités de soutien à la foresterie,140
2014,Terre-Neuve-et-Labrador,Fabrication de produits en bois,345
2014,Territoires du Nord-Ouest,Foresterie et exploitation forestière,5
2014,Territoires du Nord-Ouest,Fabrication du papier,0
2014,Territoires du Nord-Ouest,Activités de soutien à la foresterie,145
2014,Territoires du Nord-Ouest,Fabrication de produits en bois,15
2014,Nouvelle-Écosse,Foresterie et exploitation forestière,1015
2014,Nouvelle-Écosse,Fabrication du papier,1105
2014,Nouvelle-Écosse,Activités de soutien à la foresterie,455
2014,Nouvelle-Écosse,Fabrication de produits en bois,1950
2014,Ontario,Foresterie et exploitation forestière,3840
2014,Ontario,Fabrication du papier,19935
2014,Ontario,Activités de soutien à la foresterie,3425
2014,Ontario,Fabrication de produits en bois,17005
2014,Île-du-Prince-Édouard,Foresterie et exploitation forestière,50
2014,Île-du-Prince-Édouard,Fabrication du papier,265
2014,Île-du-Prince-Édouard,Activités de soutien à la foresterie,40
2014,Île-du-Prince-Édouard,Fabrication de produits en bois,135
2014,Québec,Foresterie et exploitation forestière,7730
2014,Québec,Fabrication du papier,21165
2014,Québec,Activités de soutien à la foresterie,5510
2014,Québec,Fabrication de produits en bois,26715
2014,Saskatchewan,Foresterie et exploitation forestière,405
2014,Saskatchewan,Fabrication du papier,235
2014,Saskatchewan,Activités de soutien à la foresterie,920
2014,Saskatchewan,Fabrication de produits en bois,1640
2014,Yukon,Foresterie et exploitation forestière,25
2014,Yukon,Fabrication du papier,0
2014,Yukon,Activités de soutien à la foresterie,10
2014,Yukon,Fabrication de produits en bois,35
2014,Territoires du Nord-Ouest,Foresterie et exploitation forestière,0
2014,Territoires du Nord-Ouest,Fabrication du papier,0
2014,Territoires du Nord-Ouest,Activités de soutien à la foresterie,0
2014,Territoires du Nord-Ouest,Fabrication de produits en bois,0
2014,Nunavut,Foresterie et exploitation forestière,0
2014,Nunavut,Fabrication du papier,0
2014,Nunavut,Activités de soutien à la foresterie,0
2014,Nunavut,Fabrication de produits en bois,0
2015,Canada,Foresterie et exploitation forestière,32445
2015,Canada,Fabrication du papier,58020
2015,Canada,Activités de soutien à la foresterie,21185
2015,Canada,Fabrication de produits en bois,94540
2015,Alberta,Foresterie et exploitation forestière,2690
2015,Alberta,Fabrication du papier,3330
2015,Alberta,Activités de soutien à la foresterie,1620
2015,Alberta,Fabrication de produits en bois,9515
2015,Colombie-Britannique,Foresterie et exploitation forestière,12460
2015,Colombie-Britannique,Fabrication du papier,7080
2015,Colombie-Britannique,Activités de soutien à la foresterie,7715
2015,Colombie-Britannique,Fabrication de produits en bois,27785
2015,Manitoba,Foresterie et exploitation forestière,285
2015,Manitoba,Fabrication du papier,1235
2015,Manitoba,Activités de soutien à la foresterie,505
2015,Manitoba,Fabrication de produits en bois,2285
2015,Nouveau-Brunswick,Foresterie et exploitation forestière,2765
2015,Nouveau-Brunswick,Fabrication du papier,3160
2015,Nouveau-Brunswick,Activités de soutien à la foresterie,970
2015,Nouveau-Brunswick,Fabrication de produits en bois,5255
2015,Terre-Neuve-et-Labrador,Foresterie et exploitation forestière,475
2015,Terre-Neuve-et-Labrador,Fabrication du papier,350
2015,Terre-Neuve-et-Labrador,Activités de soutien à la foresterie,135
2015,Terre-Neuve-et-Labrador,Fabrication de produits en bois,355
2015,Territoires du Nord-Ouest,Foresterie et exploitation forestière,5
2015,Territoires du Nord-Ouest,Fabrication du papier,0
2015,Territoires du Nord-Ouest,Activités de soutien à la foresterie,145
2015,Territoires du Nord-Ouest,Fabrication de produits en bois,5
2015,Nouvelle-Écosse,Foresterie et exploitation forestière,970
2015,Nouvelle-Écosse,Fabrication du papier,1270
2015,Nouvelle-Écosse,Activités de soutien à la foresterie,490
2015,Nouvelle-Écosse,Fabrication de produits en bois,1820
2015,Ontario,Foresterie et exploitation forestière,4085
2015,Ontario,Fabrication du papier,19425
2015,Ontario,Activités de soutien à la foresterie,3265
2015,Ontario,Fabrication de produits en bois,17195
2015,Île-du-Prince-Édouard,Foresterie et exploitation forestière,55
2015,Île-du-Prince-Édouard,Fabrication du papier,300
2015,Île-du-Prince-Édouard,Activités de soutien à la foresterie,40
2015,Île-du-Prince-Édouard,Fabrication de produits en bois,115
2015,Québec,Foresterie et exploitation forestière,8200
2015,Québec,Fabrication du papier,21600
2015,Québec,Activités de soutien à la foresterie,5385
2015,Québec,Fabrication de produits en bois,28385
2015,Saskatchewan,Foresterie et exploitation forestière,425
2015,Saskatchewan,Fabrication du papier,270
2015,Saskatchewan,Activités de soutien à la foresterie,900
2015,Saskatchewan,Fabrication de produits en bois,1795
2015,Yukon,Foresterie et exploitation forestière,30
2015,Yukon,Fabrication du papier,0
2015,Yukon,Activités de soutien à la foresterie,15
2015,Yukon,Fabrication de produits en bois,30
2015,Territoires du Nord-Ouest,Foresterie et exploitation forestière,0
2015,Territoires du Nord-Ouest,Fabrication du papier,0
2015,Territoires du Nord-Ouest,Activités de soutien à la foresterie,0
2015,Territoires du Nord-Ouest,Fabrication de produits en bois,0
2015,Nunavut,Foresterie et exploitation forestière,0
2015,Nunavut,Fabrication du papier,0
2015,Nunavut,Activités de soutien à la foresterie,0
2015,Nunavut,Fabrication de produits en bois,0
2016,Canada,Foresterie et exploitation forestière,33690
2016,Canada,Fabrication du papier,54480
2016,Canada,Activités de soutien à la foresterie,21915
2016,Canada,Fabrication de produits en bois,100200
2016,Alberta,Foresterie et exploitation forestière,2950
2016,Alberta,Fabrication du papier,3195
2016,Alberta,Activités de soutien à la foresterie,1720
2016,Alberta,Fabrication de produits en bois,10030
2016,Colombie-Britannique,Foresterie et exploitation forestière,13210
2016,Colombie-Britannique,Fabrication du papier,7075
2016,Colombie-Britannique,Activités de soutien à la foresterie,8415
2016,Colombie-Britannique,Fabrication de produits en bois,31240
2016,Manitoba,Foresterie et exploitation forestière,240
2016,Manitoba,Fabrication du papier,1255
2016,Manitoba,Activités de soutien à la foresterie,540
2016,Manitoba,Fabrication de produits en bois,2460
2016,Nouveau-Brunswick,Foresterie et exploitation forestière,2870
2016,Nouveau-Brunswick,Fabrication du papier,3040
2016,Nouveau-Brunswick,Activités de soutien à la foresterie,925
2016,Nouveau-Brunswick,Fabrication de produits en bois,5530
2016,Terre-Neuve-et-Labrador,Foresterie et exploitation forestière,450
2016,Terre-Neuve-et-Labrador,Fabrication du papier,350
2016,Terre-Neuve-et-Labrador,Activités de soutien à la foresterie,130
2016,Terre-Neuve-et-Labrador,Fabrication de produits en bois,420
2016,Territoires du Nord-Ouest,Foresterie et exploitation forestière,5
2016,Territoires du Nord-Ouest,Fabrication du papier,0
2016,Territoires du Nord-Ouest,Activités de soutien à la foresterie,145
2016,Territoires du Nord-Ouest,Fabrication de produits en bois,5
2016,Nouvelle-Écosse,Foresterie et exploitation forestière,915
2016,Nouvelle-Écosse,Fabrication du papier,1230
2016,Nouvelle-Écosse,Activités de soutien à la foresterie,540
2016,Nouvelle-Écosse,Fabrication de produits en bois,1900
2016,Ontario,Foresterie et exploitation forestière,4340
2016,Ontario,Fabrication du papier,18620
2016,Ontario,Activités de soutien à la foresterie,3205
2016,Ontario,Fabrication de produits en bois,17235
2016,Île-du-Prince-Édouard,Foresterie et exploitation forestière,85
2016,Île-du-Prince-Édouard,Fabrication du papier,280
2016,Île-du-Prince-Édouard,Activités de soutien à la foresterie,45
2016,Île-du-Prince-Édouard,Fabrication de produits en bois,140
2016,Québec,Foresterie et exploitation forestière,8155
2016,Québec,Fabrication du papier,19155
2016,Québec,Activités de soutien à la foresterie,5330
2016,Québec,Fabrication de produits en bois,29435
2016,Saskatchewan,Foresterie et exploitation forestière,435
2016,Saskatchewan,Fabrication du papier,280
2016,Saskatchewan,Activités de soutien à la foresterie,905
2016,Saskatchewan,Fabrication de produits en bois,1800
2016,Yukon,Foresterie et exploitation forestière,35
2016,Yukon,Fabrication du papier,0
2016,Yukon,Activités de soutien à la foresterie,15
2016,Yukon,Fabrication de produits en bois,5
2016,Territoires du Nord-Ouest,Foresterie et exploitation forestière,0
2016,Territoires du Nord-Ouest,Fabrication du papier,0
2016,Territoires du Nord-Ouest,Activités de soutien à la foresterie,0
2016,Territoires du Nord-Ouest,Fabrication de produits en bois,0
2016,Nunavut,Foresterie et exploitation forestière,0
2016,Nunavut,Fabrication du papier,0
2016,Nunavut,Activités de soutien à la foresterie,0
2016,Nunavut,Fabrication de produits en bois,0
2017,Canada,Foresterie et exploitation forestière,32995
2017,Canada,Fabrication du papier,56820
2017,Canada,Activités de soutien à la foresterie,22150
2017,Canada,Fabrication de produits en bois,103855
2017,Alberta,Foresterie et exploitation forestière,3030
2017,Alberta,Fabrication du papier,2775
2017,Alberta,Activités de soutien à la foresterie,1720
2017,Alberta,Fabrication de produits en bois,9225
2017,Colombie-Britannique,Foresterie et exploitation forestière,12945
2017,Colombie-Britannique,Fabrication du papier,7430
2017,Colombie-Britannique,Activités de soutien à la foresterie,8365
2017,Colombie-Britannique,Fabrication de produits en bois,33155
2017,Manitoba,Foresterie et exploitation forestière,265
2017,Manitoba,Fabrication du papier,1285
2017,Manitoba,Activités de soutien à la foresterie,485
2017,Manitoba,Fabrication de produits en bois,2415
2017,Nouveau-Brunswick,Foresterie et exploitation forestière,2775
2017,Nouveau-Brunswick,Fabrication du papier,3220
2017,Nouveau-Brunswick,Activités de soutien à la foresterie,960
2017,Nouveau-Brunswick,Fabrication de produits en bois,5685
2017,Terre-Neuve-et-Labrador,Foresterie et exploitation forestière,315
2017,Terre-Neuve-et-Labrador,Fabrication du papier,365
2017,Terre-Neuve-et-Labrador,Activités de soutien à la foresterie,135
2017,Terre-Neuve-et-Labrador,Fabrication de produits en bois,390
2017,Territoires du Nord-Ouest,Foresterie et exploitation forestière,5
2017,Territoires du Nord-Ouest,Fabrication du papier,0
2017,Territoires du Nord-Ouest,Activités de soutien à la foresterie,165
2017,Territoires du Nord-Ouest,Fabrication de produits en bois,5
2017,Nouvelle-Écosse,Foresterie et exploitation forestière,800
2017,Nouvelle-Écosse,Fabrication du papier,1250
2017,Nouvelle-Écosse,Activités de soutien à la foresterie,535
2017,Nouvelle-Écosse,Fabrication de produits en bois,1870
2017,Ontario,Foresterie et exploitation forestière,4270
2017,Ontario,Fabrication du papier,19605
2017,Ontario,Activités de soutien à la foresterie,3050
2017,Ontario,Fabrication de produits en bois,18185
2017,Île-du-Prince-Édouard,Foresterie et exploitation forestière,75
2017,Île-du-Prince-Édouard,Fabrication du papier,320
2017,Île-du-Prince-Édouard,Activités de soutien à la foresterie,40
2017,Île-du-Prince-Édouard,Fabrication de produits en bois,155
2017,Québec,Foresterie et exploitation forestière,8090
2017,Québec,Fabrication du papier,20270
2017,Québec,Activités de soutien à la foresterie,5765
2017,Québec,Fabrication de produits en bois,30925
2017,Saskatchewan,Foresterie et exploitation forestière,395
2017,Saskatchewan,Fabrication du papier,300
2017,Saskatchewan,Activités de soutien à la foresterie,905
2017,Saskatchewan,Fabrication de produits en bois,1840
2017,Yukon,Foresterie et exploitation forestière,30
2017,Yukon,Fabrication du papier,0
2017,Yukon,Activités de soutien à la foresterie,25
2017,Yukon,Fabrication de produits en bois,5
2017,Territoires du Nord-Ouest,Foresterie et exploitation forestière,0
2017,Territoires du Nord-Ouest,Fabrication du papier,0
2017,Territoires du Nord-Ouest,Activités de soutien à la foresterie,0
2017,Territoires du Nord-Ouest,Fabrication de produits en bois,0
2017,Nunavut,Foresterie et exploitation forestière,0
2017,Nunavut,Fabrication du papier,0
2017,Nunavut,Activités de soutien à la foresterie,0
2017,Nunavut,Fabrication de produits en bois,0
2018,Canada,Foresterie et exploitation forestière,33360
2018,Canada,Fabrication du papier,57045
2018,Canada,Activités de soutien à la foresterie,22485
2018,Canada,Fabrication de produits en bois,101510
2018,Alberta,Foresterie et exploitation forestière,2950
2018,Alberta,Fabrication du papier,2760
2018,Alberta,Activités de soutien à la foresterie,1810
2018,Alberta,Fabrication de produits en bois,9485
2018,Colombie-Britannique,Foresterie et exploitation forestière,13450
2018,Colombie-Britannique,Fabrication du papier,7920
2018,Colombie-Britannique,Activités de soutien à la foresterie,8935
2018,Colombie-Britannique,Fabrication de produits en bois,31765
2018,Manitoba,Foresterie et exploitation forestière,275
2018,Manitoba,Fabrication du papier,1275
2018,Manitoba,Activités de soutien à la foresterie,490
2018,Manitoba,Fabrication de produits en bois,2360
2018,Nouveau-Brunswick,Foresterie et exploitation forestière,2525
2018,Nouveau-Brunswick,Fabrication du papier,3110
2018,Nouveau-Brunswick,Activités de soutien à la foresterie,940
2018,Nouveau-Brunswick,Fabrication de produits en bois,5745
