Année,Juridiction,SCIAN,Valeur
2002,Nunavut,Activités de soutien à la foresterie,0
2002,Nunavut,Fabrication de produits en bois,0
2003,Canada,Foresterie et exploitation forestière,55875
2003,Canada,Fabrication du papier,91640
2003,Canada,Activités de soutien à la foresterie,21490
2003,Canada,Fabrication de produits en bois,151615
2003,Alberta,Foresterie et exploitation forestière,2550
2003,Alberta,Fabrication du papier,3800
2003,Alberta,Activités de soutien à la foresterie,1555
2003,Alberta,Fabrication de produits en bois,12375
2003,Colombie-Britannique,Foresterie et exploitation forestière,22425
2003,Colombie-Britannique,Fabrication du papier,10500
2003,Colombie-Britannique,Activités de soutien à la foresterie,7745
2003,Colombie-Britannique,Fabrication de produits en bois,42515
2003,Manitoba,Foresterie et exploitation forestière,615
2003,Manitoba,Fabrication du papier,2195
2003,Manitoba,Activités de soutien à la foresterie,665
2003,Manitoba,Fabrication de produits en bois,4700
2003,Nouveau-Brunswick,Foresterie et exploitation forestière,3940
2003,Nouveau-Brunswick,Fabrication du papier,4135
2003,Nouveau-Brunswick,Activités de soutien à la foresterie,1345
2003,Nouveau-Brunswick,Fabrication de produits en bois,6880
2003,Terre-Neuve-et-Labrador,Foresterie et exploitation forestière,970
2003,Terre-Neuve-et-Labrador,Fabrication du papier,1080
2003,Terre-Neuve-et-Labrador,Activités de soutien à la foresterie,295
2003,Terre-Neuve-et-Labrador,Fabrication de produits en bois,580
2003,Territoires du Nord-Ouest,Foresterie et exploitation forestière,15
2003,Territoires du Nord-Ouest,Fabrication du papier,0
2003,Territoires du Nord-Ouest,Activités de soutien à la foresterie,170
2003,Territoires du Nord-Ouest,Fabrication de produits en bois,5
2003,Nouvelle-Écosse,Foresterie et exploitation forestière,2230
2003,Nouvelle-Écosse,Fabrication du papier,1945
2003,Nouvelle-Écosse,Activités de soutien à la foresterie,615
2003,Nouvelle-Écosse,Fabrication de produits en bois,3395
2003,Ontario,Foresterie et exploitation forestière,8130
2003,Ontario,Fabrication du papier,36390
2003,Ontario,Activités de soutien à la foresterie,2665
2003,Ontario,Fabrication de produits en bois,36005
2003,Île-du-Prince-Édouard,Foresterie et exploitation forestière,130
2003,Île-du-Prince-Édouard,Fabrication du papier,60
2003,Île-du-Prince-Édouard,Activités de soutien à la foresterie,30
2003,Île-du-Prince-Édouard,Fabrication de produits en bois,350
2003,Québec,Foresterie et exploitation forestière,13860
2003,Québec,Fabrication du papier,30040
2003,Québec,Activités de soutien à la foresterie,4975
2003,Québec,Fabrication de produits en bois,42300
2003,Saskatchewan,Foresterie et exploitation forestière,975
2003,Saskatchewan,Fabrication du papier,1495
2003,Saskatchewan,Activités de soutien à la foresterie,1420
2003,Saskatchewan,Fabrication de produits en bois,2480
2003,Yukon,Foresterie et exploitation forestière,35
2003,Yukon,Fabrication du papier,0
2003,Yukon,Activités de soutien à la foresterie,10
2003,Yukon,Fabrication de produits en bois,30
2003,Territoires du Nord-Ouest,Foresterie et exploitation forestière,0
2003,Territoires du Nord-Ouest,Fabrication du papier,0
2003,Territoires du Nord-Ouest,Activités de soutien à la foresterie,0
2003,Territoires du Nord-Ouest,Fabrication de produits en bois,0
2003,Nunavut,Foresterie et exploitation forestière,0
2003,Nunavut,Fabrication du papier,0
2003,Nunavut,Activités de soutien à la foresterie,0
2003,Nunavut,Fabrication de produits en bois,0
2004,Canada,Foresterie et exploitation forestière,56100
2004,Canada,Fabrication du papier,90220
2004,Canada,Activités de soutien à la foresterie,20295
2004,Canada,Fabrication de produits en bois,162735
2004,Alberta,Foresterie et exploitation forestière,2875
2004,Alberta,Fabrication du papier,3695
2004,Alberta,Activités de soutien à la foresterie,1815
2004,Alberta,Fabrication de produits en bois,13635
2004,Colombie-Britannique,Foresterie et exploitation forestière,23185
2004,Colombie-Britannique,Fabrication du papier,12640
2004,Colombie-Britannique,Activités de soutien à la foresterie,6885
2004,Colombie-Britannique,Fabrication de produits en bois,49430
2004,Manitoba,Foresterie et exploitation forestière,595
2004,Manitoba,Fabrication du papier,2025
2004,Manitoba,Activités de soutien à la foresterie,645
2004,Manitoba,Fabrication de produits en bois,5045
2004,Nouveau-Brunswick,Foresterie et exploitation forestière,3630
2004,Nouveau-Brunswick,Fabrication du papier,4255
2004,Nouveau-Brunswick,Activités de soutien à la foresterie,1310
2004,Nouveau-Brunswick,Fabrication de produits en bois,6805
2004,Terre-Neuve-et-Labrador,Foresterie et exploitation forestière,990
