Year,Annee,ISO,Jurisdiction,Juridiction,Category,Categorie,Species-group,Groupe-d'especes,Tenure-En,Tenure-Fr,Volume
2000,2000,BC,British Columbia,Colombie-Britannique,Pulpwood,Bois a pate,Softwoods,Resineux,Provincial land,Terres provinciales,0
2000,2000,BC,British Columbia,Colombie-Britannique,Pulpwood,Bois a pate,Softwoods,Resineux,Private land,Terres privees,0
2000,2000,BC,British Columbia,Colombie-Britannique,Pulpwood,Bois a pate,Hardwoods,Feuillus,Provincial land,Terres provinciales,0
2000,2000,BC,British Columbia,Colombie-Britannique,Pulpwood,Bois a pate,Hardwoods,Feuillus,Private land,Terres privees,0
2000,2000,BC,British Columbia,Colombie-Britannique,Pulpwood,Bois a pate,Unspecified,Indeterminee,Provincial land,Terres provinciales,0
2000,2000,BC,British Columbia,Colombie-Britannique,Pulpwood,Bois a pate,Unspecified,Indeterminee,Private land,Terres privees,0
2000,2000,BC,British Columbia,Colombie-Britannique,Other industrial roundwood,Autres bois ronds industriels,Softwoods,Resineux,Provincial land,Terres provinciales,0
2000,2000,BC,British Columbia,Colombie-Britannique,Other industrial roundwood,Autres bois ronds industriels,Softwoods,Resineux,Private land,Terres privees,0
2000,2000,BC,British Columbia,Colombie-Britannique,Other industrial roundwood,Autres bois ronds industriels,Hardwoods,Feuillus,Provincial land,Terres provinciales,0
2000,2000,BC,British Columbia,Colombie-Britannique,Other industrial roundwood,Autres bois ronds industriels,Hardwoods,Feuillus,Private land,Terres privees,0
2000,2000,BC,British Columbia,Colombie-Britannique,Other industrial roundwood,Autres bois ronds industriels,Unspecified,Indeterminee,Provincial land,Terres provinciales,0
2000,2000,BC,British Columbia,Colombie-Britannique,Other industrial roundwood,Autres bois ronds industriels,Unspecified,Indeterminee,Private land,Terres privees,0
2000,2000,BC,British Columbia,Colombie-Britannique,Fuelwood and firewood,Bois de chauffage et de foyer,Softwoods,Resineux,Provincial land,Terres provinciales,0
2000,2000,BC,British Columbia,Colombie-Britannique,Fuelwood and firewood,Bois de chauffage et de foyer,Softwoods,Resineux,Private land,Terres privees,0
2000,2000,BC,British Columbia,Colombie-Britannique,Fuelwood and firewood,Bois de chauffage et de foyer,Hardwoods,Feuillus,Provincial land,Terres provinciales,0
2000,2000,BC,British Columbia,Colombie-Britannique,Fuelwood and firewood,Bois de chauffage et de foyer,Hardwoods,Feuillus,Private land,Terres privees,0
2000,2000,BC,British Columbia,Colombie-Britannique,Fuelwood and firewood,Bois de chauffage et de foyer,Unspecified,Indeterminee,Provincial land,Terres provinciales,0
2000,2000,BC,British Columbia,Colombie-Britannique,Fuelwood and firewood,Bois de chauffage et de foyer,Unspecified,Indeterminee,Private land,Terres privees,0
2000,2000,BC,British Columbia,Colombie-Britannique,Logs and bolts,Billes et billots,Softwoods,Resineux,Federal land,Terres federales,0
2000,2000,BC,British Columbia,Colombie-Britannique,Logs and bolts,Billes et billots,Hardwoods,Feuillus,Federal land,Terres federales,0
2000,2000,BC,British Columbia,Colombie-Britannique,Logs and bolts,Billes et billots,Unspecified,Indeterminee,Federal land,Terres federales,0
2000,2000,BC,British Columbia,Colombie-Britannique,Pulpwood,Bois a pate,Softwoods,Resineux,Federal land,Terres federales,0
2000,2000,BC,British Columbia,Colombie-Britannique,Pulpwood,Bois a pate,Hardwoods,Feuillus,Federal land,Terres federales,0
2000,2000,BC,British Columbia,Colombie-Britannique,Pulpwood,Bois a pate,Unspecified,Indeterminee,Federal land,Terres federales,0
2000,2000,BC,British Columbia,Colombie-Britannique,Other industrial roundwood,Autres bois ronds industriels,Softwoods,Resineux,Federal land,Terres federales,27805
2000,2000,BC,British Columbia,Colombie-Britannique,Other industrial roundwood,Autres bois ronds industriels,Hardwoods,Feuillus,Federal land,Terres federales,7067
2000,2000,BC,British Columbia,Colombie-Britannique,Other industrial roundwood,Autres bois ronds industriels,Unspecified,Indeterminee,Federal land,Terres federales,0
2000,2000,BC,British Columbia,Colombie-Britannique,Fuelwood and firewood,Bois de chauffage et de foyer,Softwoods,Resineux,Federal land,Terres federales,0
2000,2000,BC,British Columbia,Colombie-Britannique,Fuelwood and firewood,Bois de chauffage et de foyer,Hardwoods,Feuillus,Federal land,Terres federales,0
2000,2000,BC,British Columbia,Colombie-Britannique,Fuelwood and firewood,Bois de chauffage et de foyer,Unspecified,Indeterminee,Federal land,Terres federales,0
2000,2000,MB,Manitoba,Manitoba,Logs and bolts,Billes et billots,Softwoods,Resineux,Provincial land,Terres provinciales,546666
2000,2000,MB,Manitoba,Manitoba,Logs and bolts,Billes et billots,Softwoods,Resineux,Private land,Terres privees,0
2000,2000,MB,Manitoba,Manitoba,Logs and bolts,Billes et billots,Hardwoods,Feuillus,Provincial land,Terres provinciales,47813
2000,2000,MB,Manitoba,Manitoba,Logs and bolts,Billes et billots,Hardwoods,Feuillus,Private land,Terres privees,0
2000,2000,MB,Manitoba,Manitoba,Logs and bolts,Billes et billots,Unspecified,Indeterminee,Provincial land,Terres provinciales,0
2000,2000,MB,Manitoba,Manitoba,Logs and bolts,Billes et billots,Unspecified,Indeterminee,Private land,Terres privees,0
2000,2000,MB,Manitoba,Manitoba,Pulpwood,Bois a pate,Softwoods,Resineux,Provincial land,Terres provinciales,923449
2000,2000,MB,Manitoba,Manitoba,Pulpwood,Bois a pate,Softwoods,Resineux,Private land,Terres privees,0
2000,2000,MB,Manitoba,Manitoba,Pulpwood,Bois a pate,Hardwoods,Feuillus,Provincial land,Terres provinciales,602832
2000,2000,MB,Manitoba,Manitoba,Pulpwood,Bois a pate,Hardwoods,Feuillus,Private land,Terres privees,0
2000,2000,MB,Manitoba,Manitoba,Pulpwood,Bois a pate,Unspecified,Indeterminee,Provincial land,Terres provinciales,0
2000,2000,MB,Manitoba,Manitoba,Pulpwood,Bois a pate,Unspecified,Indeterminee,Private land,Terres privees,0
2000,2000,MB,Manitoba,Manitoba,Other industrial roundwood,Autres bois ronds industriels,Softwoods,Resineux,Provincial land,Terres provinciales,14804
2000,2000,MB,Manitoba,Manitoba,Other industrial roundwood,Autres bois ronds industriels,Softwoods,Resineux,Private land,Terres privees,0
2000,2000,MB,Manitoba,Manitoba,Other industrial roundwood,Autres bois ronds industriels,Hardwoods,Feuillus,Provincial land,Terres provinciales,0
2000,2000,MB,Manitoba,Manitoba,Other industrial roundwood,Autres bois ronds industriels,Hardwoods,Feuillus,Private land,Terres privees,0
2000,2000,MB,Manitoba,Manitoba,Other industrial roundwood,Autres bois ronds industriels,Unspecified,Indeterminee,Provincial land,Terres provinciales,0
2000,2000,MB,Manitoba,Manitoba,Other industrial roundwood,Autres bois ronds industriels,Unspecified,Indeterminee,Private land,Terres privees,0
2000,2000,MB,Manitoba,Manitoba,Fuelwood and firewood,Bois de chauffage et de foyer,Softwoods,Resineux,Provincial land,Terres provinciales,24495
2000,2000,MB,Manitoba,Manitoba,Fuelwood and firewood,Bois de chauffage et de foyer,Softwoods,Resineux,Private land,Terres privees,0
2000,2000,MB,Manitoba,Manitoba,Fuelwood and firewood,Bois de chauffage et de foyer,Hardwoods,Feuillus,Provincial land,Terres provinciales,28427
2000,2000,MB,Manitoba,Manitoba,Fuelwood and firewood,Bois de chauffage et de foyer,Hardwoods,Feuillus,Private land,Terres privees,0
2000,2000,MB,Manitoba,Manitoba,Fuelwood and firewood,Bois de chauffage et de foyer,Unspecified,Indeterminee,Provincial land,Terres provinciales,0
2000,2000,MB,Manitoba,Manitoba,Fuelwood and firewood,Bois de chauffage et de foyer,Unspecified,Indeterminee,Private land,Terres privees,0
2000,2000,MB,Manitoba,Manitoba,Logs and bolts,Billes et billots,Softwoods,Resineux,Federal land,Terres federales,0
2000,2000,MB,Manitoba,Manitoba,Logs and bolts,Billes et billots,Hardwoods,Feuillus,Federal land,Terres federales,0
2000,2000,MB,Manitoba,Manitoba,Logs and bolts,Billes et billots,Unspecified,Indeterminee,Federal land,Terres federales,0
2000,2000,MB,Manitoba,Manitoba,Pulpwood,Bois a pate,Softwoods,Resineux,Federal land,Terres federales,0
2000,2000,MB,Manitoba,Manitoba,Pulpwood,Bois a pate,Hardwoods,Feuillus,Federal land,Terres federales,0
2000,2000,MB,Manitoba,Manitoba,Pulpwood,Bois a pate,Unspecified,Indeterminee,Federal land,Terres federales,0
2000,2000,MB,Manitoba,Manitoba,Other industrial roundwood,Autres bois ronds industriels,Softwoods,Resineux,Federal land,Terres federales,0
2000,2000,MB,Manitoba,Manitoba,Other industrial roundwood,Autres bois ronds industriels,Hardwoods,Feuillus,Federal land,Terres federales,0
2000,2000,MB,Manitoba,Manitoba,Other industrial roundwood,Autres bois ronds industriels,Unspecified,Indeterminee,Federal land,Terres federales,0
2000,2000,MB,Manitoba,Manitoba,Fuelwood and firewood,Bois de chauffage et de foyer,Softwoods,Resineux,Federal land,Terres federales,0
2000,2000,MB,Manitoba,Manitoba,Fuelwood and firewood,Bois de chauffage et de foyer,Hardwoods,Feuillus,Federal land,Terres federales,0
2000,2000,MB,Manitoba,Manitoba,Fuelwood and firewood,Bois de chauffage et de foyer,Unspecified,Indeterminee,Federal land,Terres federales,0
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Logs and bolts,Billes et billots,Softwoods,Resineux,Provincial land,Terres provinciales,2901759
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Logs and bolts,Billes et billots,Softwoods,Resineux,Private land,Terres privees,3470951
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Logs and bolts,Billes et billots,Hardwoods,Feuillus,Provincial land,Terres provinciales,664157
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Logs and bolts,Billes et billots,Hardwoods,Feuillus,Private land,Terres privees,1193788
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Logs and bolts,Billes et billots,Unspecified,Indeterminee,Provincial land,Terres provinciales,0
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Logs and bolts,Billes et billots,Unspecified,Indeterminee,Private land,Terres privees,0
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Pulpwood,Bois a pate,Softwoods,Resineux,Provincial land,Terres provinciales,721001
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Pulpwood,Bois a pate,Softwoods,Resineux,Private land,Terres privees,728989
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Pulpwood,Bois a pate,Hardwoods,Feuillus,Provincial land,Terres provinciales,802083
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Pulpwood,Bois a pate,Hardwoods,Feuillus,Private land,Terres privees,1321041
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Pulpwood,Bois a pate,Unspecified,Indeterminee,Provincial land,Terres provinciales,0
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Pulpwood,Bois a pate,Unspecified,Indeterminee,Private land,Terres privees,0
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Other industrial roundwood,Autres bois ronds industriels,Softwoods,Resineux,Provincial land,Terres provinciales,0
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Other industrial roundwood,Autres bois ronds industriels,Softwoods,Resineux,Private land,Terres privees,0
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Other industrial roundwood,Autres bois ronds industriels,Hardwoods,Feuillus,Provincial land,Terres provinciales,0
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Other industrial roundwood,Autres bois ronds industriels,Hardwoods,Feuillus,Private land,Terres privees,0
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Other industrial roundwood,Autres bois ronds industriels,Unspecified,Indeterminee,Provincial land,Terres provinciales,0
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Other industrial roundwood,Autres bois ronds industriels,Unspecified,Indeterminee,Private land,Terres privees,0
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Fuelwood and firewood,Bois de chauffage et de foyer,Softwoods,Resineux,Provincial land,Terres provinciales,0
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Fuelwood and firewood,Bois de chauffage et de foyer,Softwoods,Resineux,Private land,Terres privees,0
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Fuelwood and firewood,Bois de chauffage et de foyer,Hardwoods,Feuillus,Provincial land,Terres provinciales,33065
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Fuelwood and firewood,Bois de chauffage et de foyer,Hardwoods,Feuillus,Private land,Terres privees,0
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Fuelwood and firewood,Bois de chauffage et de foyer,Unspecified,Indeterminee,Provincial land,Terres provinciales,0
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Fuelwood and firewood,Bois de chauffage et de foyer,Unspecified,Indeterminee,Private land,Terres privees,0
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Logs and bolts,Billes et billots,Softwoods,Resineux,Federal land,Terres federales,0
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Logs and bolts,Billes et billots,Hardwoods,Feuillus,Federal land,Terres federales,0
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Logs and bolts,Billes et billots,Unspecified,Indeterminee,Federal land,Terres federales,0
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Pulpwood,Bois a pate,Softwoods,Resineux,Federal land,Terres federales,0
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Pulpwood,Bois a pate,Hardwoods,Feuillus,Federal land,Terres federales,0
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Pulpwood,Bois a pate,Unspecified,Indeterminee,Federal land,Terres federales,0
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Other industrial roundwood,Autres bois ronds industriels,Softwoods,Resineux,Federal land,Terres federales,16724
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Other industrial roundwood,Autres bois ronds industriels,Hardwoods,Feuillus,Federal land,Terres federales,18895
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Other industrial roundwood,Autres bois ronds industriels,Unspecified,Indeterminee,Federal land,Terres federales,0
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Fuelwood and firewood,Bois de chauffage et de foyer,Softwoods,Resineux,Federal land,Terres federales,0
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Fuelwood and firewood,Bois de chauffage et de foyer,Hardwoods,Feuillus,Federal land,Terres federales,0
