Year,Jurisdiction,Export market,Value (dollars)
2001,Newfoundland and Labrador,Japan,116214
2001,Newfoundland and Labrador,Middle East,32606039
2001,Newfoundland and Labrador,Oceania,41436
2001,Newfoundland and Labrador,Other,888998
2001,Newfoundland and Labrador,South & Central America,122891662
2001,Newfoundland and Labrador,United States,377026067
2001,Northwest Territories,Eurpoean Union,28
2001,Northwest Territories,United States,1072405
2001,Nova Scotia,Africa,2921684
2001,Nova Scotia,China,82148
2001,Nova Scotia,Eurpoean Union,114806129
2001,Nova Scotia,India,3270077
2001,Nova Scotia,Japan,18290717
2001,Nova Scotia,Middle East,15519385
2001,Nova Scotia,Oceania,6486
2001,Nova Scotia,Other,38328815
2001,Nova Scotia,South & Central America,133760164
2001,Nova Scotia,South Korea,93692
2001,Nova Scotia,Taiwan,1005619
2001,Nova Scotia,United States,810690688
2001,Ontario,Africa,2161945
2001,Ontario,China,11652396
2001,Ontario,Eurpoean Union,103364979
2001,Ontario,India,1894247
2001,Ontario,Japan,8850427
2001,Ontario,Middle East,27396428
2001,Ontario,Oceania,3858142
2001,Ontario,Other,19165848
2001,Ontario,South & Central America,75618410
2001,Ontario,South Korea,2210241
2001,Ontario,Taiwan,7412317
2001,Ontario,United States,9223391770
2001,Prince Edward Island,Africa,9156
2001,Prince Edward Island,Eurpoean Union,225793
2001,Prince Edward Island,Other,544
2001,Prince Edward Island,United States,14478488
2001,Quebec,Africa,20371457
2001,Quebec,China,71834532
2001,Quebec,Eurpoean Union,825296401
2001,Quebec,India,71995479
2001,Quebec,Japan,34657429
2001,Quebec,Middle East,88869533
2001,Quebec,Oceania,9691174
2001,Quebec,Other,106224086
2001,Quebec,South & Central America,214731939
2001,Quebec,South Korea,11048746
2001,Quebec,Taiwan,46168554
2001,Quebec,United States,10721686714
2001,Saskatchewan,China,9974813
2001,Saskatchewan,Eurpoean Union,60536440
2001,Saskatchewan,India,1083858
2001,Saskatchewan,Japan,16204951
2001,Saskatchewan,Oceania,102
2001,Saskatchewan,Other,8127481
2001,Saskatchewan,South & Central America,10488059
2001,Saskatchewan,South Korea,18092310
2001,Saskatchewan,Taiwan,5569927
2001,Saskatchewan,United States,526765397
2001,Yukon,United States,2997939
2002,Canada,Africa,34605910
2002,Canada,China,772944921
2002,Canada,Eurpoean Union,2828561336
2002,Canada,India,154513206
2002,Canada,Japan,2510343247
2002,Canada,Middle East,216123339
2002,Canada,Oceania,171225866
2002,Canada,Other,579176841
2002,Canada,South & Central America,696160188
2002,Canada,South Korea,554610370
2002,Canada,Taiwan,253630886
2002,Canada,United States,34432478691
2002,Alberta,Africa,1047
2002,Alberta,China,100792209
2002,Alberta,Eurpoean Union,167766033
2002,Alberta,India,1525443
2002,Alberta,Japan,251489885
2002,Alberta,Middle East,35449
2002,Alberta,Oceania,5085690
2002,Alberta,Other,46996068
2002,Alberta,South & Central America,19985062
2002,Alberta,South Korea,203305547
2002,Alberta,Taiwan,27561694
2002,Alberta,United States,1961014531
2002,British Columbia,Africa,6683346
2002,British Columbia,China,518254240
2002,British Columbia,Eurpoean Union,1135290630
2002,British Columbia,India,77374214
2002,British Columbia,Japan,2109135367
2002,British Columbia,Middle East,38522936
2002,British Columbia,Oceania,153238792
2002,British Columbia,Other,343257219
2002,British Columbia,South & Central America,193726510
2002,British Columbia,South Korea,249314916
2002,British Columbia,Taiwan,163068684
2002,British Columbia,United States,9042569834
2002,Manitoba,Africa,338634
2002,Manitoba,China,136751
2002,Manitoba,Eurpoean Union,697923
2002,Manitoba,India,5188
2002,Manitoba,Japan,2020705
2002,Manitoba,Middle East,189234
2002,Manitoba,Oceania,292278
2002,Manitoba,Other,538879
2002,Manitoba,South & Central America,2592050
2002,Manitoba,Taiwan,91661
2002,Manitoba,United States,608270699
2002,New Brunswick,Africa,593811
2002,New Brunswick,China,5724799
2002,New Brunswick,Eurpoean Union,172355939
2002,New Brunswick,India,28232636
2002,New Brunswick,Japan,73046936
2002,New Brunswick,Middle East,12743024
2002,New Brunswick,Oceania,96821
2002,New Brunswick,Other,38115846
2002,New Brunswick,South & Central America,24088984
2002,New Brunswick,South Korea,23708221
2002,New Brunswick,Taiwan,1276340
2002,New Brunswick,United States,1972100231
2002,Newfoundland and Labrador,Africa,66362
2002,Newfoundland and Labrador,China,291408
2002,Newfoundland and Labrador,Eurpoean Union,202886476
2002,Newfoundland and Labrador,India,6256665
2002,Newfoundland and Labrador,Japan,83519
2002,Newfoundland and Labrador,Middle East,28076528
2002,Newfoundland and Labrador,Oceania,4434
2002,Newfoundland and Labrador,Other,4703661
2002,Newfoundland and Labrador,South & Central America,125426458
2002,Newfoundland and Labrador,Taiwan,23429
2002,Newfoundland and Labrador,United States,414153904
2002,Northwest Territories,United States,18642
2002,Nova Scotia,Africa,63049
2002,Nova Scotia,China,263790
2002,Nova Scotia,Eurpoean Union,92182082
2002,Nova Scotia,India,2619566
2002,Nova Scotia,Japan,26564497
2002,Nova Scotia,Middle East,6011347
2002,Nova Scotia,Other,19813127
2002,Nova Scotia,South & Central America,100348169
2002,Nova Scotia,South Korea,135625
2002,Nova Scotia,Taiwan,4429735
2002,Nova Scotia,United States,769390567
2002,Nunavut,Eurpoean Union,332
2002,Nunavut,Middle East,215
2002,Nunavut,Other,158
2002,Nunavut,South & Central America,28
2002,Ontario,Africa,2324687
2002,Ontario,China,23144311
2002,Ontario,Eurpoean Union,130275703
2002,Ontario,India,450192
2002,Ontario,Japan,7917548
2002,Ontario,Middle East,28381154
2002,Ontario,Oceania,3104955
2002,Ontario,Other,23992779
2002,Ontario,South & Central America,54940679
2002,Ontario,South Korea,12844226
2002,Ontario,Taiwan,1912303
2002,Ontario,United States,9025057077
2002,Prince Edward Island,Eurpoean Union,351546
2002,Prince Edward Island,Other,2064
2002,Prince Edward Island,United States,14398640
2002,Quebec,Africa,24534974
2002,Quebec,China,106296269
2002,Quebec,Eurpoean Union,842877445
2002,Quebec,India,37511082
2002,Quebec,Japan,23283020
2002,Quebec,Middle East,102163452
2002,Quebec,Oceania,9402789
2002,Quebec,Other,100550805
2002,Quebec,South & Central America,163404125
2002,Quebec,South Korea,27686057
2002,Quebec,Taiwan,41244349
2002,Quebec,United States,10176038604
2002,Saskatchewan,China,18041144
2002,Saskatchewan,Eurpoean Union,83877227
2002,Saskatchewan,India,538220
2002,Saskatchewan,Japan,16801770
2002,Saskatchewan,Oceania,107
2002,Saskatchewan,Other,1206235
2002,Saskatchewan,South & Central America,11648123
2002,Saskatchewan,South Korea,37615778
2002,Saskatchewan,Taiwan,14022691
2002,Saskatchewan,United States,448774751
2002,Yukon,United States,691211
2003,Canada,Africa,46664672
2003,Canada,China,974656821
2003,Canada,Eurpoean Union,2723126934
2003,Canada,India,239210993
2003,Canada,Japan,2209053421
2003,Canada,Middle East,245513683
2003,Canada,Oceania,187158179
2003,Canada,Other,591322111
2003,Canada,South & Central America,626834483
2003,Canada,South Korea,569480137
2003,Canada,Taiwan,301765471
2003,Canada,United States,31074654998
2003,Alberta,Africa,68719
2003,Alberta,China,148285845
2003,Alberta,Eurpoean Union,163076534
2003,Alberta,India,10153
2003,Alberta,Japan,238387504
2003,Alberta,Middle East,162789
2003,Alberta,Oceania,5248118
2003,Alberta,Other,40101159
2003,Alberta,South & Central America,16425869
2003,Alberta,South Korea,181550971
2003,Alberta,Taiwan,30559165
2003,Alberta,United States,1933112420
2003,British Columbia,Africa,12923165
2003,British Columbia,China,625816784
2003,British Columbia,Eurpoean Union,1068019856
2003,British Columbia,India,71279322
2003,British Columbia,Japan,1870209566
2003,British Columbia,Middle East,61940109
2003,British Columbia,Oceania,158639262
2003,British Columbia,Other,345097379
2003,British Columbia,South & Central America,174984862
2003,British Columbia,South Korea,287869309
2003,British Columbia,Taiwan,204185506
2003,British Columbia,United States,7800367502
2003,Manitoba,Africa,253631
2003,Manitoba,China,304145
2003,Manitoba,Eurpoean Union,1351502
2003,Manitoba,India,209112
2003,Manitoba,Japan,1562092
2003,Manitoba,Middle East,640872
2003,Manitoba,Oceania,1767322
2003,Manitoba,Other,1803619
2003,Manitoba,South & Central America,2893794
2003,Manitoba,South Korea,60289
2003,Manitoba,Taiwan,135532
2003,Manitoba,United States,632376920
2003,New Brunswick,Africa,166309
2003,New Brunswick,China,6527485
2003,New Brunswick,Eurpoean Union,156324816
2003,New Brunswick,India,55556415
2003,New Brunswick,Japan,41211022
2003,New Brunswick,Middle East,16358685
2003,New Brunswick,Oceania,96081
2003,New Brunswick,Other,57711531
2003,New Brunswick,South & Central America,21249289
2003,New Brunswick,South Korea,26932681
2003,New Brunswick,Taiwan,3178427
2003,New Brunswick,United States,1896027051
2003,Newfoundland and Labrador,Africa,4472906
2003,Newfoundland and Labrador,China,194074
2003,Newfoundland and Labrador,Eurpoean Union,187289596
2003,Newfoundland and Labrador,India,4493448
2003,Newfoundland and Labrador,Middle East,39541123
2003,Newfoundland and Labrador,Other,1669365
2003,Newfoundland and Labrador,South & Central America,102085716
2003,Newfoundland and Labrador,United States,213377558
2003,Nova Scotia,Africa,4841459
2003,Nova Scotia,China,4083507
2003,Nova Scotia,Eurpoean Union,98970950
2003,Nova Scotia,India,18013866
2003,Nova Scotia,Japan,8684685
2003,Nova Scotia,Middle East,1863826
2003,Nova Scotia,Oceania,281507
2003,Nova Scotia,Other,23787608
2003,Nova Scotia,South & Central America,72930578
2003,Nova Scotia,South Korea,10796553
2003,Nova Scotia,Taiwan,9946064
2003,Nova Scotia,United States,663404510
2003,Nunavut,Africa,713
2003,Nunavut,Eurpoean Union,570
2003,Nunavut,Oceania,12
2003,Nunavut,South & Central America,520
2003,Ontario,Africa,2601416
2003,Ontario,China,25668233
2003,Ontario,Eurpoean Union,139842420
2003,Ontario,India,2519247
2003,Ontario,Japan,7931555
2003,Ontario,Middle East,31595194
2003,Ontario,Oceania,6879409
2003,Ontario,Other,29913542
2003,Ontario,South & Central America,65684473
2003,Ontario,South Korea,14995178
2003,Ontario,Taiwan,3556874
2003,Ontario,United States,8245579057
2003,Prince Edward Island,Eurpoean Union,294627
2003,Prince Edward Island,Japan,2335
2003,Prince Edward Island,Other,24822
2003,Prince Edward Island,South & Central America,47195
2003,Prince Edward Island,United States,12706581
2003,Quebec,Africa,21336354
2003,Quebec,China,141288360
2003,Quebec,Eurpoean Union,813611437
2003,Quebec,India,87129430
2003,Quebec,Japan,28762181
2003,Quebec,Middle East,93162927
2003,Quebec,Oceania,14240528
2003,Quebec,Other,90923116
2003,Quebec,South & Central America,158059424
2003,Quebec,South Korea,14029397
2003,Quebec,Taiwan,37515871
2003,Quebec,United States,9223666453
2003,Saskatchewan,China,22488388
2003,Saskatchewan,Eurpoean Union,94344626
2003,Saskatchewan,Japan,12302481
2003,Saskatchewan,Middle East,248158
2003,Saskatchewan,Oceania,5940
2003,Saskatchewan,Other,289970
2003,Saskatchewan,South & Central America,12472763
2003,Saskatchewan,South Korea,33245759
2003,Saskatchewan,Taiwan,12688032
2003,Saskatchewan,United States,453453663
2003,Yukon,United States,583283
2004,Canada,Africa,47269879
2004,Canada,China,1185440409
2004,Canada,Eurpoean Union,2570760498
2004,Canada,India,249726339
2004,Canada,Japan,2388357920
2004,Canada,Middle East,334842127
2004,Canada,Oceania,201856389
2004,Canada,Other,626047581
2004,Canada,South & Central America,718567159
2004,Canada,South Korea,540401495
2004,Canada,Taiwan,328456610
2004,Canada,United States,35596777483
2004,Alberta,Africa,160628
2004,Alberta,China,180553732
2004,Alberta,Eurpoean Union,112998182
2004,Alberta,India,52646
2004,Alberta,Japan,247973587
2004,Alberta,Middle East,75607
2004,Alberta,Oceania,12433475
2004,Alberta,Other,40422080
2004,Alberta,South & Central America,17896045
2004,Alberta,South Korea,167420277
2004,Alberta,Taiwan,28212732
2004,Alberta,United States,2591927683
2004,British Columbia,Africa,6751500
2004,British Columbia,China,744361662
2004,British Columbia,Eurpoean Union,1086518116
2004,British Columbia,India,86517902
2004,British Columbia,Japan,2023342686
2004,British Columbia,Middle East,50802972
2004,British Columbia,Oceania,157782598
2004,British Columbia,Other,398755213
2004,British Columbia,South & Central America,236809931
2004,British Columbia,South Korea,294942495
2004,British Columbia,Taiwan,228423948
2004,British Columbia,United States,9477321277
2004,Manitoba,Africa,888525
2004,Manitoba,China,798896
