Year,Jurisdiction,Trade Type,Commodity Group,Product,Quantity
2000,Nova Scotia,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),11451
2000,Nova Scotia,Imports,Wood-Fabricated Materials,Plywood (cubic metres),111
2000,Nova Scotia,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),233
2000,Nova Scotia,Imports,Wood-Fabricated Materials,Veneer (square metres),468706
2000,Ontario,Imports,Primary Wood Products,Logs (cubic metres),587914
2000,Ontario,Imports,Primary Wood Products,Pulpwood (cubic metres),193259
2000,Ontario,Imports,Pulp and Paper Products,Newsprint (tonnes),16618
2000,Ontario,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),1694070
2000,Ontario,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),129270
2000,Ontario,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),774965
2000,Ontario,Imports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),29495
2000,Ontario,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),121250
2000,Ontario,Imports,Wood-Fabricated Materials,Plywood (cubic metres),166838
2000,Ontario,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),152765
2000,Ontario,Imports,Wood-Fabricated Materials,Veneer (square metres),80278875
2000,Prince Edward Island,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),12
2000,Prince Edward Island,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),468
2000,Quebec,Imports,Primary Wood Products,Logs (cubic metres),2803616
2000,Quebec,Imports,Primary Wood Products,Pulpwood (cubic metres),1518217
2000,Quebec,Imports,Pulp and Paper Products,Newsprint (tonnes),13673
2000,Quebec,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),1304533
2000,Quebec,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),66507
2000,Quebec,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),232452
2000,Quebec,Imports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),6106
2000,Quebec,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),123454
2000,Quebec,Imports,Wood-Fabricated Materials,Plywood (cubic metres),51906
2000,Quebec,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),245768
2000,Quebec,Imports,Wood-Fabricated Materials,Veneer (square metres),15915931
2000,Saskatchewan,Imports,Primary Wood Products,Logs (cubic metres),138
2000,Saskatchewan,Imports,Pulp and Paper Products,Newsprint (tonnes),1
2000,Saskatchewan,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),14742
2000,Saskatchewan,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),14765
