Year,Jurisdiction,Trade Type,Commodity Group,Product,Value (dollars)
2006,Canada,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),3272844148
2006,Canada,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),168941759
2006,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),476284839
2006,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),39657958
2006,Canada,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),107275366
2006,Canada,Imports,Wood-Fabricated Materials,Plywood (cubic metres),242241075
2006,Canada,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),160032806
2006,Canada,Imports,Wood-Fabricated Materials,Veneer (square metres),224443146
2007,Canada,Imports,Primary Wood Products,Logs (cubic metres),325194728
2007,Canada,Imports,Primary Wood Products,Pulpwood (cubic metres),50230275
2007,Canada,Imports,Pulp and Paper Products,Newsprint (tonnes),40124390
2007,Canada,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),3224424165
2007,Canada,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),168168439
2007,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),421259114
2007,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),31510059
2007,Canada,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),88397381
2007,Canada,Imports,Wood-Fabricated Materials,Plywood (cubic metres),267971900
2007,Canada,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),157679887
2007,Canada,Imports,Wood-Fabricated Materials,Veneer (square metres),215376137
2008,Canada,Imports,Primary Wood Products,Logs (cubic metres),286591771
2008,Canada,Imports,Primary Wood Products,Pulpwood (cubic metres),35055126
2008,Canada,Imports,Pulp and Paper Products,Newsprint (tonnes),59338426
2008,Canada,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),3191058029
2008,Canada,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),184301527
2008,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),340202196
2008,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),40221269
2008,Canada,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),71668825
2008,Canada,Imports,Wood-Fabricated Materials,Plywood (cubic metres),272953607
2008,Canada,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),166560349
2008,Canada,Imports,Wood-Fabricated Materials,Veneer (square metres),169908439
2009,Canada,Imports,Primary Wood Products,Logs (cubic metres),289074182
2009,Canada,Imports,Primary Wood Products,Pulpwood (cubic metres),51164940
2009,Canada,Imports,Pulp and Paper Products,Newsprint (tonnes),43360553
2009,Canada,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),2895907333
2009,Canada,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),164595179
2009,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),239484833
2009,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),28227417
2009,Canada,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),44984555
2009,Canada,Imports,Wood-Fabricated Materials,Plywood (cubic metres),226217816
2009,Canada,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),158105398
2009,Canada,Imports,Wood-Fabricated Materials,Veneer (square metres),141926025
2010,Canada,Imports,Primary Wood Products,Logs (cubic metres),281434293
2010,Canada,Imports,Primary Wood Products,Pulpwood (cubic metres),35328312
2010,Canada,Imports,Pulp and Paper Products,Newsprint (tonnes),44511380
2010,Canada,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),2815564949
2010,Canada,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),173593222
2010,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),281917161
2010,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),33053168
2010,Canada,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),45895025
2010,Canada,Imports,Wood-Fabricated Materials,Plywood (cubic metres),303823975
2010,Canada,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),205545244
2010,Canada,Imports,Wood-Fabricated Materials,Veneer (square metres),130756787
2011,Canada,Imports,Primary Wood Products,Logs (cubic metres),237835032
2011,Canada,Imports,Primary Wood Products,Pulpwood (cubic metres),32741792
2011,Canada,Imports,Pulp and Paper Products,Newsprint (tonnes),42604742
2011,Canada,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),2692150371
2011,Canada,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),168921129
2011,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),247583346
2011,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),29613232
2011,Canada,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),46620703
2011,Canada,Imports,Wood-Fabricated Materials,Plywood (cubic metres),315489848
2011,Canada,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),187844903
2011,Canada,Imports,Wood-Fabricated Materials,Veneer (square metres),127925871
2012,Canada,Imports,Primary Wood Products,Logs (cubic metres),256523727
2012,Canada,Imports,Primary Wood Products,Pulpwood (cubic metres),38545665
2012,Canada,Imports,Pulp and Paper Products,Newsprint (tonnes),49088831
2012,Canada,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),2681887303
2012,Canada,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),187948222
2012,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),265672539
2012,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),33551317
2012,Canada,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),53201497
2012,Canada,Imports,Wood-Fabricated Materials,Plywood (cubic metres),362242414
2012,Canada,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),213124193
2012,Canada,Imports,Wood-Fabricated Materials,Veneer (square metres),132079404
2013,Canada,Imports,Primary Wood Products,Logs (cubic metres),281668264
2013,Canada,Imports,Primary Wood Products,Pulpwood (cubic metres),37644226
2013,Canada,Imports,Pulp and Paper Products,Newsprint (tonnes),60270874
2013,Canada,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),2785203154
2013,Canada,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),173147389
2013,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),282651694
2013,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),39949321
2013,Canada,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),58904659
2013,Canada,Imports,Wood-Fabricated Materials,Plywood (cubic metres),363295969
2013,Canada,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),249232778
2013,Canada,Imports,Wood-Fabricated Materials,Veneer (square metres),133808963
2014,Canada,Imports,Primary Wood Products,Logs (cubic metres),302784164
2014,Canada,Imports,Primary Wood Products,Pulpwood (cubic metres),40710399
2014,Canada,Imports,Pulp and Paper Products,Newsprint (tonnes),50930689
2014,Canada,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),3000516701
2014,Canada,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),207963162
2014,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),342676880
2014,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),39658537
2014,Canada,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),74074551
2014,Canada,Imports,Wood-Fabricated Materials,Plywood (cubic metres),377006407
2014,Canada,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),263491992
2014,Canada,Imports,Wood-Fabricated Materials,Veneer (square metres),146339614
2015,Canada,Imports,Primary Wood Products,Logs (cubic metres),383799433
2015,Canada,Imports,Primary Wood Products,Pulpwood (cubic metres),39092331
2015,Canada,Imports,Pulp and Paper Products,Newsprint (tonnes),49168797
2015,Canada,Imports,Pulp and Paper Products,Other paper and paperboard (tonnes),3384249166
2015,Canada,Imports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),271720954
2015,Canada,Imports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),327237741
2015,Canada,Imports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),36273065
2015,Canada,Imports,Wood-Fabricated Materials,Particleboard (cubic metres),84250208
2015,Canada,Imports,Wood-Fabricated Materials,Plywood (cubic metres),403943004
2015,Canada,Imports,Wood-Fabricated Materials,Softwood lumber (cubic metres),262802789
