Year,Jurisdiction,Trade Type,Commodity Group,Product,Quantity
2000,Ontario,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),1527667
2000,Ontario,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),512060
2000,Ontario,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),1885333
2000,Ontario,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),407833
2000,Ontario,Exports,Wood-Fabricated Materials,Plywood (cubic metres),287443
2000,Ontario,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),4252031
2000,Ontario,Exports,Wood-Fabricated Materials,Veneer (square metres),65807261
2000,Prince Edward Island,Exports,Primary Wood Products,Logs (cubic metres),88
2000,Prince Edward Island,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),180
2000,Prince Edward Island,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),62
2000,Prince Edward Island,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),28
2000,Prince Edward Island,Exports,Wood-Fabricated Materials,Plywood (cubic metres),62
2000,Prince Edward Island,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),88122
2000,Prince Edward Island,Exports,Wood-Fabricated Materials,Veneer (square metres),46945
2000,Quebec,Exports,Primary Wood Products,Logs (cubic metres),48171
2000,Quebec,Exports,Primary Wood Products,Pulpwood (cubic metres),80
2000,Quebec,Exports,Pulp and Paper Products,Newsprint (tonnes),3788185
2000,Quebec,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),2532537
2000,Quebec,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),1384267
2000,Quebec,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),731368
2000,Quebec,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),1718351
2000,Quebec,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),388724
2000,Quebec,Exports,Wood-Fabricated Materials,Plywood (cubic metres),80806
2000,Quebec,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),9341210
2000,Quebec,Exports,Wood-Fabricated Materials,Veneer (square metres),72985834
2000,Saskatchewan,Exports,Primary Wood Products,Logs (cubic metres),481
2000,Saskatchewan,Exports,Pulp and Paper Products,Newsprint (tonnes),67
2000,Saskatchewan,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),109437
2000,Saskatchewan,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),441525
2000,Saskatchewan,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),2470
2000,Saskatchewan,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),169276
2000,Saskatchewan,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),25
2000,Saskatchewan,Exports,Wood-Fabricated Materials,Plywood (cubic metres),1369
2000,Saskatchewan,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),1063834
2000,Yukon,Exports,Primary Wood Products,Logs (cubic metres),155
2000,Yukon,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),82
2000,Yukon,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),56001
2001,Canada,Exports,Primary Wood Products,Logs (cubic metres),3193609
2001,Canada,Exports,Primary Wood Products,Pulpwood (cubic metres),28519
2001,Canada,Exports,Pulp and Paper Products,Newsprint (tonnes),8023335
2001,Canada,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),6916576
2001,Canada,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),11506198
2001,Canada,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),1325462
2001,Canada,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),7311173
2001,Canada,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),2336572
2001,Canada,Exports,Wood-Fabricated Materials,Plywood (cubic metres),1036154
2001,Canada,Exports,Wood-Fabricated Materials,Softwood lumber (cubic metres),48898654
2001,Canada,Exports,Wood-Fabricated Materials,Veneer (square metres),304068835
2001,Alberta,Exports,Primary Wood Products,Logs (cubic metres),32513
2001,Alberta,Exports,Primary Wood Products,Pulpwood (cubic metres),295
2001,Alberta,Exports,Pulp and Paper Products,Newsprint (tonnes),190737
2001,Alberta,Exports,Pulp and Paper Products,Other paper and paperboard (tonnes),45531
2001,Alberta,Exports,Pulp and Paper Products,Wood pulp (air dry metric tonnes),2021089
2001,Alberta,Exports,Wood-Fabricated Materials,Hardwood lumber (cubic metres),61072
2001,Alberta,Exports,Wood-Fabricated Materials,Oriented strandboard (cubic metres),1365263
2001,Alberta,Exports,Wood-Fabricated Materials,Particleboard (cubic metres),11908
2001,Alberta,Exports,Wood-Fabricated Materials,Plywood (cubic metres),53237
