Year,Jurisdiction,Commodity Group,Import value (dollars),Export value (dollars),Balance of trade (dollars)
2010,Quebec,Pulp and Paper Products,1098118271,5842511061,4744392790
2010,Quebec,Wood-Fabricated Materials,519384122,1561257222,1041873100
2010,Saskatchewan,Primary Wood Products,1409676,2198261,788585
2010,Saskatchewan,Pulp and Paper Products,35757008,171225148,135468140
2010,Saskatchewan,Wood-Fabricated Materials,35096548,51500150,16403602
2010,Yukon,Primary Wood Products,0,4432,4432
2010,Yukon,Pulp and Paper Products,19579,8138,-11441
2010,Yukon,Wood-Fabricated Materials,60,289023,288963
2011,Canada,Primary Wood Products,391915585,1057493153,665577568
2011,Canada,Pulp and Paper Products,6187759745,17298164087,11110404342
2011,Canada,Wood-Fabricated Materials,2558866654,8014465626,5455598972
2011,Alberta,Primary Wood Products,5262998,20800739,15537741
2011,Alberta,Pulp and Paper Products,148415870,1524095472,1375679602
2011,Alberta,Wood-Fabricated Materials,172085971,478060774,305974803
2011,British Columbia,Primary Wood Products,49578229,889659721,840081492
2011,British Columbia,Pulp and Paper Products,684546384,4280528204,3595981820
2011,British Columbia,Wood-Fabricated Materials,677222330,4706643374,4029421044
2011,Manitoba,Primary Wood Products,2254564,519625,-1734939
2011,Manitoba,Pulp and Paper Products,273114251,230953523,-42160728
2011,Manitoba,Wood-Fabricated Materials,109061252,85589645,-23471607
2011,New Brunswick,Primary Wood Products,67085544,22520448,-44565096
2011,New Brunswick,Pulp and Paper Products,101250342,1145865789,1044615447
2011,New Brunswick,Wood-Fabricated Materials,46971416,344793990,297822574
2011,Newfoundland and Labrador,Primary Wood Products,20081,11642,-8439
2011,Newfoundland and Labrador,Pulp and Paper Products,5147599,156372935,151225336
2011,Newfoundland and Labrador,Wood-Fabricated Materials,149725,3373041,3223316
2011,Northwest Territories,Pulp and Paper Products,4331,47208,42877
2011,Northwest Territories,Wood-Fabricated Materials,0,82781,82781
2011,Nova Scotia,Primary Wood Products,0,19774114,19774114
2011,Nova Scotia,Pulp and Paper Products,17511721,619457887,601946166
2011,Nova Scotia,Wood-Fabricated Materials,32697626,80323453,47625827
2011,Nunavut,Primary Wood Products,52,26190,26138
2011,Nunavut,Pulp and Paper Products,383,5511,5128
2011,Nunavut,Wood-Fabricated Materials,235,37509,37274
2011,Ontario,Primary Wood Products,46825021,51769529,4944508
2011,Ontario,Pulp and Paper Products,3821689005,3421838351,-399850654
2011,Ontario,Wood-Fabricated Materials,1038493110,736421643,-302071467
2011,Prince Edward Island,Primary Wood Products,0,15955,15955
2011,Prince Edward Island,Pulp and Paper Products,9731,1673886,1664155
2011,Prince Edward Island,Wood-Fabricated Materials,18056,139588,121532
2011,Quebec,Primary Wood Products,218746149,50073685,-168672464
2011,Quebec,Pulp and Paper Products,1097143706,5715322844,4618179138
2011,Quebec,Wood-Fabricated Materials,437912427,1509375786,1071463359
2011,Saskatchewan,Primary Wood Products,2142947,2308554,165607
2011,Saskatchewan,Pulp and Paper Products,38918416,202002477,163084061
2011,Saskatchewan,Wood-Fabricated Materials,44221386,69211355,24989969
2011,Yukon,Primary Wood Products,0,12951,12951
2011,Yukon,Pulp and Paper Products,8006,0,-8006
2011,Yukon,Wood-Fabricated Materials,33120,412687,379567
2012,Canada,Primary Wood Products,419796922,1030956798,611159876
2012,Canada,Pulp and Paper Products,5768194991,15219292815,9451097824
2012,Canada,Wood-Fabricated Materials,2681365567,8975389026,6294023459
2012,Alberta,Primary Wood Products,6811771,24634588,17822817
2012,Alberta,Pulp and Paper Products,133633301,1596801759,1463168458
2012,Alberta,Wood-Fabricated Materials,148326219,521055279,372729060
2012,British Columbia,Primary Wood Products,50682093,858690617,808008524
2012,British Columbia,Pulp and Paper Products,666759361,3985924939,3319165578
2012,British Columbia,Wood-Fabricated Materials,708728117,5203166611,4494438494
2012,Manitoba,Primary Wood Products,2057472,449766,-1607706
2012,Manitoba,Pulp and Paper Products,265647594,231852671,-33794923
2012,Manitoba,Wood-Fabricated Materials,145475230,109671619,-35803611
2012,New Brunswick,Primary Wood Products,67985287,31313432,-36671855
2012,New Brunswick,Pulp and Paper Products,103779027,1017437988,913658961
2012,New Brunswick,Wood-Fabricated Materials,46805182,372868155,326062973
2012,Newfoundland and Labrador,Primary Wood Products,19967,3500,-16467
2012,Newfoundland and Labrador,Pulp and Paper Products,5683877,114323891,108640014
2012,Newfoundland and Labrador,Wood-Fabricated Materials,261549,3748159,3486610
2012,Northwest Territories,Pulp and Paper Products,0,7200,7200
2012,Northwest Territories,Wood-Fabricated Materials,0,120970,120970
2012,Nova Scotia,Primary Wood Products,0,21742550,21742550
2012,Nova Scotia,Pulp and Paper Products,15982762,290503897,274521135
2012,Nova Scotia,Wood-Fabricated Materials,29568596,72231393,42662797
2012,Nunavut,Pulp and Paper Products,0,68050,68050
2012,Ontario,Primary Wood Products,43363942,33216123,-10147819
2012,Ontario,Pulp and Paper Products,3487677721,2682395691,-805282030
2012,Ontario,Wood-Fabricated Materials,1094841876,865638609,-229203267
2012,Prince Edward Island,Primary Wood Products,0,9750,9750
2012,Prince Edward Island,Pulp and Paper Products,0,1397128,1397128
2012,Prince Edward Island,Wood-Fabricated Materials,20312,216281,195969
2012,Quebec,Primary Wood Products,247063549,58163999,-188899550
2012,Quebec,Pulp and Paper Products,1050534039,5095783431,4045249392
2012,Quebec,Wood-Fabricated Materials,474232665,1654876902,1180644237
2012,Saskatchewan,Primary Wood Products,1812091,2732473,920382
2012,Saskatchewan,Pulp and Paper Products,38447045,202789991,164342946
2012,Saskatchewan,Wood-Fabricated Materials,33099158,171666009,138566851
2012,Yukon,Primary Wood Products,750,0,-750
2012,Yukon,Pulp and Paper Products,50264,6179,-44085
2012,Yukon,Wood-Fabricated Materials,6663,129039,122376
2013,Canada,Primary Wood Products,460969015,1273094650,812125635
2013,Canada,Pulp and Paper Products,6080415464,15809268734,9728853270
2013,Canada,Wood-Fabricated Materials,2805737511,11430716206,8624978695
2013,Alberta,Primary Wood Products,7693674,23389645,15695971
2013,Alberta,Pulp and Paper Products,179402560,1638982603,1459580043
2013,Alberta,Wood-Fabricated Materials,158886101,689099445,530213344
2013,British Columbia,Primary Wood Products,68114680,1095444587,1027329907
2013,British Columbia,Pulp and Paper Products,712006275,3910276211,3198269936
2013,British Columbia,Wood-Fabricated Materials,782269502,6517847140,5735577638
2013,Manitoba,Primary Wood Products,2356192,362999,-1993193
2013,Manitoba,Pulp and Paper Products,274730958,229176625,-45554333
2013,Manitoba,Wood-Fabricated Materials,141890040,135535114,-6354926
2013,New Brunswick,Primary Wood Products,61708598,28024097,-33684501
2013,New Brunswick,Pulp and Paper Products,115118797,1017946077,902827280
2013,New Brunswick,Wood-Fabricated Materials,43433501,461583329,418149828
2013,Newfoundland and Labrador,Primary Wood Products,10615,62240,51625
2013,Newfoundland and Labrador,Pulp and Paper Products,7696707,94608798,86912091
2013,Newfoundland and Labrador,Wood-Fabricated Materials,203417,5771962,5568545
2013,Northwest Territories,Wood-Fabricated Materials,0,43426,43426
2013,Nova Scotia,Primary Wood Products,288,17030281,17029993
2013,Nova Scotia,Pulp and Paper Products,20773789,521626850,500853061
2013,Nova Scotia,Wood-Fabricated Materials,31733731,97699128,65965397
2013,Nunavut,Pulp and Paper Products,0,28679,28679
2013,Nunavut,Wood-Fabricated Materials,0,19987,19987
2013,Ontario,Primary Wood Products,48081556,35343451,-12738105
2013,Ontario,Pulp and Paper Products,3662086566,2571969001,-1090117565
2013,Ontario,Wood-Fabricated Materials,1134062933,1134163723,100790
2013,Prince Edward Island,Primary Wood Products,0,6099,6099
2013,Prince Edward Island,Pulp and Paper Products,275,1910973,1910698
2013,Prince Edward Island,Wood-Fabricated Materials,13032,260506,247474
2013,Quebec,Primary Wood Products,271264171,71044387,-200219784
2013,Quebec,Pulp and Paper Products,1073650170,5616070565,4542420395
2013,Quebec,Wood-Fabricated Materials,477823973,2155019137,1677195164
2013,Saskatchewan,Primary Wood Products,1739241,2386864,647623
2013,Saskatchewan,Pulp and Paper Products,34942220,206672352,171730132
2013,Saskatchewan,Wood-Fabricated Materials,35415196,233514402,198099206
2013,Yukon,Pulp and Paper Products,7147,0,-7147
2013,Yukon,Wood-Fabricated Materials,6085,158907,152822
2014,Canada,Primary Wood Products,498872783,1302259953,803387170
2014,Canada,Pulp and Paper Products,6529461385,16990346329,10460884944
2014,Canada,Wood-Fabricated Materials,3057639468,12666388487,9608749019
2014,Alberta,Primary Wood Products,6452167,29671579,23219412
2014,Alberta,Pulp and Paper Products,179518569,1745074107,1565555538
2014,Alberta,Wood-Fabricated Materials,158985113,923199406,764214293
2014,British Columbia,Primary Wood Products,65836734,1089902748,1024066014
2014,British Columbia,Pulp and Paper Products,781572084,4266597403,3485025319
2014,British Columbia,Wood-Fabricated Materials,881028890,6892863606,6011834716
2014,Manitoba,Primary Wood Products,2044096,402384,-1641712
2014,Manitoba,Pulp and Paper Products,291373354,254300704,-37072650
2014,Manitoba,Wood-Fabricated Materials,171676232,132893347,-38782885
2014,New Brunswick,Primary Wood Products,74740140,35605146,-39134994
2014,New Brunswick,Pulp and Paper Products,145450784,1049730854,904280070
2014,New Brunswick,Wood-Fabricated Materials,53928181,518717948,464789767
2014,Newfoundland and Labrador,Primary Wood Products,37873,12940,-24933
2014,Newfoundland and Labrador,Pulp and Paper Products,6777683,169482565,162704882
2014,Newfoundland and Labrador,Wood-Fabricated Materials,212647,4545892,4333245
2014,Northwest Territories,Pulp and Paper Products,0,12666,12666
2014,Northwest Territories,Wood-Fabricated Materials,0,9045,9045
2014,Nova Scotia,Primary Wood Products,4465,22610399,22605934
2014,Nova Scotia,Pulp and Paper Products,17411811,473204220,455792409
2014,Nova Scotia,Wood-Fabricated Materials,24435712,113113649,88677937
2014,Nunavut,Primary Wood Products,145,0,-145
2014,Nunavut,Pulp and Paper Products,480,55771,55291
2014,Nunavut,Wood-Fabricated Materials,478,360,-118
2014,Ontario,Primary Wood Products,55136239,40611431,-14524808
2014,Ontario,Pulp and Paper Products,3915244813,2790548519,-1124696294
2014,Ontario,Wood-Fabricated Materials,1225828846,1251850098,26021252
2014,Prince Edward Island,Primary Wood Products,0,15429,15429
2014,Prince Edward Island,Pulp and Paper Products,11003,6139510,6128507
2014,Prince Edward Island,Wood-Fabricated Materials,14153,180342,166189
2014,Quebec,Primary Wood Products,293228214,81097853,-212130361
2014,Quebec,Pulp and Paper Products,1159718354,6020643046,4860924692
2014,Quebec,Wood-Fabricated Materials,505047125,2606981278,2101934153
2014,Saskatchewan,Primary Wood Products,1392710,2330044,937334
2014,Saskatchewan,Pulp and Paper Products,32378849,214555266,182176417
2014,Saskatchewan,Wood-Fabricated Materials,36479717,221776804,185297087
2014,Yukon,Pulp and Paper Products,3601,1698,-1903
2014,Yukon,Wood-Fabricated Materials,2374,256712,254338
2015,Canada,Primary Wood Products,595871038,1205862076,609991038
2015,Canada,Pulp and Paper Products,7329554313,17907324191,10577769878
2015,Canada,Wood-Fabricated Materials,3249887693,13724593669,10474705976
2015,Alberta,Primary Wood Products,5568041,27167990,21599949
2015,Alberta,Pulp and Paper Products,194204869,1923002917,1728798048
2015,Alberta,Wood-Fabricated Materials,155024869,1056186652,901161783
2015,British Columbia,Primary Wood Products,67585102,971364655,903779553
2015,British Columbia,Pulp and Paper Products,867820587,4367965189,3500144602
2015,British Columbia,Wood-Fabricated Materials,944984790,7285228440,6340243650
2015,Manitoba,Primary Wood Products,3732986,672081,-3060905
2015,Manitoba,Pulp and Paper Products,324090509,264409829,-59680680
2015,Manitoba,Wood-Fabricated Materials,180895801,127086778,-53809023
2015,New Brunswick,Primary Wood Products,81839462,43945426,-37894036
2015,New Brunswick,Pulp and Paper Products,153963405,1097865639,943902234
2015,New Brunswick,Wood-Fabricated Materials,51043007,553505060,502462053
2015,Newfoundland and Labrador,Primary Wood Products,25148,6860,-18288
2015,Newfoundland and Labrador,Pulp and Paper Products,5846371,168040152,162193781
2015,Newfoundland and Labrador,Wood-Fabricated Materials,385791,4499680,4113889
2015,Northwest Territories,Pulp and Paper Products,0,12831,12831
2015,Nova Scotia,Primary Wood Products,39970,25834769,25794799
2015,Nova Scotia,Pulp and Paper Products,22879493,504357824,481478331
2015,Nova Scotia,Wood-Fabricated Materials,26728675,105814727,79086052
2015,Nunavut,Pulp and Paper Products,0,6221,6221
2015,Nunavut,Wood-Fabricated Materials,0,36525,36525
2015,Ontario,Primary Wood Products,62779100,51103575,-11675525
2015,Ontario,Pulp and Paper Products,4394192949,3035919718,-1358273231
2015,Ontario,Wood-Fabricated Materials,1316884088,1496548676,179664588
2015,Prince Edward Island,Primary Wood Products,25262,4830,-20432
2015,Prince Edward Island,Pulp and Paper Products,16200,21149924,21133724
2015,Prince Edward Island,Wood-Fabricated Materials,769,104871,104102
2015,Quebec,Primary Wood Products,373258974,82480902,-290778072
2015,Quebec,Pulp and Paper Products,1333309155,6356692669,5023383514
2015,Quebec,Wood-Fabricated Materials,537140781,2834206725,2297065944
2015,Saskatchewan,Primary Wood Products,1016993,3280988,2263995
2015,Saskatchewan,Pulp and Paper Products,33225051,167901278,134676227
2015,Saskatchewan,Wood-Fabricated Materials,36795880,261033634,224237754
2015,Yukon,Pulp and Paper Products,5724,0,-5724
2015,Yukon,Wood-Fabricated Materials,3242,341901,338659
2016,Canada,Primary Wood Products,527001296,1443412075,916410779
2016,Canada,Pulp and Paper Products,7350681460,17085549115,9734867655
2016,Canada,Wood-Fabricated Materials,3365262192,16013129905,12647867713
2016,Alberta,Primary Wood Products,2800770,19702948,16902178
2016,Alberta,Pulp and Paper Products,180093169,1794280277,1614187108
2016,Alberta,Wood-Fabricated Materials,145610622,1318544215,1172933593
2016,British Columbia,Primary Wood Products,51693749,1202878348,1151184599
2016,British Columbia,Pulp and Paper Products,821748690,3936469646,3114720956
2016,British Columbia,Wood-Fabricated Materials,1002088598,8398915183,7396826585
2016,Manitoba,Primary Wood Products,3730989,998140,-2732849
2016,Manitoba,Pulp and Paper Products,338616741,214962556,-123654185
2016,Manitoba,Wood-Fabricated Materials,160001780,222647982,62646202
2016,New Brunswick,Primary Wood Products,65459872,42953918,-22505954
2016,New Brunswick,Pulp and Paper Products,150488340,1047031886,896543546
2016,New Brunswick,Wood-Fabricated Materials,60058701,634361920,574303219
2016,Newfoundland and Labrador,Primary Wood Products,9193,27450,18257
2016,Newfoundland and Labrador,Pulp and Paper Products,4327232,146201266,141874034
2016,Newfoundland and Labrador,Wood-Fabricated Materials,152131,7964759,7812628
2016,Northwest Territories,Pulp and Paper Products,0,44510,44510
2016,Nova Scotia,Primary Wood Products,65,23302569,23302504
2016,Nova Scotia,Pulp and Paper Products,25496824,420474287,394977463
2016,Nova Scotia,Wood-Fabricated Materials,24707633,115029158,90321525
2016,Nunavut,Pulp and Paper Products,10,80,70
2016,Ontario,Primary Wood Products,66689144,50590685,-16098459
2016,Ontario,Pulp and Paper Products,4528795013,3076073989,-1452721024
2016,Ontario,Wood-Fabricated Materials,1437746263,1734065484,296319221
2016,Prince Edward Island,Pulp and Paper Products,13366,25855602,25842236
2016,Prince Edward Island,Wood-Fabricated Materials,9186,292233,283047
2016,Quebec,Primary Wood Products,335715149,99739945,-235975204
2016,Quebec,Pulp and Paper Products,1272788557,6185704549,4912915992
2016,Quebec,Wood-Fabricated Materials,507459523,3276227496,2768767973
2016,Saskatchewan,Primary Wood Products,902328,3218072,2315744
2016,Saskatchewan,Pulp and Paper Products,28308865,238444672,210135807
2016,Saskatchewan,Wood-Fabricated Materials,27416991,304732829,277315838
2016,Yukon,Primary Wood Products,37,0,-37
2016,Yukon,Pulp and Paper Products,4653,5795,1142
2016,Yukon,Wood-Fabricated Materials,10764,348646,337882
2017,Canada,Primary Wood Products,496704705,1449317830,952613125
2017,Canada,Pulp and Paper Products,7581015353,17613991327,10032975974
2017,Canada,Wood-Fabricated Materials,3317555564,16825383746,13507828182
2017,Alberta,Primary Wood Products,3587929,19988669,16400740
2017,Alberta,Pulp and Paper Products,186198362,1771559087,1585360725
2017,Alberta,Wood-Fabricated Materials,146673435,1674128917,1527455482
2017,British Columbia,Primary Wood Products,71388451,1214525518,1143137067
2017,British Columbia,Pulp and Paper Products,844811343,4425306897,3580495554
2017,British Columbia,Wood-Fabricated Materials,911930319,8365038556,7453108237
2017,Manitoba,Primary Wood Products,5553672,1241166,-4312506
2017,Manitoba,Pulp and Paper Products,367188751,247589482,-119599269
2017,Manitoba,Wood-Fabricated Materials,183289696,228353419,45063723
2017,New Brunswick,Primary Wood Products,62959463,41138508,-21820955
2017,New Brunswick,Pulp and Paper Products,153629495,1108203096,954573601
2017,New Brunswick,Wood-Fabricated Materials,49042952,675567429,626524477
2017,Newfoundland and Labrador,Primary Wood Products,15870,11437,-4433
2017,Newfoundland and Labrador,Pulp and Paper Products,4271229,122037278,117766049
2017,Newfoundland and Labrador,Wood-Fabricated Materials,150980,6244204,6093224
2017,Northwest Territories,Pulp and Paper Products,0,8922,8922
2017,Nova Scotia,Primary Wood Products,14584,22244780,22230196
2017,Nova Scotia,Pulp and Paper Products,22736666,447769962,425033296
2017,Nova Scotia,Wood-Fabricated Materials,26120224,145527602,119407378
2017,Nunavut,Pulp and Paper Products,59,12175,12116
2017,Ontario,Primary Wood Products,61812863,49854664,-11958199
2017,Ontario,Pulp and Paper Products,4655119689,2968921960,-1686197729
2017,Ontario,Wood-Fabricated Materials,1453055739,1907820760,454765021
2017,Prince Edward Island,Pulp and Paper Products,14950,27639816,27624866
2017,Prince Edward Island,Wood-Fabricated Materials,989,480955,479966
2017,Quebec,Primary Wood Products,287288486,98110213,-189178273
2017,Quebec,Pulp and Paper Products,1314108684,6209931615,4895822931
2017,Quebec,Wood-Fabricated Materials,510725187,3490009989,2979284802
2017,Saskatchewan,Primary Wood Products,4083387,2202875,-1880512
2017,Saskatchewan,Pulp and Paper Products,32921283,285011037,252089754
2017,Saskatchewan,Wood-Fabricated Materials,36561760,331939576,295377816
2017,Yukon,Pulp and Paper Products,14842,0,-14842
2017,Yukon,Wood-Fabricated Materials,4283,272339,268056
2018,Canada,Primary Wood Products,588946118,1488964205,900018087
2018,Canada,Pulp and Paper Products,7887195796,20061094320,12173898524
2018,Canada,Wood-Fabricated Materials,3405951158,16953961064,13548009906
2018,Alberta,Primary Wood Products,2211928,21012375,18800447
2018,Alberta,Pulp and Paper Products,203947872,2237950873,2034003001
2018,Alberta,Wood-Fabricated Materials,169788091,1888873715,1719085624
2018,British Columbia,Primary Wood Products,124449105,1246870517,1122421412
2018,British Columbia,Pulp and Paper Products,894519502,5306168650,4411649148
2018,British Columbia,Wood-Fabricated Materials,967713348,8161583214,7193869866
2018,Manitoba,Primary Wood Products,6946385,1578416,-5367969
2018,Manitoba,Pulp and Paper Products,392023881,290896041,-101127840
2018,Manitoba,Wood-Fabricated Materials,197104004,266392441,69288437
2018,New Brunswick,Primary Wood Products,68878452,23755073,-45123379
2018,New Brunswick,Pulp and Paper Products,153216289,1183806089,1030589800
2018,New Brunswick,Wood-Fabricated Materials,44595459,711481319,666885860
2018,Newfoundland and Labrador,Primary Wood Products,2356,9900,7544
2018,Newfoundland and Labrador,Pulp and Paper Products,4478570,167525489,163046919
2018,Newfoundland and Labrador,Wood-Fabricated Materials,95529,18039827,17944298
2018,Northwest Territories,Pulp and Paper Products,0,19733,19733
2018,Nova Scotia,Primary Wood Products,65284,29594280,29528996
2018,Nova Scotia,Pulp and Paper Products,24959400,544463974,519504574
2018,Nova Scotia,Wood-Fabricated Materials,25105367,169763009,144657642
2018,Nunavut,Pulp and Paper Products,0,6625,6625
2018,Ontario,Primary Wood Products,65787894,54837126,-10950768
2018,Ontario,Pulp and Paper Products,4807765010,3022949837,-1784815173
2018,Ontario,Wood-Fabricated Materials,1450751685,1994121916,543370231
2018,Prince Edward Island,Primary Wood Products,9562,0,-9562
2018,Prince Edward Island,Pulp and Paper Products,8658,25786548,25777890
2018,Prince Edward Island,Wood-Fabricated Materials,2854,426498,423644
2018,Quebec,Primary Wood Products,314958567,109093704,-205864863
2018,Quebec,Pulp and Paper Products,1369601220,6926019169,5556417949
2018,Quebec,Wood-Fabricated Materials,528642378,3402084655,2873442277
2018,Saskatchewan,Primary Wood Products,5636585,2212814,-3423771
2018,Saskatchewan,Pulp and Paper Products,36674447,355501292,318826845
2018,Saskatchewan,Wood-Fabricated Materials,22150339,340650348,318500009
2018,Yukon,Pulp and Paper Products,947,0,-947
2018,Yukon,Wood-Fabricated Materials,2104,544122,542018
2019,Canada,Primary Wood Products,580081544,1423361486,843279942
2019,Canada,Pulp and Paper Products,7947262901,17714257540,9766994639
2019,Canada,Wood-Fabricated Materials,3312161542,14025406649,10713245107
2019,Alberta,Primary Wood Products,3378878,27390224,24011346
2019,Alberta,Pulp and Paper Products,199795468,1975687991,1775892523
2019,Alberta,Wood-Fabricated Materials,150396249,1456421758,1306025509
2019,British Columbia,Primary Wood Products,132871238,1153261658,1020390420
2019,British Columbia,Pulp and Paper Products,897447947,4237738480,3340290533
2019,British Columbia,Wood-Fabricated Materials,910364320,6309315328,5398951008
2019,Manitoba,Primary Wood Products,4840701,1015167,-3825534
2019,Manitoba,Pulp and Paper Products,402071516,268668859,-133402657
2019,Manitoba,Wood-Fabricated Materials,167715032,217091064,49376032
2019,New Brunswick,Primary Wood Products,75261247,36763288,-38497959
2019,New Brunswick,Pulp and Paper Products,147690955,1163107419,1015416464
2019,New Brunswick,Wood-Fabricated Materials,41019219,608381362,567362143
2019,Newfoundland and Labrador,Primary Wood Products,17727,19100,1373
2019,Newfoundland and Labrador,Pulp and Paper Products,5141557,156820654,151679097
2019,Newfoundland and Labrador,Wood-Fabricated Materials,98875,18359777,18260902
2019,Northwest Territories,Pulp and Paper Products,95,4039,3944
2019,Nova Scotia,Primary Wood Products,15671,28535514,28519843
2019,Nova Scotia,Pulp and Paper Products,26739105,447165902,420426797
2019,Nova Scotia,Wood-Fabricated Materials,23104204,156895640,133791436
2019,Ontario,Primary Wood Products,68625106,60530936,-8094170
2019,Ontario,Pulp and Paper Products,4825917861,2934833690,-1891084171
2019,Ontario,Wood-Fabricated Materials,1427158087,1775516875,348358788
2019,Prince Edward Island,Pulp and Paper Products,15432,26726669,26711237
2019,Prince Edward Island,Wood-Fabricated Materials,6533,176069,169536
2019,Quebec,Primary Wood Products,290867523,113438058,-177429465
2019,Quebec,Pulp and Paper Products,1389114950,6219990084,4830875134
2019,Quebec,Wood-Fabricated Materials,563286846,3225732743,2662445897
2019,Saskatchewan,Primary Wood Products,4203453,2407541,-1795912
2019,Saskatchewan,Pulp and Paper Products,53326909,283513753,230186844
2019,Saskatchewan,Wood-Fabricated Materials,29004357,256996000,227991643
2019,Yukon,Pulp and Paper Products,1106,0,-1106
2019,Yukon,Wood-Fabricated Materials,7820,520033,512213
2020,Canada,Primary Wood Products,536538538,1118611074,582072536
2020,Canada,Pulp and Paper Products,7763543036,15277502757,7513959721
2020,Canada,Wood-Fabricated Materials,3173453068,16879002535,13705549467
2020,Alberta,Primary Wood Products,7457707,27403666,19945959
2020,Alberta,Pulp and Paper Products,172945619,1652095161,1479149542
2020,Alberta,Wood-Fabricated Materials,137726099,2299192487,2161466388
2020,British Columbia,Primary Wood Products,143527531,856128035,712600504
2020,British Columbia,Pulp and Paper Products,927336349,3427551979,2500215630
2020,British Columbia,Wood-Fabricated Materials,951170444,7023526987,6072356543
2020,Manitoba,Primary Wood Products,6721772,1906713,-4815059
2020,Manitoba,Pulp and Paper Products,453855498,253382621,-200472877
2020,Manitoba,Wood-Fabricated Materials,122098720,294026321,171927601
2020,New Brunswick,Primary Wood Products,55672422,33853155,-21819267
2020,New Brunswick,Pulp and Paper Products,159139823,1027093657,867953834
2020,New Brunswick,Wood-Fabricated Materials,43903522,816949344,773045822
2020,Newfoundland and Labrador,Primary Wood Products,44057,31604,-12453
2020,Newfoundland and Labrador,Pulp and Paper Products,3977519,135390247,131412728
2020,Newfoundland and Labrador,Wood-Fabricated Materials,147226,23577436,23430210
2020,Nova Scotia,Primary Wood Products,26798,24187551,24160753
2020,Nova Scotia,Pulp and Paper Products,33045378,269329005,236283627
2020,Nova Scotia,Wood-Fabricated Materials,25677549,204786881,179109332
2020,Nunavut,Pulp and Paper Products,411,0,-411
2020,Ontario,Primary Wood Products,70405034,55484655,-14920379
2020,Ontario,Pulp and Paper Products,4657072797,2781744332,-1875328465
2020,Ontario,Wood-Fabricated Materials,1369242399,2048618438,679376039
2020,Prince Edward Island,Pulp and Paper Products,29094,28480546,28451452
2020,Prince Edward Island,Wood-Fabricated Materials,11328,275769,264441
2020,Quebec,Primary Wood Products,246587373,115927689,-130659684
2020,Quebec,Pulp and Paper Products,1285077577,5461326590,4176249013
2020,Quebec,Wood-Fabricated Materials,499969558,3731307725,3231338167
2020,Saskatchewan,Primary Wood Products,6095844,3688006,-2407838
2020,Saskatchewan,Pulp and Paper Products,71062971,241108619,170045648
2020,Saskatchewan,Wood-Fabricated Materials,23505638,436630565,413124927
2020,Yukon,Wood-Fabricated Materials,585,110582,109997
2021,Canada,Primary Wood Products,538461202,1351959257,813498055
2021,Canada,Pulp and Paper Products,8117724743,16709983929,8592259186
2021,Canada,Wood-Fabricated Materials,4294357968,26906723043,22612365075
2021,Alberta,Primary Wood Products,6151353,24356719,18205366
2021,Alberta,Pulp and Paper Products,177693242,1795481087,1617787845
2021,Alberta,Wood-Fabricated Materials,154463371,4105490854,3951027483
2021,British Columbia,Primary Wood Products,105711390,1020977812,915266422
2021,British Columbia,Pulp and Paper Products,1032285197,3957832374,2925547177
2021,British Columbia,Wood-Fabricated Materials,1329650922,11202772317,9873121395
2021,Manitoba,Primary Wood Products,10418345,1614690,-8803655
2021,Manitoba,Pulp and Paper Products,476172192,352654473,-123517719
2021,Manitoba,Wood-Fabricated Materials,148526078,322954709,174428631
2021,New Brunswick,Primary Wood Products,52310589,63892347,11581758
2021,New Brunswick,Pulp and Paper Products,181023135,1189119590,1008096455
2021,New Brunswick,Wood-Fabricated Materials,63050593,1179361745,1116311152
2021,Newfoundland and Labrador,Primary Wood Products,0,877688,877688
2021,Newfoundland and Labrador,Pulp and Paper Products,4212284,144457757,140245473
2021,Newfoundland and Labrador,Wood-Fabricated Materials,33530,44325289,44291759
2021,Northwest Territories,Pulp and Paper Products,0,4649,4649
2021,Northwest Territories,Wood-Fabricated Materials,2,0,-2
2021,Nova Scotia,Primary Wood Products,32232,40984899,40952667
2021,Nova Scotia,Pulp and Paper Products,39877209,298697756,258820547
2021,Nova Scotia,Wood-Fabricated Materials,29175054,275209623,246034569
2021,Ontario,Primary Wood Products,80902010,53140348,-27761662
2021,Ontario,Pulp and Paper Products,4806300121,2772801315,-2033498806
2021,Ontario,Wood-Fabricated Materials,1860020763,3152768394,1292747631
2021,Prince Edward Island,Primary Wood Products,0,64,64
2021,Prince Edward Island,Pulp and Paper Products,40497,24234800,24194303
2021,Prince Edward Island,Wood-Fabricated Materials,9,164986,164977
2021,Quebec,Primary Wood Products,273359622,142340150,-131019472
2021,Quebec,Pulp and Paper Products,1331757140,5953163533,4621406393
2021,Quebec,Wood-Fabricated Materials,672473599,5752322035,5079848436
2021,Saskatchewan,Primary Wood Products,9575661,3774540,-5801121
2021,Saskatchewan,Pulp and Paper Products,68363726,221536595,153172869
2021,Saskatchewan,Wood-Fabricated Materials,36964047,870933546,833969499
2021,Yukon,Wood-Fabricated Materials,0,419545,419545
2022,Canada,Primary Wood Products,552636197,1570336761,1017700564
2022,Canada,Pulp and Paper Products,10023644896,19879229589,9855584693
2022,Canada,Wood-Fabricated Materials,4523218928,24122220953,19599002025
2022,Alberta,Primary Wood Products,5994713,36271408,30276695
2022,Alberta,Pulp and Paper Products,209541293,2179221409,1969680116
