Year,Jurisdiction,Commodity Group,Import value (dollars),Export value (dollars),Balance of trade (dollars)
2002,Newfoundland and Labrador,Wood-Fabricated Materials,161115,28642395,28481280
2002,Northwest Territories,Pulp and Paper Products,65,12000,11935
2002,Northwest Territories,Wood-Fabricated Materials,0,6642,6642
2002,Nova Scotia,Primary Wood Products,10214,36503704,36493490
2002,Nova Scotia,Pulp and Paper Products,28133141,730129508,701996367
2002,Nova Scotia,Wood-Fabricated Materials,20413109,255188342,234775233
2002,Nunavut,Pulp and Paper Products,0,733,733
2002,Ontario,Primary Wood Products,112666191,130094118,17427927
2002,Ontario,Pulp and Paper Products,4641701863,6373799407,1732097544
2002,Ontario,Wood-Fabricated Materials,1343714819,2810452089,1466737270
2002,Prince Edward Island,Primary Wood Products,0,3447,3447
2002,Prince Edward Island,Pulp and Paper Products,56557,547612,491055
2002,Prince Edward Island,Wood-Fabricated Materials,59868,14201191,14141323
2002,Quebec,Primary Wood Products,429553934,47358023,-382195911
2002,Quebec,Pulp and Paper Products,1113952379,7624604036,6510651657
2002,Quebec,Wood-Fabricated Materials,496898520,3983030912,3486132392
2002,Saskatchewan,Primary Wood Products,420722,4073097,3652375
2002,Saskatchewan,Pulp and Paper Products,71525726,469874805,398349079
2002,Saskatchewan,Wood-Fabricated Materials,36877662,158578144,121700482
2002,Yukon,Primary Wood Products,0,86882,86882
2002,Yukon,Pulp and Paper Products,676,0,-676
2002,Yukon,Wood-Fabricated Materials,121342,604329,482987
2003,Canada,Primary Wood Products,632384546,824809278,192424732
2003,Canada,Pulp and Paper Products,6699913481,22110080103,15410166622
2003,Canada,Wood-Fabricated Materials,2677328117,16854552522,14177224405
2003,Alberta,Primary Wood Products,814470,25288697,24474227
2003,Alberta,Pulp and Paper Products,162736126,1399696036,1236959910
2003,Alberta,Wood-Fabricated Materials,73062806,1332004513,1258941707
2003,British Columbia,Primary Wood Products,63559016,580642844,517083828
2003,British Columbia,Pulp and Paper Products,613791994,4766358212,4152566218
2003,British Columbia,Wood-Fabricated Materials,559122190,7334331566,6775209376
2003,Manitoba,Primary Wood Products,1663208,2467853,804645
2003,Manitoba,Pulp and Paper Products,267328381,285696527,18368146
2003,Manitoba,Wood-Fabricated Materials,109832014,355194450,245362436
2003,New Brunswick,Primary Wood Products,84489213,9973824,-74515389
2003,New Brunswick,Pulp and Paper Products,112391067,1444275368,1331884301
2003,New Brunswick,Wood-Fabricated Materials,61651370,827090600,765439230
2003,Newfoundland and Labrador,Primary Wood Products,0,35727,35727
2003,Newfoundland and Labrador,Pulp and Paper Products,15381333,543901771,528520438
2003,Newfoundland and Labrador,Wood-Fabricated Materials,235036,9186288,8951252
2003,Northwest Territories,Pulp and Paper Products,549,0,-549
2003,Northwest Territories,Wood-Fabricated Materials,132,0,-132
2003,Nova Scotia,Primary Wood Products,0,31446930,31446930
2003,Nova Scotia,Pulp and Paper Products,27903748,684181524,656277776
2003,Nova Scotia,Wood-Fabricated Materials,22414331,201976659,179562328
2003,Nunavut,Pulp and Paper Products,0,1815,1815
2003,Ontario,Primary Wood Products,102932734,121620003,18687269
2003,Ontario,Pulp and Paper Products,4379786651,5661744538,1281957887
2003,Ontario,Wood-Fabricated Materials,1305976944,2793402057,1487425113
2003,Prince Edward Island,Primary Wood Products,12,90021,90009
2003,Prince Edward Island,Pulp and Paper Products,45037,97073,52036
2003,Prince Edward Island,Wood-Fabricated Materials,61083,12888466,12827383
2003,Quebec,Primary Wood Products,378525523,48432209,-330093314
2003,Quebec,Pulp and Paper Products,1053057682,6892661217,5839603535
2003,Quebec,Wood-Fabricated Materials,512673175,3782632052,3269958877
2003,Saskatchewan,Primary Wood Products,400370,4795532,4395162
2003,Saskatchewan,Pulp and Paper Products,67490278,431466022,363975744
2003,Saskatchewan,Wood-Fabricated Materials,32297676,205278226,172980550
2003,Yukon,Primary Wood Products,0,15638,15638
2003,Yukon,Pulp and Paper Products,635,0,-635
2003,Yukon,Wood-Fabricated Materials,1360,567645,566285
2004,Canada,Primary Wood Products,649874673,808976688,159102015
2004,Canada,Pulp and Paper Products,6700861502,22806935015,16106073513
2004,Canada,Wood-Fabricated Materials,2926896896,21172592186,18245695290
2004,Alberta,Primary Wood Products,2396725,30421491,28024766
2004,Alberta,Pulp and Paper Products,183342047,1467381882,1284039835
2004,Alberta,Wood-Fabricated Materials,100896027,1902323301,1801427274
2004,British Columbia,Primary Wood Products,46224121,564080018,517855897
2004,British Columbia,Pulp and Paper Products,660687237,5035587971,4374900734
2004,British Columbia,Wood-Fabricated Materials,668860377,9192662311,8523801934
2004,Manitoba,Primary Wood Products,1771658,1795694,24036
2004,Manitoba,Pulp and Paper Products,263567397,281997514,18430117
2004,Manitoba,Wood-Fabricated Materials,104879310,460182414,355303104
2004,New Brunswick,Primary Wood Products,82532264,9097608,-73434656
2004,New Brunswick,Pulp and Paper Products,108221580,1382332232,1274110652
2004,New Brunswick,Wood-Fabricated Materials,61845281,1073017016,1011171735
2004,Newfoundland and Labrador,Primary Wood Products,0,5748,5748
2004,Newfoundland and Labrador,Pulp and Paper Products,12114407,507766347,495651940
2004,Newfoundland and Labrador,Wood-Fabricated Materials,173676,14807620,14633944
2004,Nova Scotia,Primary Wood Products,13744,27139795,27126051
2004,Nova Scotia,Pulp and Paper Products,23781950,740340306,716558356
2004,Nova Scotia,Wood-Fabricated Materials,30900226,264880346,233980120
2004,Nunavut,Pulp and Paper Products,0,1058,1058
2004,Nunavut,Wood-Fabricated Materials,0,27723,27723
2004,Ontario,Primary Wood Products,106566368,121149346,14582978
2004,Ontario,Pulp and Paper Products,4276973557,5689742842,1412769285
2004,Ontario,Wood-Fabricated Materials,1347178912,3242474199,1895295287
2004,Prince Edward Island,Primary Wood Products,0,35909,35909
2004,Prince Edward Island,Pulp and Paper Products,22164,752865,730701
2004,Prince Edward Island,Wood-Fabricated Materials,20687,18157903,18137216
