Year,Annee,Jurisdiction,Juridiction,ISO,Forest_Product,Produit_forestier,Unit-of-measure,Unite-de-mesure,Value
2019,2019,Canada,Canada,CA,Newsprint,Papier journal,tonnes,en tonne,2678000
2019,2019,Canada,Canada,CA,Printing and writing paper,Papier d'impression et d'ecriture,tonnes,en tonne,2612000
2019,2019,Canada,Canada,CA,Wood pulp,Pate de bois,tonnes,en tonne,15421000
2020,2020,Canada,Canada,CA,Newsprint,Papier journal,tonnes,en tonne,1957000
2020,2020,Canada,Canada,CA,Printing and writing paper,Papier d'impression et d'ecriture,tonnes,en tonne,2266000
2020,2020,Canada,Canada,CA,Wood pulp,Pate de bois,tonnes,en tonne,14299000
2021,2021,Canada,Canada,CA,Newsprint,Papier journal,tonnes,en tonne,1888000
2021,2021,Canada,Canada,CA,Printing and writing paper,Papier d'impression et d'ecriture,tonnes,en tonne,2434000
2021,2021,Canada,Canada,CA,Wood pulp,Pate de bois,tonnes,en tonne,14260000
2022,2022,Canada,Canada,CA,Newsprint,Papier journal,tonnes,en tonne,1839000
2022,2022,Canada,Canada,CA,Printing and writing paper,Papier d'impression et d'ecriture,tonnes,en tonne,2599000
2022,2022,Canada,Canada,CA,Wood pulp,Pate de bois,tonnes,en tonne,13583000
